# x1	g_HBD
0.00000000	1.00000000
0.04760000	0.96014312
0.05000000	0.95590360
0.05260000	0.95095897
0.05560000	0.94514580
0.05880000	0.93825109
0.06240000	0.92999356
0.06660000	0.91999613
0.07140000	0.90774517
0.07700000	0.89252877
0.08340000	0.87334189
0.09100000	0.84873839
0.10000000	0.81659915
0.10520000	0.79677262
0.11120000	0.77377442
0.11760000	0.74696530
0.12500000	0.71557195
0.13340000	0.67867525
0.14280000	0.63522049
0.15380000	0.58408107
0.16660000	0.52423705
0.18180000	0.45517387
0.20000000	0.37763560
0.20400000	0.36133027
0.20840000	0.34483963
0.21280000	0.32820961
0.21740000	0.31149212
0.22220000	0.29474485
0.22720000	0.27803093
0.23260000	0.26141832
0.23800000	0.24497893
0.24400000	0.22878742
0.25000000	0.21291973
0.28580000	0.14095999
0.33340000	0.08606657
0.40000000	0.04971825
0.50000000	0.02820779
0.90900000	0.01150551
0.99000000	0.01078782
