# x1	gamma2
0.00000000 1.00000000
0.04760000 0.96018913
0.05000000 0.95593424
0.05260000 0.95096767
0.05560000 0.94512343
0.05880000 0.93818479
0.06240000 0.92986496
0.06660000 0.91977864
0.07140000 0.90739961
0.07700000 0.89199627
0.08340000 0.87253192
0.09100000 0.84750824
0.10000000 0.81471743
0.10520000 0.79443378
0.11120000 0.77085482
0.11760000 0.74330267
0.12500000 0.71095256
0.13340000 0.67281756
0.14280000 0.62775655
0.15380000 0.57454067
0.16660000 0.51205048
0.18180000 0.43973331
0.20000000 0.35849914
0.20400000 0.34144530
0.20840000 0.32421934
0.21280000 0.30687667
0.21740000 0.28947992
0.22220000 0.27209866
0.22720000 0.25480896
0.23260000 0.23769236
0.23800000 0.22083472
0.24400000 0.20432437
0.25000000 0.18825012
0.28580000 0.11723796
0.33340000 0.06639671
0.40000000 0.03539582
0.50000000 0.01855877
0.66660000 0.01005910
0.90900000 0.00671867
0.99000000 0.00627730
