# x1	g_HBD
0.00000000	1.00000000
0.04760000	0.94263502
0.05000000	0.93634154
0.05260000	0.92896981
0.05560000	0.92026259
0.05880000	0.90988248
0.06240000	0.89738077
0.06660000	0.88215146
0.07140000	0.86336256
0.07700000	0.83985151
0.08340000	0.80996375
0.09100000	0.77130166
0.10000000	0.72033810
0.10520000	0.68869778
0.11120000	0.65185833
0.11760000	0.60880052
0.12500000	0.55835191
0.13340000	0.49925857
0.14280000	0.43040538
0.15380000	0.35135985
0.16660000	0.26353303
0.18180000	0.17219863
0.20000000	0.08878069
0.20400000	0.07453482
0.20840000	0.06147231
0.21280000	0.04974779
0.21740000	0.03949312
0.22220000	0.03079439
0.22720000	0.02366445
0.23260000	0.01802249
0.23800000	0.01369706
0.24400000	0.01045835
0.25000000	0.00806478
0.28580000	0.00269916
0.33340000	0.00119672
0.40000000	0.00063149
0.50000000	0.00038037
0.66660000	0.00026961
0.90900000	0.00025484
0.99000000	0.00026333
