# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.770876000000000289e-05
3.333332999999999956e-03	9.932271190000000471e-01	2.605927643000000102e-03
6.666667000000000252e-03	9.966209529999999761e-01	5.205723051999999566e-03
1.000000000000000021e-02	9.977573800000000270e-01	7.817192375000000387e-03
1.333333299999999930e-02	9.983265569999999478e-01	1.044043393799999955e-02
1.666666699999999959e-02	9.986683680000000285e-01	1.307554700800000157e-02
2.000000000000000042e-02	9.988963659999999800e-01	1.572263181300000146e-02
2.333333300000000124e-02	9.990592799999999940e-01	1.838178953499999824e-02
2.666666700000000154e-02	9.991814959999999468e-01	2.105312232800000266e-02
2.999999999999999889e-02	9.992765700000000306e-01	2.373673332100000033e-02
3.333333299999999971e-02	9.993526379999999598e-01	2.643272662700000067e-02
3.666666700000000001e-02	9.994148800000000055e-01	2.914120735200000090e-02
4.000000000000000083e-02	9.994667520000000138e-01	3.186228160000000031e-02
4.333333300000000166e-02	9.995106440000000037e-01	3.459605647999999811e-02
4.666666700000000195e-02	9.995482669999999903e-01	3.734264011999999938e-02
5.000000000000000278e-02	9.995808729999999809e-01	4.010214166599999908e-02
5.333333299999999666e-02	9.996094020000000357e-01	4.287467129400000104e-02
5.666666699999999696e-02	9.996345739999999980e-01	4.566034021800000064e-02
5.999999999999999778e-02	9.996569469999999624e-01	4.845926069300000166e-02
6.333333300000000554e-02	9.996769650000000285e-01	5.127154602799999933e-02
6.666666699999999890e-02	9.996949790000000391e-01	5.409731058800000547e-02
7.000000000000000666e-02	9.997112759999999820e-01	5.693666980499999947e-02
7.333333300000000055e-02	9.997260900000000117e-01	5.978974018300000498e-02
7.666666699999999390e-02	9.997396139999999987e-01	6.265663930400000581e-02
8.000000000000000167e-02	9.997520100000000243e-01	6.553748583599999789e-02
8.333333299999999555e-02	9.997634119999999625e-01	6.843239953999999403e-02
8.666666700000000279e-02	9.997739359999999742e-01	7.134150127700000787e-02
8.999999999999999667e-02	9.997836789999999807e-01	7.426491301100000830e-02
9.333333300000000443e-02	9.997927239999999660e-01	7.720275782000000919e-02
9.666666699999999779e-02	9.998011439999999750e-01	8.015515989900000304e-02
1.000000000000000056e-01	9.998090020000000022e-01	8.312224456599999478e-02
1.033333329999999994e-01	9.998163500000000203e-01	8.610413826899999956e-02
1.066666670000000067e-01	9.998232390000000303e-01	8.910096859300001282e-02
1.100000000000000006e-01	9.998297080000000392e-01	9.211286426000001026e-02
1.133333329999999944e-01	9.998357949999999716e-01	9.513995514200000725e-02
1.166666670000000017e-01	9.998415330000000045e-01	9.818237225900000587e-02
1.199999999999999956e-01	9.998469509999999838e-01	1.012402477880000040e-01
