# x1	y1	P/MPa
0.00000000	0.00000000	0.00000036
0.00333333	0.99964301	0.00101329
0.00666667	0.99982273	0.00203366
0.01000000	0.99988265	0.00306158
0.01333333	0.99991261	0.00409717
0.01666667	0.99993058	0.00514053
0.02000000	0.99994257	0.00619177
0.02333333	0.99995113	0.00725103
0.02666667	0.99995755	0.00831840
0.03000000	0.99996255	0.00939402
0.03333333	0.99996654	0.01047801
0.03666667	0.99996981	0.01157048
0.04000000	0.99997253	0.01267158
0.04333333	0.99997484	0.01378142
0.04666667	0.99997681	0.01490014
0.05000000	0.99997852	0.01602788
0.05333333	0.99998002	0.01716477
0.05666667	0.99998134	0.01831095
0.06000000	0.99998252	0.01946656
0.06333333	0.99998356	0.02063175
0.06666667	0.99998451	0.02180667
0.07000000	0.99998537	0.02299146
0.07333333	0.99998614	0.02418628
0.07666667	0.99998685	0.02539128
0.08000000	0.99998750	0.02660662
0.08333333	0.99998810	0.02783247
0.08666667	0.99998865	0.02906899
0.09000000	0.99998917	0.03031635
0.09333333	0.99998964	0.03157472
0.09666667	0.99999008	0.03284427
0.10000000	0.99999049	0.03412519
0.10333333	0.99999088	0.03541764
0.10666667	0.99999124	0.03672183
0.11000000	0.99999158	0.03803793
0.11333333	0.99999190	0.03936614
0.11666667	0.99999220	0.04070665
0.12000000	0.99999248	0.04205967
0.12333333	0.99999275	0.04342539
0.12666667	0.99999301	0.04480403
0.13000000	0.99999325	0.04619580
0.13333333	0.99999348	0.04760090
0.13666667	0.99999369	0.04901956
0.14000000	0.99999390	0.05045201
0.14333333	0.99999410	0.05189848
0.14666667	0.99999429	0.05335918
0.15000000	0.99999447	0.05483438
0.15333333	0.99999464	0.05632429
0.15666667	0.99999481	0.05782918
0.16000000	0.99999496	0.05934929
0.16333333	0.99999511	0.06088488
0.16666667	0.99999526	0.06243621
0.17000000	0.99999540	0.06400355
0.17333333	0.99999553	0.06558718
0.17666667	0.99999566	0.06718735
0.18000000	0.99999578	0.06880437
0.18333333	0.99999590	0.07043852
0.18666667	0.99999602	0.07209010
0.19000000	0.99999613	0.07375940
0.19333333	0.99999624	0.07544672
0.19666667	0.99999634	0.07715239
0.20000000	0.99999644	0.07887672
0.20333333	0.99999653	0.08062004
0.20666667	0.99999663	0.08238267
0.21000000	0.99999672	0.08416495
0.21333333	0.99999680	0.08596724
0.21666667	0.99999689	0.08778987
0.22000000	0.99999697	0.08963321
0.22333333	0.99999705	0.09149763
0.22666667	0.99999713	0.09338349
0.23000000	0.99999720	0.09529117
0.23333333	0.99999727	0.09722107
0.23666667	0.99999734	0.09917357
0.24000000	0.99999741	0.10114909
0.24333333	0.99999748	0.10314803
0.24666667	0.99999754	0.10517081
0.25000000	0.99999760	0.10721786
0.25333333	0.99999766	0.10928961
0.25666667	0.99999772	0.11138650
0.26000000	0.99999778	0.11350900
0.26333333	0.99999784	0.11565756
0.26666667	0.99999789	0.11783265
0.27000000	0.99999794	0.12003476
0.27333333	0.99999799	0.12226436
0.27666667	0.99999804	0.12452197
0.28000000	0.99999809	0.12680808
0.28333333	0.99999814	0.12912322
0.28666667	0.99999819	0.13146791
0.29000000	0.99999823	0.13384269
0.29333333	0.99999828	0.13624811
0.29666667	0.99999832	0.13868472
0.30000000	0.99999836	0.14115310
0.30333333	0.99999840	0.14365383
0.30666667	0.99999844	0.14618748
0.31000000	0.99999848	0.14875467
0.31333333	0.99999852	0.15135601
0.31666667	0.99999855	0.15399212
0.32000000	0.99999859	0.15666363
0.32333333	0.99999863	0.15937118
0.32666667	0.99999866	0.16211544
0.33000000	0.99999869	0.16489708
0.33333333	0.99999873	0.16771677
0.33666667	0.99999876	0.17057520
0.34000000	0.99999879	0.17347308
0.34333333	0.99999882	0.17641112
0.34666667	0.99999885	0.17939005
0.35000000	0.99999888	0.18241061
0.35333333	0.99999891	0.18547356
0.35666667	0.99999894	0.18857964
0.36000000	0.99999896	0.19172964
0.36333333	0.99999899	0.19492435
0.36666667	0.99999901	0.19816457
0.37000000	0.99999904	0.20145110
0.37333333	0.99999907	0.20478477
0.37666667	0.99999909	0.20816641
0.38000000	0.99999911	0.21159687
0.38333333	0.99999914	0.21507701
0.38666667	0.99999916	0.21860769
0.39000000	0.99999918	0.22218980
0.39333333	0.99999920	0.22582423
0.39666667	0.99999922	0.22951188
0.40000000	0.99999924	0.23325367
0.40333333	0.99999926	0.23705051
0.40666667	0.99999928	0.24090334
0.41000000	0.99999930	0.24481310
0.41333333	0.99999932	0.24878075
0.41666667	0.99999934	0.25280725
0.42000000	0.99999936	0.25689356
0.42333333	0.99999938	0.26104066
0.42666667	0.99999939	0.26524954
0.43000000	0.99999941	0.26952118
0.43333333	0.99999943	0.27385659
0.43666667	0.99999944	0.27825677
0.44000000	0.99999946	0.28272271
0.44333333	0.99999947	0.28725544
0.44666667	0.99999949	0.29185597
0.45000000	0.99999950	0.29652531
0.45333333	0.99999952	0.30126447
0.45666667	0.99999953	0.30607449
0.46000000	0.99999954	0.31095636
0.46333333	0.99999956	0.31591112
0.46666667	0.99999957	0.32093975
0.47000000	0.99999958	0.32604329
0.47333333	0.99999960	0.33122271
0.47666667	0.99999961	0.33647902
0.48000000	0.99999962	0.34181320
0.48333333	0.99999963	0.34722622
0.48666667	0.99999964	0.35271905
0.49000000	0.99999965	0.35829264
0.49333333	0.99999966	0.36394791
0.49666667	0.99999967	0.36968579
0.50000000	0.99999968	0.37550718
0.50333333	0.99999969	0.38141294
0.50666667	0.99999970	0.38740394
0.51000000	0.99999971	0.39348101
0.51333333	0.99999972	0.39964495
0.51666667	0.99999973	0.40589653
0.52000000	0.99999974	0.41223650
0.52333333	0.99999975	0.41866557
0.52666667	0.99999975	0.42518441
0.53000000	0.99999976	0.43179365
0.53333333	0.99999977	0.43849391
0.53666667	0.99999978	0.44528572
0.54000000	0.99999978	0.45216960
0.54333333	0.99999979	0.45914602
0.54666667	0.99999980	0.46621537
0.55000000	0.99999980	0.47337802
0.55333333	0.99999981	0.48063428
0.55666667	0.99999982	0.48798438
0.56000000	0.99999982	0.49542853
0.56333333	0.99999983	0.50296683
0.56666667	0.99999984	0.51059936
0.57000000	0.99999984	0.51832610
0.57333333	0.99999985	0.52614699
0.57666667	0.99999985	0.53406186
0.58000000	0.99999986	0.54207051
0.58333333	0.99999986	0.55017263
0.58666667	0.99999987	0.55836785
0.59000000	0.99999987	0.56665571
0.59333333	0.99999988	0.57503569
0.59666667	0.99999988	0.58350715
0.60000000	0.99999989	0.59206941
0.60333333	0.99999989	0.60072166
0.60666667	0.99999989	0.60946303
0.61000000	0.99999990	0.61829255
0.61333333	0.99999990	0.62720917
0.61666667	0.99999990	0.63621174
0.62000000	0.99999991	0.64529903
0.62333333	0.99999991	0.65446970
0.62666667	0.99999991	0.66372233
0.63000000	0.99999992	0.67305541
0.63333333	0.99999992	0.68246733
0.63666667	0.99999992	0.69195638
0.64000000	0.99999993	0.70152080
0.64333333	0.99999993	0.71115868
0.64666667	0.99999993	0.72086805
0.65000000	0.99999993	0.73064686
0.65333333	0.99999994	0.74049296
0.65666667	0.99999994	0.75040411
0.66000000	0.99999994	0.76037798
0.66333333	0.99999994	0.77041217
0.66666667	0.99999995	0.78050420
0.67000000	0.99999995	0.79065149
0.67333333	0.99999995	0.80085140
0.67666667	0.99999995	0.81110121
0.68000000	0.99999995	0.82139813
0.68333333	0.99999996	0.83173929
0.68666667	0.99999996	0.84212177
0.69000000	0.99999996	0.85254256
0.69333333	0.99999996	0.86299863
0.69666667	0.99999996	0.87348684
0.70000000	0.99999996	0.88400403
0.70333333	0.99999996	0.89454699
0.70666667	0.99999997	0.90511245
0.71000000	0.99999997	0.91569709
0.71333333	0.99999997	0.92629756
0.71666667	0.99999997	0.93691047
0.72000000	0.99999997	0.94753240
0.72333333	0.99999997	0.95815989
0.72666667	0.99999997	0.96878946
0.73000000	0.99999998	0.97941761
0.73333333	0.99999998	0.99004082
0.73666667	0.99999998	1.00065554
0.74000000	0.99999998	1.01125823
0.74333333	0.99999998	1.02184533
0.74666667	0.99999998	1.03241328
0.75000000	0.99999998	1.04295851
0.75333333	0.99999998	1.05347746
0.75666667	0.99999998	1.06396658
0.76000000	0.99999998	1.07442231
0.76333333	0.99999998	1.08484112
0.76666667	0.99999998	1.09521950
0.77000000	0.99999998	1.10555393
0.77333333	0.99999998	1.11584095
0.77666667	0.99999999	1.12607710
0.78000000	0.99999999	1.13625894
0.78333333	0.99999999	1.14638308
0.78666667	0.99999999	1.15644616
0.79000000	0.99999999	1.16644484
0.79333333	0.99999999	1.17637584
0.79666667	0.99999999	1.18623590
0.80000000	0.99999999	1.19602181
0.80333333	0.99999999	1.20573041
0.80666667	0.99999999	1.21535858
0.81000000	0.99999999	1.22490324
0.81333333	0.99999999	1.23436139
0.81666667	0.99999999	1.24373004
0.82000000	0.99999999	1.25300630
0.82333333	0.99999999	1.26218730
0.82666667	0.99999999	1.27127025
0.83000000	0.99999999	1.28025239
0.83333333	0.99999999	1.28913106
0.83666667	0.99999999	1.29790363
0.84000000	0.99999999	1.30656754
0.84333333	0.99999999	1.31512031
0.84666667	0.99999999	1.32355951
0.85000000	0.99999999	1.33188277
0.85333333	0.99999999	1.34008780
0.85666667	1.00000000	1.34817238
0.86000000	1.00000000	1.35613436
0.86333333	1.00000000	1.36397164
0.86666667	1.00000000	1.37168223
0.87000000	1.00000000	1.37926417
0.87333333	1.00000000	1.38671560
0.87666667	1.00000000	1.39403474
0.88000000	1.00000000	1.40121987
0.88333333	1.00000000	1.40826936
0.88666667	1.00000000	1.41518165
0.89000000	1.00000000	1.42195526
0.89333333	1.00000000	1.42858881
0.89666667	1.00000000	1.43508098
0.90000000	1.00000000	1.44143057
0.90333333	1.00000000	1.44763643
0.90666667	1.00000000	1.45369752
0.91000000	1.00000000	1.45961292
0.91333333	1.00000000	1.46538177
0.91666667	1.00000000	1.47100335
0.92000000	1.00000000	1.47647701
0.92333333	1.00000000	1.48180227
0.92666667	1.00000000	1.48697872
0.93000000	1.00000000	1.49200612
0.93333333	1.00000000	1.49688436
0.93666667	1.00000000	1.50161350
0.94000000	1.00000000	1.50619376
0.94333333	1.00000000	1.51062557
0.94666667	1.00000000	1.51490956
0.95000000	1.00000000	1.51904663
0.95333333	1.00000000	1.52303796
0.95666667	1.00000000	1.52688507
0.96000000	1.00000000	1.53058990
0.96333333	1.00000000	1.53415487
0.96666667	1.00000000	1.53758301
0.97000000	1.00000000	1.54087813
0.97333333	1.00000000	1.54404506
0.97666667	1.00000000	1.54708999
0.98000000	1.00000000	1.55002102
0.98333333	1.00000000	1.55284913
0.98666667	1.00000000	1.55558996
0.99000000	1.00000000	1.55826760
0.99333333	1.00000000	1.56092478
0.99666667	1.00000000	1.56366063
1.00000000	1.00000000	1.56701013
