# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.598009000000000026e-06
1.000000000000000021e-02	9.999238849999999568e-01	2.078403993199999869e-02
2.000000000000000042e-02	9.999625239999999637e-01	4.178320418700000316e-02
2.999999999999999889e-02	9.999754050000000394e-01	6.300692356600000321e-02
4.000000000000000083e-02	9.999818459999999520e-01	8.446392440500000154e-02
5.000000000000000278e-02	9.999857109999999993e-01	1.061619714109999918e-01
5.999999999999999778e-02	9.999882869999999757e-01	1.281096822680000136e-01
7.000000000000000666e-02	9.999901279999999781e-01	1.503155036560000213e-01
8.000000000000000167e-02	9.999915080000000289e-01	1.727871109040000075e-01
8.999999999999999667e-02	9.999925819999999632e-01	1.955335869869999910e-01
1.000000000000000056e-01	9.999934409999999829e-01	2.185637820349999871e-01
1.100000000000000006e-01	9.999941430000000020e-01	2.418853076290000126e-01
1.199999999999999956e-01	9.999947279999999994e-01	2.655056873019999708e-01
1.300000000000000044e-01	9.999952239999999604e-01	2.894334731710000441e-01
1.400000000000000133e-01	9.999956479999999592e-01	3.136764090720000064e-01
1.499999999999999944e-01	9.999960150000000159e-01	3.382426851640000232e-01
1.600000000000000033e-01	9.999963360000000412e-01	3.631400796090000216e-01
1.700000000000000122e-01	9.999966200000000027e-01	3.883689481670000165e-01
1.799999999999999933e-01	9.999968710000000094e-01	4.139393135870000351e-01
1.900000000000000022e-01	9.999970959999999742e-01	4.398582973410000152e-01
2.000000000000000111e-01	9.999972980000000344e-01	4.661239024300000144e-01
2.099999999999999922e-01	9.999974799999999941e-01	4.927380440620000024e-01
2.200000000000000011e-01	9.999976449999999906e-01	5.196943836170000441e-01
2.300000000000000100e-01	9.999977960000000499e-01	5.469882147569999908e-01
2.399999999999999911e-01	9.999979329999999500e-01	5.746112336920000674e-01
2.500000000000000000e-01	9.999980590000000502e-01	6.025519175140000572e-01
2.600000000000000089e-01	9.999981749999999892e-01	6.307891131440001020e-01
2.700000000000000178e-01	9.999982819999999606e-01	6.593032654100000611e-01
2.800000000000000266e-01	9.999983799999999645e-01	6.880630353200000160e-01
2.899999999999999800e-01	9.999984710000000554e-01	7.170226004649999929e-01
2.999999999999999889e-01	9.999985550000000112e-01	7.461252329280000373e-01
3.099999999999999978e-01	9.999986320000000539e-01	7.753147933720000440e-01
3.200000000000000067e-01	9.999987040000000160e-01	8.045159584240000328e-01
3.300000000000000155e-01	9.999987710000000085e-01	8.336375296210001284e-01
3.400000000000000244e-01	9.999988319999999486e-01	8.625729378390001312e-01
3.499999999999999778e-01	9.999988890000000019e-01	8.911944992350000483e-01
3.599999999999999867e-01	9.999989409999999745e-01	9.193534872020000526e-01
3.699999999999999956e-01	9.999989889999999493e-01	9.468793396890000658e-01
3.800000000000000044e-01	9.999990330000000371e-01	9.735782849260000704e-01
3.900000000000000133e-01	9.999990730000000161e-01	9.992198934129999932e-01
4.000000000000000222e-01	9.999991099999999689e-01	1.023558999168000083e+00
4.099999999999999756e-01	9.999991419999999520e-01	1.046337558200999940e+00
4.199999999999999845e-01	9.999991700000000483e-01	1.067267567842000053e+00
4.299999999999999933e-01	9.999991950000000074e-01	1.086057625422000017e+00
4.400000000000000022e-01	9.999992159999999686e-01	1.102399314856000068e+00
4.500000000000000111e-01	9.999992330000000429e-01	1.116006697340000020e+00
4.600000000000000200e-01	9.999992469999999800e-01	1.126611177171999989e+00
4.699999999999999734e-01	9.999992559999999475e-01	1.133988255538000089e+00
4.799999999999999822e-01	9.999992610000000282e-01	1.137961179524000110e+00
4.899999999999999911e-01	9.999992610000000282e-01	1.138463703530000037e+00
5.000000000000000000e-01	9.999992580000000020e-01	1.135536685524000111e+00
5.100000000000000089e-01	9.999992490000000345e-01	1.129329706699000013e+00
5.200000000000000178e-01	9.999992370000000408e-01	1.120141428579999987e+00
5.300000000000000266e-01	9.999992189999999948e-01	1.108410145557000126e+00
