# x1	y1	P/MPa
0.00000000	0.00000000	0.00002692
0.00333333	0.98749131	0.00214460
0.00666667	0.99373722	0.00426905
0.01000000	0.99583675	0.00640030
0.01333333	0.99688981	0.00853836
0.01666667	0.99752270	0.01068323
0.02000000	0.99794506	0.01283494
0.02333333	0.99824695	0.01499350
0.02666667	0.99847347	0.01715891
0.03000000	0.99864971	0.01933120
0.03333333	0.99879074	0.02151038
0.03666667	0.99890614	0.02369645
0.04000000	0.99900233	0.02588944
0.04333333	0.99908372	0.02808935
0.04666667	0.99915349	0.03029620
0.05000000	0.99921395	0.03251000
0.05333333	0.99926686	0.03473075
0.05666667	0.99931354	0.03695848
0.06000000	0.99935503	0.03919319
0.06333333	0.99939215	0.04143489
0.06666667	0.99942556	0.04368360
0.07000000	0.99945578	0.04593932
0.07333333	0.99948325	0.04820207
0.07666667	0.99950832	0.05047185
0.08000000	0.99953131	0.05274867
0.08333333	0.99955245	0.05503255
0.08666667	0.99957196	0.05732349
0.09000000	0.99959002	0.05962149
0.09333333	0.99960679	0.06192658
0.09666667	0.99962240	0.06423876
0.10000000	0.99963697	0.06655803
0.10333333	0.99965059	0.06888440
0.10666667	0.99966336	0.07121788
0.11000000	0.99967535	0.07355847
0.11333333	0.99968663	0.07590619
0.11666667	0.99969726	0.07826103
0.12000000	0.99970730	0.08062301
0.12333333	0.99971679	0.08299213
0.12666667	0.99972579	0.08536840
0.13000000	0.99973431	0.08775181
0.13333333	0.99974241	0.09014237
0.13666667	0.99975011	0.09254009
0.14000000	0.99975744	0.09494497
0.14333333	0.99976443	0.09735702
0.14666667	0.99977110	0.09977623
0.15000000	0.99977746	0.10220261
0.15333333	0.99978355	0.10463615
0.15666667	0.99978938	0.10707687
0.16000000	0.99979496	0.10952476
0.16333333	0.99980031	0.11197982
0.16666667	0.99980545	0.11444206
0.17000000	0.99981038	0.11691146
0.17333333	0.99981511	0.11938804
0.17666667	0.99981967	0.12187178
0.18000000	0.99982406	0.12436269
0.18333333	0.99982828	0.12686077
0.18666667	0.99983235	0.12936601
0.19000000	0.99983628	0.13187841
0.19333333	0.99984007	0.13439796
0.19666667	0.99984373	0.13692466
0.20000000	0.99984726	0.13945850
0.20333333	0.99985068	0.14199949
0.20666667	0.99985398	0.14454760
0.21000000	0.99985718	0.14710285
0.21333333	0.99986027	0.14966521
0.21666667	0.99986327	0.15223468
0.22000000	0.99986617	0.15481125
0.22333333	0.99986899	0.15739492
0.22666667	0.99987172	0.15998567
0.23000000	0.99987437	0.16258349
0.23333333	0.99987694	0.16518838
0.23666667	0.99987944	0.16780031
0.24000000	0.99988187	0.17041929
0.24333333	0.99988422	0.17304528
0.24666667	0.99988652	0.17567829
0.25000000	0.99988875	0.17831830
0.25333333	0.99989092	0.18096528
0.25666667	0.99989303	0.18361924
0.26000000	0.99989508	0.18628014
0.26333333	0.99989708	0.18894797
0.26666667	0.99989903	0.19162272
0.27000000	0.99990093	0.19430437
0.27333333	0.99990278	0.19699289
0.27666667	0.99990459	0.19968826
0.28000000	0.99990635	0.20239047
0.28333333	0.99990807	0.20509949
0.28666667	0.99990974	0.20781531
0.29000000	0.99991138	0.21053788
0.29333333	0.99991298	0.21326721
0.29666667	0.99991454	0.21600324
0.30000000	0.99991606	0.21874597
0.30333333	0.99991755	0.22149537
0.30666667	0.99991900	0.22425139
0.31000000	0.99992042	0.22701403
0.31333333	0.99992181	0.22978324
0.31666667	0.99992317	0.23255900
0.32000000	0.99992450	0.23534128
0.32333333	0.99992580	0.23813004
0.32666667	0.99992707	0.24092525
0.33000000	0.99992832	0.24372688
0.33333333	0.99992953	0.24653488
0.33666667	0.99993073	0.24934923
0.34000000	0.99993189	0.25216988
0.34333333	0.99993304	0.25499680
0.34666667	0.99993416	0.25782995
0.35000000	0.99993526	0.26066929
0.35333333	0.99993633	0.26351478
0.35666667	0.99993738	0.26636636
0.36000000	0.99993842	0.26922401
0.36333333	0.99993943	0.27208767
0.36666667	0.99994042	0.27495730
0.37000000	0.99994140	0.27783285
0.37333333	0.99994235	0.28071428
0.37666667	0.99994328	0.28360152
0.38000000	0.99994420	0.28649454
0.38333333	0.99994511	0.28939328
0.38666667	0.99994599	0.29229769
0.39000000	0.99994686	0.29520771
0.39333333	0.99994771	0.29812328
0.39666667	0.99994854	0.30104436
0.40000000	0.99994936	0.30397088
0.40333333	0.99995017	0.30690278
0.40666667	0.99995096	0.30984000
0.41000000	0.99995174	0.31278248
0.41333333	0.99995250	0.31573016
0.41666667	0.99995325	0.31868297
0.42000000	0.99995399	0.32164084
0.42333333	0.99995471	0.32460371
0.42666667	0.99995542	0.32757150
0.43000000	0.99995612	0.33054415
0.43333333	0.99995681	0.33352159
0.43666667	0.99995749	0.33650374
0.44000000	0.99995815	0.33949052
0.44333333	0.99995880	0.34248187
0.44666667	0.99995944	0.34547769
0.45000000	0.99996007	0.34847792
0.45333333	0.99996069	0.35148247
0.45666667	0.99996130	0.35449126
0.46000000	0.99996190	0.35750420
0.46333333	0.99996249	0.36052121
0.46666667	0.99996307	0.36354220
0.47000000	0.99996365	0.36656708
0.47333333	0.99996421	0.36959576
0.47666667	0.99996476	0.37262815
0.48000000	0.99996530	0.37566416
0.48333333	0.99996584	0.37870368
0.48666667	0.99996637	0.38174662
0.49000000	0.99996688	0.38479288
0.49333333	0.99996739	0.38784236
0.49666667	0.99996790	0.39089496
0.50000000	0.99996839	0.39395057
0.50333333	0.99996888	0.39700909
0.50666667	0.99996936	0.40007040
0.51000000	0.99996983	0.40313440
0.51333333	0.99997029	0.40620097
0.51666667	0.99997075	0.40927000
0.52000000	0.99997120	0.41234137
0.52333333	0.99997165	0.41541497
0.52666667	0.99997208	0.41849068
0.53000000	0.99997251	0.42156837
0.53333333	0.99997294	0.42464792
0.53666667	0.99997335	0.42772921
0.54000000	0.99997377	0.43081210
0.54333333	0.99997417	0.43389646
0.54666667	0.99997457	0.43698217
0.55000000	0.99997496	0.44006909
0.55333333	0.99997535	0.44315708
0.55666667	0.99997573	0.44624601
0.56000000	0.99997611	0.44933573
0.56333333	0.99997648	0.45242611
0.56666667	0.99997684	0.45551699
0.57000000	0.99997720	0.45860823
0.57333333	0.99997756	0.46169968
0.57666667	0.99997791	0.46479118
0.58000000	0.99997825	0.46788260
0.58333333	0.99997859	0.47097376
0.58666667	0.99997893	0.47406451
0.59000000	0.99997926	0.47715469
0.59333333	0.99997958	0.48024414
0.59666667	0.99997990	0.48333269
0.60000000	0.99998022	0.48642017
0.60333333	0.99998053	0.48950642
0.60666667	0.99998084	0.49259125
0.61000000	0.99998114	0.49567451
0.61333333	0.99998144	0.49875600
0.61666667	0.99998173	0.50183555
0.62000000	0.99998202	0.50491298
0.62333333	0.99998231	0.50798810
0.62666667	0.99998259	0.51106072
0.63000000	0.99998287	0.51413066
0.63333333	0.99998314	0.51719772
0.63666667	0.99998341	0.52026172
0.64000000	0.99998368	0.52332244
0.64333333	0.99998394	0.52637970
0.64666667	0.99998420	0.52943328
0.65000000	0.99998446	0.53248299
0.65333333	0.99998471	0.53552862
0.65666667	0.99998496	0.53856995
0.66000000	0.99998521	0.54160678
0.66333333	0.99998545	0.54463889
0.66666667	0.99998569	0.54766606
0.67000000	0.99998592	0.55068807
0.67333333	0.99998616	0.55370470
0.67666667	0.99998639	0.55671571
0.68000000	0.99998661	0.55972090
0.68333333	0.99998683	0.56272001
0.68666667	0.99998705	0.56571283
0.69000000	0.99998727	0.56869910
0.69333333	0.99998748	0.57167860
0.69666667	0.99998769	0.57465109
0.70000000	0.99998790	0.57761630
0.70333333	0.99998811	0.58057401
0.70666667	0.99998831	0.58352396
0.71000000	0.99998851	0.58646590
0.71333333	0.99998871	0.58939957
0.71666667	0.99998890	0.59232472
0.72000000	0.99998909	0.59524108
0.72333333	0.99998928	0.59814839
0.72666667	0.99998947	0.60104639
0.73000000	0.99998966	0.60393481
0.73333333	0.99998984	0.60681338
0.73666667	0.99999002	0.60968183
0.74000000	0.99999019	0.61253987
0.74333333	0.99999037	0.61538724
0.74666667	0.99999054	0.61822364
0.75000000	0.99999071	0.62104881
0.75333333	0.99999088	0.62386245
0.75666667	0.99999104	0.62666427
0.76000000	0.99999121	0.62945398
0.76333333	0.99999137	0.63223130
0.76666667	0.99999152	0.63499592
0.77000000	0.99999168	0.63774756
0.77333333	0.99999184	0.64048590
0.77666667	0.99999199	0.64321066
0.78000000	0.99999214	0.64592152
0.78333333	0.99999229	0.64861819
0.78666667	0.99999243	0.65130034
0.79000000	0.99999258	0.65396769
0.79333333	0.99999272	0.65661991
0.79666667	0.99999286	0.65925670
0.80000000	0.99999300	0.66187773
0.80333333	0.99999314	0.66448271
0.80666667	0.99999327	0.66707130
0.81000000	0.99999341	0.66964319
0.81333333	0.99999354	0.67219808
0.81666667	0.99999367	0.67473562
0.82000000	0.99999380	0.67725552
0.82333333	0.99999393	0.67975744
0.82666667	0.99999405	0.68224108
0.83000000	0.99999417	0.68470610
0.83333333	0.99999430	0.68715219
0.83666667	0.99999442	0.68957903
0.84000000	0.99999454	0.69198631
0.84333333	0.99999465	0.69437370
0.84666667	0.99999477	0.69674089
0.85000000	0.99999489	0.69908757
0.85333333	0.99999500	0.70141343
0.85666667	0.99999511	0.70371816
0.86000000	0.99999522	0.70600145
0.86333333	0.99999533	0.70826301
0.86666667	0.99999544	0.71050253
0.87000000	0.99999554	0.71271974
0.87333333	0.99999565	0.71491434
0.87666667	0.99999575	0.71708605
0.88000000	0.99999586	0.71923461
0.88333333	0.99999596	0.72135975
0.88666667	0.99999606	0.72346123
0.89000000	0.99999616	0.72553880
0.89333333	0.99999626	0.72759224
0.89666667	0.99999636	0.72962133
0.90000000	0.99999645	0.73162588
0.90333333	0.99999655	0.73360571
0.90666667	0.99999664	0.73556067
0.91000000	0.99999674	0.73749062
0.91333333	0.99999683	0.73939546
0.91666667	0.99999693	0.74127511
0.92000000	0.99999702	0.74312954
0.92333333	0.99999711	0.74495875
0.92666667	0.99999720	0.74676279
0.93000000	0.99999729	0.74854176
0.93333333	0.99999739	0.75029582
0.93666667	0.99999748	0.75202523
0.94000000	0.99999757	0.75373030
0.94333333	0.99999766	0.75541146
0.94666667	0.99999775	0.75706927
0.95000000	0.99999784	0.75870441
0.95333333	0.99999794	0.76031778
0.95666667	0.99999803	0.76191046
0.96000000	0.99999812	0.76348383
0.96333333	0.99999822	0.76503961
0.96666667	0.99999832	0.76657997
0.97000000	0.99999842	0.76810766
0.97333333	0.99999853	0.76962627
0.97666667	0.99999864	0.77114048
0.98000000	0.99999876	0.77265661
0.98333333	0.99999889	0.77418345
0.98666667	0.99999903	0.77573383
0.99000000	0.99999918	0.77732762
0.99333333	0.99999937	0.77899898
0.99666667	0.99999961	0.78081758
1.00000000	1.00000000	0.78300165
