# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.206560400000000111e-05
1.000000000000000021e-02	9.985235190000000260e-01	8.089906784999999906e-03
2.000000000000000042e-02	9.992689930000000498e-01	1.617432341100000226e-02
2.999999999999999889e-02	9.995177269999999670e-01	2.426517336899999822e-02
4.000000000000000083e-02	9.996421359999999590e-01	3.236231238799999743e-02
5.000000000000000278e-02	9.997167940000000197e-01	4.046559372599999732e-02
5.999999999999999778e-02	9.997665690000000493e-01	4.857486840800000205e-02
7.000000000000000666e-02	9.998021230000000426e-01	5.668998488100000094e-02
8.000000000000000167e-02	9.998287890000000511e-01	6.481078966200000402e-02
8.999999999999999667e-02	9.998495280000000429e-01	7.293712725800000074e-02
1.000000000000000056e-01	9.998661180000000259e-01	8.106883986300000844e-02
1.100000000000000006e-01	9.998796909999999594e-01	8.920576686000000755e-02
1.199999999999999956e-01	9.998910009999999460e-01	9.734774456200000203e-02
1.300000000000000044e-01	9.999005699999999885e-01	1.054946091950000053e-01
1.400000000000000133e-01	9.999087700000000023e-01	1.136461937340000200e-01
1.499999999999999944e-01	9.999158769999999530e-01	1.218023286280000145e-01
1.600000000000000033e-01	9.999220939999999835e-01	1.299628421200000050e-01
1.700000000000000122e-01	9.999275779999999836e-01	1.381275615589999950e-01
1.799999999999999933e-01	9.999324529999999989e-01	1.462963126930000024e-01
1.900000000000000022e-01	9.999368140000000071e-01	1.544689157859999995e-01
2.000000000000000111e-01	9.999407369999999684e-01	1.626451911790000038e-01
2.099999999999999922e-01	9.999442870000000427e-01	1.708249550800000072e-01
2.200000000000000011e-01	9.999475129999999545e-01	1.790080247780000133e-01
2.300000000000000100e-01	9.999504569999999593e-01	1.871942146140000152e-01
2.399999999999999911e-01	9.999531560000000097e-01	1.953833348550000071e-01
2.500000000000000000e-01	9.999556379999999800e-01	2.035751940160000217e-01
2.600000000000000089e-01	9.999579290000000231e-01	2.117696017759999882e-01
2.700000000000000178e-01	9.999600490000000175e-01	2.199663613809999807e-01
2.800000000000000266e-01	9.999620169999999808e-01	2.281652758300000416e-01
2.899999999999999800e-01	9.999638490000000157e-01	2.363661475330000039e-01
2.999999999999999889e-01	9.999655589999999483e-01	2.445687767730000128e-01
3.099999999999999978e-01	9.999671570000000509e-01	2.527729623640000423e-01
3.200000000000000067e-01	9.999686559999999558e-01	2.609784920830000021e-01
3.300000000000000155e-01	9.999700620000000484e-01	2.691851596700000071e-01
3.400000000000000244e-01	9.999713860000000176e-01	2.773927568940000032e-01
3.499999999999999778e-01	9.999726340000000269e-01	2.856010700780000078e-01
3.599999999999999867e-01	9.999738110000000457e-01	2.938098936129999728e-01
3.699999999999999956e-01	9.999749249999999590e-01	3.020190120750000373e-01
3.800000000000000044e-01	9.999759799999999865e-01	3.102282142749999694e-01
3.900000000000000133e-01	9.999769800000000153e-01	3.184372759140000619e-01
4.000000000000000222e-01	9.999779300000000148e-01	3.266459787290000305e-01
4.099999999999999756e-01	9.999788330000000114e-01	3.348540974950000026e-01
4.199999999999999845e-01	9.999796920000000311e-01	3.430614100509999931e-01
4.299999999999999933e-01	9.999805120000000436e-01	3.512676808490000080e-01
4.400000000000000022e-01	9.999812940000000205e-01	3.594726870439999833e-01
4.500000000000000111e-01	9.999820400000000165e-01	3.676762237020000379e-01
4.600000000000000200e-01	9.999827540000000292e-01	3.758780518820000194e-01
4.699999999999999734e-01	9.999834370000000305e-01	3.840779369070000393e-01
4.799999999999999822e-01	9.999840920000000466e-01	3.922756489330000429e-01
4.899999999999999911e-01	9.999847189999999664e-01	4.004709600119999990e-01
5.000000000000000000e-01	9.999853210000000381e-01	4.086636452710000200e-01
5.100000000000000089e-01	9.999858990000000114e-01	4.168535003439999831e-01
5.200000000000000178e-01	9.999864550000000518e-01	4.250402722650000187e-01
5.300000000000000266e-01	9.999869890000000483e-01	4.332237271320000249e-01
5.400000000000000355e-01	9.999875040000000270e-01	4.414036120380000483e-01
5.500000000000000444e-01	9.999879990000000163e-01	4.495796756699999563e-01
5.600000000000000533e-01	9.999884759999999595e-01	4.577516904020000332e-01
5.699999999999999512e-01	9.999889370000000222e-01	4.659194126890000009e-01
5.799999999999999600e-01	9.999893810000000105e-01	4.740826113080000570e-01
5.899999999999999689e-01	9.999898099999999790e-01	4.822410551590000094e-01
5.999999999999999778e-01	9.999902250000000103e-01	4.903945067500000143e-01
6.099999999999999867e-01	9.999906259999999936e-01	4.985427121620000790e-01
6.199999999999999956e-01	9.999910130000000397e-01	5.066854273349999938e-01
6.300000000000000044e-01	9.999913879999999811e-01	5.148224086520000187e-01
6.400000000000000133e-01	9.999917520000000115e-01	5.229533809659999699e-01
6.500000000000000222e-01	9.999921040000000483e-01	5.310780504669999624e-01
6.600000000000000311e-01	9.999924449999999521e-01	5.391961443940000986e-01
6.700000000000000400e-01	9.999927749999999449e-01	5.473073682629999714e-01
6.800000000000000488e-01	9.999930959999999702e-01	5.554113821250000749e-01
6.899999999999999467e-01	9.999934080000000280e-01	5.635078077010000630e-01
6.999999999999999556e-01	9.999937100000000356e-01	5.715962437660000450e-01
7.099999999999999645e-01	9.999940040000000474e-01	5.796762389090001077e-01
7.199999999999999734e-01	9.999942889999999807e-01	5.877472475790000983e-01
7.299999999999999822e-01	9.999945670000000009e-01	5.958086608030001008e-01
