# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.070929899999999987e-04
4.016063999999999745e-03	9.537853339999999847e-01	2.307982529999999706e-03
8.032129000000000699e-03	9.764926739999999494e-01	4.519072199999999914e-03
1.204819300000000044e-02	9.843037679999999678e-01	6.740405810000000761e-03
1.606425699999999845e-02	9.882562040000000270e-01	8.972027009999999567e-03
2.008032100000000167e-02	9.906428080000000413e-01	1.121397935999999922e-02
2.409638600000000089e-02	9.922401819999999706e-01	1.346630623999999984e-02
2.811245000000000063e-02	9.933842269999999530e-01	1.572905091000000033e-02
3.212851399999999691e-02	9.942439100000000085e-01	1.800225642999999862e-02
3.614457799999999665e-02	9.949135080000000020e-01	2.028596574000000180e-02
4.016064300000000281e-02	9.954497679999999571e-01	2.258022154000000059e-02
4.417670700000000256e-02	9.958888949999999962e-01	2.488506639999999923e-02
4.819277100000000230e-02	9.962550730000000465e-01	2.720054263999999861e-02
5.220883500000000205e-02	9.965650740000000507e-01	2.952669238000000043e-02
5.622490000000000127e-02	9.968308930000000512e-01	3.186355753999999679e-02
6.024096400000000101e-02	9.970613379999999637e-01	3.421117978000000337e-02
6.425702799999999382e-02	9.972630200000000000e-01	3.656960052000000211e-02
6.827309199999999356e-02	9.974410019999999655e-01	3.893886094000000020e-02
7.228915700000000666e-02	9.975992230000000349e-01	4.131900192000000083e-02
7.630522100000000640e-02	9.977407929999999592e-01	4.371006409000000731e-02
8.032128500000000615e-02	9.978682060000000353e-01	4.611208777000000425e-02
8.433734900000000589e-02	9.979834770000000077e-01	4.852511298000000695e-02
8.835341400000000511e-02	9.980882589999999777e-01	5.094917941000000339e-02
9.236947800000000486e-02	9.981839179999999478e-01	5.338432644000000449e-02
9.638554200000000460e-02	9.982715909999999582e-01	5.583059309000000525e-02
1.004016060000000043e-01	9.983522339999999495e-01	5.828801802000000559e-02
1.044176710000000036e-01	9.984266569999999952e-01	6.075663953000000339e-02
1.084337350000000033e-01	9.984955490000000378e-01	6.323649552000000507e-02
1.124497990000000031e-01	9.985595029999999594e-01	6.572762348999999782e-02
1.164658630000000028e-01	9.986190270000000480e-01	6.823006053000001125e-02
1.204819280000000020e-01	9.986745649999999586e-01	7.074384328999999694e-02
1.244979920000000018e-01	9.987264999999999615e-01	7.326900799000000963e-02
1.285140559999999876e-01	9.987751710000000172e-01	7.580559037000000888e-02
1.325301200000000013e-01	9.988208729999999980e-01	7.835362569999999860e-02
1.365461849999999866e-01	9.988638669999999609e-01	8.091314875000001072e-02
1.405622490000000002e-01	9.989043869999999492e-01	8.348419379000000806e-02
1.445783130000000138e-01	9.989426359999999949e-01	8.606679453000000424e-02
