# x1	y1	P/MPa
0.00000000	0.00000000	0.00001771
0.00333333	0.98951944	0.00168404
0.00666667	0.99476230	0.00335842
0.01000000	0.99652224	0.00504091
0.01333333	0.99740452	0.00673152
0.01666667	0.99793461	0.00843031
0.02000000	0.99828830	0.01013730
0.02333333	0.99854106	0.01185255
0.02666667	0.99873071	0.01357608
0.03000000	0.99887824	0.01530794
0.03333333	0.99899629	0.01704816
0.03666667	0.99909288	0.01879678
0.04000000	0.99917338	0.02055385
0.04333333	0.99924149	0.02231940
0.04666667	0.99929987	0.02409346
0.05000000	0.99935046	0.02587608
0.05333333	0.99939472	0.02766729
0.05666667	0.99943378	0.02946714
0.06000000	0.99946848	0.03127565
0.06333333	0.99949953	0.03309288
0.06666667	0.99952747	0.03491885
0.07000000	0.99955274	0.03675360
0.07333333	0.99957571	0.03859718
0.07666667	0.99959668	0.04044961
0.08000000	0.99961589	0.04231094
0.08333333	0.99963357	0.04418121
0.08666667	0.99964987	0.04606045
0.09000000	0.99966497	0.04794869
0.09333333	0.99967898	0.04984599
0.09666667	0.99969202	0.05175236
0.10000000	0.99970419	0.05366785
0.10333333	0.99971557	0.05559250
0.10666667	0.99972623	0.05752634
0.11000000	0.99973624	0.05946941
0.11333333	0.99974566	0.06142175
0.11666667	0.99975454	0.06338338
0.12000000	0.99976292	0.06535435
0.12333333	0.99977084	0.06733469
0.12666667	0.99977834	0.06932444
0.13000000	0.99978545	0.07132362
0.13333333	0.99979221	0.07333229
0.13666667	0.99979863	0.07535046
0.14000000	0.99980474	0.07737818
0.14333333	0.99981056	0.07941547
0.14666667	0.99981612	0.08146238
0.15000000	0.99982142	0.08351894
0.15333333	0.99982649	0.08558517
0.15666667	0.99983135	0.08766111
0.16000000	0.99983599	0.08974680
0.16333333	0.99984045	0.09184226
0.16666667	0.99984472	0.09394753
0.17000000	0.99984882	0.09606263
0.17333333	0.99985276	0.09818761
0.17666667	0.99985655	0.10032248
0.18000000	0.99986020	0.10246729
0.18333333	0.99986371	0.10462205
0.18666667	0.99986709	0.10678681
0.19000000	0.99987035	0.10896158
0.19333333	0.99987350	0.11114640
0.19666667	0.99987653	0.11334129
0.20000000	0.99987946	0.11554629
0.20333333	0.99988230	0.11776141
0.20666667	0.99988504	0.11998669
0.21000000	0.99988769	0.12222216
0.21333333	0.99989025	0.12446782
0.21666667	0.99989273	0.12672372
0.22000000	0.99989514	0.12898988
0.22333333	0.99989747	0.13126632
0.22666667	0.99989973	0.13355306
0.23000000	0.99990192	0.13585013
0.23333333	0.99990405	0.13815754
0.23666667	0.99990611	0.14047532
0.24000000	0.99990811	0.14280350
0.24333333	0.99991006	0.14514208
0.24666667	0.99991195	0.14749109
0.25000000	0.99991379	0.14985055
0.25333333	0.99991558	0.15222048
0.25666667	0.99991732	0.15460089
