# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.770876000000000289e-05
3.333332999999999956e-03	9.895194419999999713e-01	1.684038525000000185e-03
6.666667000000000252e-03	9.947622990000000165e-01	3.358424578999999899e-03
1.000000000000000021e-02	9.965222430000000298e-01	5.040905424000000946e-03
1.333333299999999930e-02	9.974045200000000166e-01	6.731519570999999931e-03
1.666666699999999959e-02	9.979346110000000269e-01	8.430305529999999534e-03
2.000000000000000042e-02	9.982882960000000194e-01	1.013730180900000027e-02
2.333333300000000124e-02	9.985410639999999782e-01	1.185254690800000010e-02
2.666666700000000154e-02	9.987307069999999953e-01	1.357607931500000135e-02
2.999999999999999889e-02	9.988782419999999718e-01	1.530793749700000081e-02
3.333333299999999971e-02	9.989962879999999545e-01	1.704815990200000270e-02
3.666666700000000001e-02	9.990928799999999610e-01	1.879678494400000011e-02
4.000000000000000083e-02	9.991733769999999737e-01	2.055385100900000012e-02
4.333333300000000166e-02	9.992414889999999827e-01	2.231939643900000131e-02
4.666666700000000195e-02	9.992998680000000356e-01	2.409345953200000071e-02
5.000000000000000278e-02	9.993504600000000515e-01	2.587607853700000030e-02
5.333333299999999666e-02	9.993947239999999566e-01	2.766729164399999927e-02
5.666666699999999696e-02	9.994337760000000515e-01	2.946713697999999923e-02
5.999999999999999778e-02	9.994684830000000186e-01	3.127565260299999816e-02
6.333333300000000554e-02	9.994995309999999966e-01	3.309287649800000258e-02
6.666666699999999890e-02	9.995274699999999735e-01	3.491884656500000156e-02
7.000000000000000666e-02	9.995527419999999941e-01	3.675360061700000402e-02
7.333333300000000055e-02	9.995757119999999496e-01	3.859717636999999979e-02
7.666666699999999390e-02	9.995966790000000435e-01	4.044961144100000378e-02
8.000000000000000167e-02	9.996158929999999776e-01	4.231094333700000099e-02
8.333333299999999555e-02	9.996335659999999734e-01	4.418120944600000682e-02
8.666666700000000279e-02	9.996498740000000494e-01	4.606044703500000032e-02
8.999999999999999667e-02	9.996649690000000144e-01	4.794869323999999960e-02
