# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.230428200000000086e-05
1.000000000000000021e-02	9.985356090000000462e-01	8.318270284000001472e-03
2.000000000000000042e-02	9.992745060000000068e-01	1.662059976900000235e-02
2.999999999999999889e-02	9.995210429999999979e-01	2.491899941000000340e-02
4.000000000000000083e-02	9.996443539999999572e-01	3.321317471500000174e-02
5.000000000000000278e-02	9.997183520000000323e-01	4.150283069900000121e-02
5.999999999999999778e-02	9.997676880000000432e-01	4.978767333000000406e-02
7.000000000000000666e-02	9.998029290000000069e-01	5.806740104699999877e-02
8.000000000000000167e-02	9.998293600000000003e-01	6.634171503800000147e-02
8.999999999999999667e-02	9.998499159999999497e-01	7.461032937000000587e-02
1.000000000000000056e-01	9.998663610000000368e-01	8.287295541600001036e-02
1.100000000000000006e-01	9.998798150000000051e-01	9.112929328900000459e-02
1.199999999999999956e-01	9.998910260000000161e-01	9.937901720500000313e-02
1.300000000000000044e-01	9.999005109999999918e-01	1.076218136610000153e-01
1.400000000000000133e-01	9.999086409999999869e-01	1.158574350150000098e-01
1.499999999999999944e-01	9.999156860000000258e-01	1.240855943430000108e-01
1.600000000000000033e-01	9.999218490000000292e-01	1.323060188700000139e-01
1.700000000000000122e-01	9.999272869999999980e-01	1.405184121280000087e-01
1.799999999999999933e-01	9.999321209999999516e-01	1.487228091929999885e-01
1.900000000000000022e-01	9.999364450000000071e-01	1.569189027930000258e-01
2.000000000000000111e-01	9.999403359999999852e-01	1.651062564069999961e-01
2.099999999999999922e-01	9.999438569999999915e-01	1.732846404140000185e-01
2.200000000000000011e-01	9.999470569999999725e-01	1.814538255969999903e-01
2.300000000000000100e-01	9.999499779999999616e-01	1.896135800510000136e-01
2.399999999999999911e-01	9.999526560000000508e-01	1.977634850400000199e-01
2.500000000000000000e-01	9.999551190000000034e-01	2.059034459300000119e-01
2.600000000000000089e-01	9.999573929999999722e-01	2.140334141209999930e-01
2.700000000000000178e-01	9.999594979999999467e-01	2.221531942490000133e-01
2.800000000000000266e-01	9.999614519999999729e-01	2.302625890159999966e-01
