# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	7.712976000000001215e-05
4.016063999999999745e-03	9.571101600000000431e-01	1.791088340000000084e-03
8.032129000000000699e-03	9.782413909999999602e-01	3.516227289999999950e-03
1.204819300000000044e-02	9.854937449999999766e-01	5.252626160000000051e-03
1.606425699999999845e-02	9.891601859999999968e-01	7.000364789999999685e-03
2.008032100000000167e-02	9.913730050000000293e-01	8.759523380000000178e-03
2.409638600000000089e-02	9.928535819999999568e-01	1.053018244000000075e-02
2.811245000000000063e-02	9.939137239999999984e-01	1.231242278000000030e-02
3.212851399999999691e-02	9.947102079999999846e-01	1.410632552999999990e-02
3.614457799999999665e-02	9.953304809999999891e-01	1.591197210000000126e-02
4.016064300000000281e-02	9.958271680000000403e-01	1.772944421000000048e-02
4.417670700000000256e-02	9.962338360000000392e-01	1.955882383999999960e-02
4.819277100000000230e-02	9.965729049999999534e-01	2.140019325000000125e-02
5.220883500000000205e-02	9.968599200000000105e-01	2.325363495999999836e-02
5.622490000000000127e-02	9.971060000000000478e-01	2.511923175000000188e-02
6.024096400000000101e-02	9.973193059999999610e-01	2.699706663000000020e-02
6.425702799999999382e-02	9.975059659999999662e-01	2.888722286000000236e-02
6.827309199999999356e-02	9.976706699999999817e-01	3.078978388999999843e-02
7.228915700000000666e-02	9.978170669999999465e-01	3.270483343000000348e-02
7.630522100000000640e-02	9.979480410000000079e-01	3.463245533999999987e-02
8.032128500000000615e-02	9.980658989999999786e-01	3.657273370999999940e-02
8.433734900000000589e-02	9.981725120000000118e-01	3.852575276999999770e-02
8.835341400000000511e-02	9.982694090000000520e-01	4.049159695000000003e-02
9.236947800000000486e-02	9.983578549999999607e-01	4.247035080000000073e-02
9.638554200000000460e-02	9.984389030000000442e-01	4.446209901999999964e-02
1.004016060000000043e-01	9.985134409999999461e-01	4.646692642999999956e-02
1.044176710000000036e-01	9.985822170000000497e-01	4.848491798000000019e-02
1.084337350000000033e-01	9.986458700000000466e-01	5.051615867000000537e-02
1.124497990000000031e-01	9.987049489999999530e-01	5.256073362000000110e-02
1.164658630000000028e-01	9.987599249999999929e-01	5.461872798999999751e-02
1.204819280000000020e-01	9.988112089999999776e-01	5.669022701000000358e-02
