# x1	y1	P/MPa
0.00000000	0.00000000	0.00000036
0.00333333	0.99958345	0.00086840
0.00666667	0.99979357	0.00174639
0.01000000	0.99986362	0.00263443
0.01333333	0.99989865	0.00353262
0.01666667	0.99991966	0.00444108
0.02000000	0.99993366	0.00535991
0.02333333	0.99994367	0.00628923
0.02666667	0.99995117	0.00722913
0.03000000	0.99995700	0.00817974
0.03333333	0.99996166	0.00914116
0.03666667	0.99996547	0.01011350
0.04000000	0.99996865	0.01109689
0.04333333	0.99997133	0.01209142
0.04666667	0.99997364	0.01309722
0.05000000	0.99997563	0.01411440
0.05333333	0.99997737	0.01514307
0.05666667	0.99997891	0.01618336
0.06000000	0.99998027	0.01723537
0.06333333	0.99998149	0.01829924
0.06666667	0.99998259	0.01937506
0.07000000	0.99998358	0.02046298
0.07333333	0.99998448	0.02156310
0.07666667	0.99998530	0.02267554
0.08000000	0.99998606	0.02380043
0.08333333	0.99998675	0.02493789
0.08666667	0.99998738	0.02608803
0.09000000	0.99998797	0.02725099
0.09333333	0.99998852	0.02842689
0.09666667	0.99998903	0.02961585
0.10000000	0.99998950	0.03081799
0.10333333	0.99998994	0.03203344
0.10666667	0.99999036	0.03326233
0.11000000	0.99999075	0.03450478
0.11333333	0.99999111	0.03576091
0.11666667	0.99999146	0.03703087
0.12000000	0.99999178	0.03831476
0.12333333	0.99999209	0.03961273
0.12666667	0.99999238	0.04092489
0.13000000	0.99999265	0.04225138
0.13333333	0.99999291	0.04359232
0.13666667	0.99999316	0.04494785
0.14000000	0.99999339	0.04631809
0.14333333	0.99999361	0.04770317
0.14666667	0.99999383	0.04910323
0.15000000	0.99999403	0.05051839
0.15333333	0.99999422	0.05194878
0.15666667	0.99999441	0.05339453
0.16000000	0.99999458	0.05485577
0.16333333	0.99999475	0.05633264
0.16666667	0.99999491	0.05782526
0.17000000	0.99999507	0.05933376
0.17333333	0.99999522	0.06085827
0.17666667	0.99999536	0.06239893
0.18000000	0.99999550	0.06395586
0.18333333	0.99999563	0.06552919
0.18666667	0.99999576	0.06711905
0.19000000	0.99999588	0.06872557
0.19333333	0.99999600	0.07034888
0.19666667	0.99999611	0.07198910
0.20000000	0.99999622	0.07364637
0.20333333	0.99999632	0.07532082
0.20666667	0.99999642	0.07701256
0.21000000	0.99999652	0.07872173
0.21333333	0.99999662	0.08044844
0.21666667	0.99999671	0.08219284
0.22000000	0.99999680	0.08395504
0.22333333	0.99999688	0.08573516
0.22666667	0.99999696	0.08753332
0.23000000	0.99999704	0.08934966
0.23333333	0.99999712	0.09118429
0.23666667	0.99999719	0.09303733
0.24000000	0.99999727	0.09490889
0.24333333	0.99999734	0.09679910
0.24666667	0.99999741	0.09870808
0.25000000	0.99999747	0.10063594
0.25333333	0.99999753	0.10258279
0.25666667	0.99999760	0.10454874
0.26000000	0.99999766	0.10653392
0.26333333	0.99999772	0.10853842
0.26666667	0.99999777	0.11056235
0.27000000	0.99999783	0.11260583
0.27333333	0.99999788	0.11466895
0.27666667	0.99999793	0.11675183
0.28000000	0.99999798	0.11885456
0.28333333	0.99999803	0.12097724
0.28666667	0.99999808	0.12311996
0.29000000	0.99999813	0.12528283
0.29333333	0.99999817	0.12746594
0.29666667	0.99999822	0.12966938
0.30000000	0.99999826	0.13189324
0.30333333	0.99999830	0.13413759
0.30666667	0.99999834	0.13640254
0.31000000	0.99999838	0.13868816
0.31333333	0.99999842	0.14099452
0.31666667	0.99999846	0.14332171
0.32000000	0.99999849	0.14566979
0.32333333	0.99999853	0.14803884
0.32666667	0.99999856	0.15042893
0.33000000	0.99999860	0.15284012
0.33333333	0.99999863	0.15527247
0.33666667	0.99999866	0.15772604
0.34000000	0.99999869	0.16020088
0.34333333	0.99999872	0.16269705
0.34666667	0.99999875	0.16521460
0.35000000	0.99999878	0.16775356
0.35333333	0.99999881	0.17031398
0.35666667	0.99999884	0.17289590
0.36000000	0.99999886	0.17549935
0.36333333	0.99999889	0.17812436
0.36666667	0.99999892	0.18077095
0.37000000	0.99999894	0.18343915
0.37333333	0.99999896	0.18612898
0.37666667	0.99999899	0.18884044
0.38000000	0.99999901	0.19157355
0.38333333	0.99999903	0.19432831
0.38666667	0.99999906	0.19710472
0.39000000	0.99999908	0.19990278
0.39333333	0.99999910	0.20272247
0.39666667	0.99999912	0.20556378
0.40000000	0.99999914	0.20842669
0.40333333	0.99999916	0.21131119
0.40666667	0.99999918	0.21421723
0.41000000	0.99999920	0.21714478
0.41333333	0.99999921	0.22009381
0.41666667	0.99999923	0.22306427
0.42000000	0.99999925	0.22605611
