# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.598009000000000026e-06
1.000000000000000021e-02	9.998392889999999644e-01	9.843829515000001099e-03
2.000000000000000042e-02	9.999204849999999700e-01	1.969451989200000225e-02
2.999999999999999889e-02	9.999475490000000466e-01	2.955137765299999802e-02
4.000000000000000083e-02	9.999610780000000032e-01	3.941237603899999664e-02
5.000000000000000278e-02	9.999691929999999784e-01	4.927487298699999990e-02
5.999999999999999778e-02	9.999746010000000185e-01	5.913610826699999823e-02
7.000000000000000666e-02	9.999784619999999569e-01	6.899355273600001059e-02
8.000000000000000167e-02	9.999813549999999607e-01	7.884391715199999540e-02
8.999999999999999667e-02	9.999836039999999704e-01	8.868441302799999482e-02
1.000000000000000056e-01	9.999854019999999677e-01	9.851229921300000414e-02
1.100000000000000006e-01	9.999868710000000549e-01	1.083238809180000206e-01
1.199999999999999956e-01	9.999880939999999940e-01	1.181150679320000230e-01
1.300000000000000044e-01	9.999891269999999777e-01	1.278820103770000050e-01
1.400000000000000133e-01	9.999900120000000392e-01	1.376211320400000104e-01
1.499999999999999944e-01	9.999907770000000529e-01	1.473284975159999954e-01
1.600000000000000033e-01	9.999914460000000060e-01	1.570002497080000003e-01
1.700000000000000122e-01	9.999920350000000013e-01	1.666327250800000159e-01
1.799999999999999933e-01	9.999925570000000041e-01	1.762218422810000185e-01
1.900000000000000022e-01	9.999930230000000364e-01	1.857610195630000072e-01
2.000000000000000111e-01	9.999934419999999546e-01	1.952474653100000068e-01
2.099999999999999922e-01	9.999938200000000332e-01	2.046777815780000120e-01
2.200000000000000011e-01	9.999941620000000198e-01	2.140463095130000215e-01
2.300000000000000100e-01	9.999944739999999666e-01	2.233478300110000037e-01
2.399999999999999911e-01	9.999947590000000108e-01	2.325783958790000050e-01
2.500000000000000000e-01	9.999950199999999567e-01	2.417318933180000184e-01
2.600000000000000089e-01	9.999952600000000524e-01	2.508037062930000283e-01
2.700000000000000178e-01	9.999954819999999911e-01	2.597876931650000554e-01
2.800000000000000266e-01	9.999956869999999665e-01	2.686799866189999997e-01
2.899999999999999800e-01	9.999958770000000330e-01	2.774769682950000149e-01
2.999999999999999889e-01	9.999960530000000514e-01	2.861716827679999797e-01
3.099999999999999978e-01	9.999962180000000478e-01	2.947616172460000294e-01
3.200000000000000067e-01	9.999963710000000505e-01	3.032416600700000298e-01
3.300000000000000155e-01	9.999965149999999747e-01	3.116078960210000304e-01
3.400000000000000244e-01	9.999966489999999597e-01	3.198557150060000187e-01
3.499999999999999778e-01	9.999967749999999489e-01	3.279804256380000060e-01
3.599999999999999867e-01	9.999968930000000533e-01	3.359800247329999823e-01
3.699999999999999956e-01	9.999970040000000226e-01	3.438520497040000179e-01
3.800000000000000044e-01	9.999971090000000506e-01	3.515954557920000223e-01
3.900000000000000133e-01	9.999972080000000263e-01	3.592120222610000191e-01
4.000000000000000222e-01	9.999973020000000323e-01	3.666957078080000376e-01
4.099999999999999756e-01	9.999973899999999860e-01	3.740466249330000603e-01
4.199999999999999845e-01	9.999974740000000528e-01	3.812652474179999973e-01
4.299999999999999933e-01	9.999975540000000107e-01	3.883503506340000300e-01
4.400000000000000022e-01	9.999976289999999990e-01	3.953065808920000479e-01
4.500000000000000111e-01	9.999977009999999611e-01	4.021425540110000196e-01
4.600000000000000200e-01	9.999977700000000080e-01	4.088782957670000218e-01
4.699999999999999734e-01	9.999978360000000288e-01	4.155041483720000040e-01
4.799999999999999822e-01	9.999978999999999951e-01	4.220198846149999516e-01
4.899999999999999911e-01	9.999979599999999635e-01	4.284526238380000351e-01
5.000000000000000000e-01	9.999980189999999602e-01	4.348115234170000232e-01
5.100000000000000089e-01	9.999980750000000418e-01	4.410642413450000521e-01
5.200000000000000178e-01	9.999981300000000406e-01	4.472646338919999964e-01
5.300000000000000266e-01	9.999981829999999849e-01	4.534282522190000719e-01
5.400000000000000355e-01	9.999982349999999576e-01	4.595584678920000554e-01
5.500000000000000444e-01	9.999982849999999868e-01	4.656863709610000179e-01
5.600000000000000533e-01	9.999983340000000442e-01	4.717810858320000134e-01
5.699999999999999512e-01	9.999983829999999907e-01	4.778608609939999918e-01
5.799999999999999600e-01	9.999984299999999937e-01	4.839855150610000711e-01
5.899999999999999689e-01	9.999984769999999967e-01	4.901357211260000679e-01
5.999999999999999778e-01	9.999985239999999997e-01	4.963298316250000508e-01
6.099999999999999867e-01	9.999985700000000310e-01	5.025717835270000489e-01
6.199999999999999956e-01	9.999986149999999796e-01	5.088719737800000420e-01
6.300000000000000044e-01	9.999986600000000392e-01	5.152421395970000484e-01
6.400000000000000133e-01	9.999987049999999877e-01	5.217042465700000298e-01
6.500000000000000222e-01	9.999987500000000473e-01	5.282541680940000539e-01
6.600000000000000311e-01	9.999987940000000242e-01	5.348999738399999870e-01
6.700000000000000400e-01	9.999988380000000010e-01	5.416518438099999777e-01
