# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.522543999999999978e-06
3.344482000000000184e-03	9.991819349999999655e-01	1.854909182999999991e-03
6.688963000000000027e-03	9.995939080000000310e-01	3.724051759999999923e-03
1.003344500000000021e-02	9.997312959999999915e-01	5.608988383000000286e-03
1.337792600000000005e-02	9.997999950000000524e-01	7.509755671000001125e-03
1.672240800000000110e-02	9.998412129999999509e-01	9.426388731000000937e-03
2.006689000000000042e-02	9.998686869999999782e-01	1.135892113700000088e-02
2.341137100000000026e-02	9.998883069999999762e-01	1.330738489899999967e-02
2.675585299999999958e-02	9.999030180000000323e-01	1.527181044300000151e-02
3.010033399999999942e-02	9.999144559999999515e-01	1.725222658300000142e-02
3.344481600000000221e-02	9.999236040000000214e-01	1.924866050000000051e-02
3.678929799999999806e-02	9.999310850000000528e-01	2.126113771400000088e-02
4.013377900000000137e-02	9.999373169999999922e-01	2.328968206099999924e-02
4.347826099999999722e-02	9.999425870000000494e-01	2.533431567000000301e-02
4.682274200000000053e-02	9.999471020000000321e-01	2.739505893700000180e-02
5.016722400000000331e-02	9.999510120000000279e-01	2.947193049499999967e-02
5.351170599999999916e-02	9.999544320000000042e-01	3.156494722000000031e-02
5.685618700000000247e-02	9.999574469999999993e-01	3.367412416600000513e-02
6.020066899999999832e-02	9.999601259999999492e-01	3.579947456300000552e-02
6.354515099999999417e-02	9.999625199999999658e-01	3.794100979599999979e-02
6.688963200000000442e-02	9.999646739999999978e-01	4.009873937700000196e-02
7.023411400000000027e-02	9.999666200000000282e-01	4.227267092300000112e-02
7.357859499999999664e-02	9.999683889999999575e-01	4.446281013700000700e-02
7.692307700000000636e-02	9.999700019999999689e-01	4.666916078000000329e-02
8.026755900000000221e-02	9.999714790000000519e-01	4.889172465500000314e-02
8.361203999999999859e-02	9.999728369999999478e-01	5.113050158099999992e-02
8.695652199999999443e-02	9.999740879999999832e-01	5.338548937700000191e-02
9.030100300000000468e-02	9.999752459999999843e-01	5.565668383300000077e-02
9.364548500000000053e-02	9.999763200000000296e-01	5.794407869899999980e-02
9.698996699999999638e-02	9.999773189999999756e-01	6.024766565800000750e-02
1.003344480000000066e-01	9.999782499999999574e-01	6.256743430699999997e-02
1.036789300000000025e-01	9.999791199999999991e-01	6.490337213999999855e-02
1.070234109999999988e-01	9.999799350000000420e-01	6.725546452500000272e-02
1.103678929999999947e-01	9.999806989999999729e-01	6.962369468800000405e-02
1.137123750000000044e-01	9.999814169999999836e-01	7.200804369299999841e-02
1.170568560000000008e-01	9.999820940000000435e-01	7.440849042400000946e-02
1.204013379999999966e-01	9.999827310000000136e-01	7.682501156700000111e-02
1.237458190000000069e-01	9.999833339999999460e-01	7.925758159300000383e-02
1.270903009999999889e-01	9.999839040000000345e-01	8.170617273900000754e-02
1.304347829999999986e-01	9.999844439999999723e-01	8.417075499300000208e-02
1.337792640000000088e-01	9.999849560000000359e-01	8.665129607999999539e-02
1.371237459999999908e-01	9.999854419999999466e-01	8.914776144899999588e-02
1.404682270000000011e-01	9.999859039999999810e-01	9.166011422599999736e-02
