# x1	y1	P/MPa
0.00000000	0.00000000	0.00002692
0.00333333	0.99603556	0.00676669
0.00666667	0.99802146	0.01351323
0.01000000	0.99868518	0.02026650
0.01333333	0.99901737	0.02702647
0.01666667	0.99921679	0.03379314
0.02000000	0.99934978	0.04056646
0.02333333	0.99944479	0.04734642
0.02666667	0.99951606	0.05413300
0.03000000	0.99957149	0.06092616
0.03333333	0.99961585	0.06772589
0.03666667	0.99965214	0.07453215
0.04000000	0.99968238	0.08134492
0.04333333	0.99970797	0.08816417
0.04666667	0.99972990	0.09498987
0.05000000	0.99974891	0.10182200
0.05333333	0.99976555	0.10866052
0.05666667	0.99978022	0.11550540
0.06000000	0.99979327	0.12235662
0.06333333	0.99980494	0.12921415
0.06666667	0.99981544	0.13607794
0.07000000	0.99982494	0.14294798
0.07333333	0.99983358	0.14982422
0.07666667	0.99984147	0.15670664
0.08000000	0.99984870	0.16359520
0.08333333	0.99985535	0.17048987
0.08666667	0.99986149	0.17739061
0.09000000	0.99986717	0.18429738
0.09333333	0.99987245	0.19121016
0.09666667	0.99987736	0.19812890
0.10000000	0.99988194	0.20505356
0.10333333	0.99988623	0.21198411
0.10666667	0.99989025	0.21892051
0.11000000	0.99989403	0.22586272
0.11333333	0.99989758	0.23281070
0.11666667	0.99990093	0.23976441
0.12000000	0.99990409	0.24672380
0.12333333	0.99990709	0.25368884
0.12666667	0.99990992	0.26065948
0.13000000	0.99991261	0.26763568
0.13333333	0.99991516	0.27461740
0.13666667	0.99991759	0.28160458
0.14000000	0.99991990	0.28859719
0.14333333	0.99992211	0.29559518
0.14666667	0.99992421	0.30259849
0.15000000	0.99992622	0.30960709
0.15333333	0.99992814	0.31662092
0.15666667	0.99992998	0.32363994
0.16000000	0.99993175	0.33066409
0.16333333	0.99993344	0.33769332
0.16666667	0.99993506	0.34472759
0.17000000	0.99993662	0.35176683
0.17333333	0.99993812	0.35881100
0.17666667	0.99993956	0.36586004
0.18000000	0.99994095	0.37291390
0.18333333	0.99994229	0.37997252
0.18666667	0.99994358	0.38703584
0.19000000	0.99994482	0.39410381
0.19333333	0.99994602	0.40117637
0.19666667	0.99994718	0.40825345
0.20000000	0.99994830	0.41533501
0.20333333	0.99994939	0.42242097
0.20666667	0.99995043	0.42951129
0.21000000	0.99995145	0.43660588
0.21333333	0.99995243	0.44370469
0.21666667	0.99995338	0.45080766
0.22000000	0.99995431	0.45791472
0.22333333	0.99995520	0.46502581
0.22666667	0.99995607	0.47214085
0.23000000	0.99995692	0.47925977
0.23333333	0.99995774	0.48638252
0.23666667	0.99995853	0.49350902
0.24000000	0.99995930	0.50063919
0.24333333	0.99996006	0.50777297
0.24666667	0.99996079	0.51491028
0.25000000	0.99996150	0.52205104
0.25333333	0.99996219	0.52919519
0.25666667	0.99996287	0.53634265
0.26000000	0.99996352	0.54349334
0.26333333	0.99996416	0.55064717
0.26666667	0.99996479	0.55780408
0.27000000	0.99996540	0.56496398
0.27333333	0.99996599	0.57212679
0.27666667	0.99996657	0.57929242
0.28000000	0.99996713	0.58646080
0.28333333	0.99996768	0.59363184
0.28666667	0.99996822	0.60080545
0.29000000	0.99996875	0.60798154
0.29333333	0.99996926	0.61516003
0.29666667	0.99996976	0.62234083
0.30000000	0.99997026	0.62952385
0.30333333	0.99997073	0.63670899
0.30666667	0.99997120	0.64389617
0.31000000	0.99997166	0.65108529
0.31333333	0.99997211	0.65827625
0.31666667	0.99997255	0.66546895
0.32000000	0.99997298	0.67266331
0.32333333	0.99997340	0.67985922
0.32666667	0.99997381	0.68705658
0.33000000	0.99997421	0.69425529
0.33333333	0.99997461	0.70145525
0.33666667	0.99997499	0.70865635
0.34000000	0.99997537	0.71585849
0.34333333	0.99997575	0.72306156
0.34666667	0.99997611	0.73026545
0.35000000	0.99997647	0.73747006
0.35333333	0.99997682	0.74467527
0.35666667	0.99997716	0.75188098
0.36000000	0.99997750	0.75908707
0.36333333	0.99997783	0.76629342
0.36666667	0.99997815	0.77349993
0.37000000	0.99997847	0.78070646
0.37333333	0.99997878	0.78791291
0.37666667	0.99997909	0.79511916
0.38000000	0.99997939	0.80232508
0.38333333	0.99997969	0.80953054
0.38666667	0.99997998	0.81673544
0.39000000	0.99998026	0.82393964
0.39333333	0.99998054	0.83114301
0.39666667	0.99998082	0.83834542
0.40000000	0.99998109	0.84554675
0.40333333	0.99998135	0.85274687
0.40666667	0.99998162	0.85994563
0.41000000	0.99998187	0.86714291
0.41333333	0.99998213	0.87433858
0.41666667	0.99998237	0.88153248
0.42000000	0.99998262	0.88872449
0.42333333	0.99998286	0.89591447
0.42666667	0.99998310	0.90310226
0.43000000	0.99998333	0.91028774
0.43333333	0.99998356	0.91747074
0.43666667	0.99998378	0.92465114
0.44000000	0.99998400	0.93182877
0.44333333	0.99998422	0.93900349
0.44666667	0.99998444	0.94617514
0.45000000	0.99998465	0.95334358
0.45333333	0.99998486	0.96050865
0.45666667	0.99998506	0.96767019
0.46000000	0.99998526	0.97482804
0.46333333	0.99998546	0.98198204
0.46666667	0.99998566	0.98913204
0.47000000	0.99998585	0.99627787
0.47333333	0.99998604	1.00341937
0.47666667	0.99998623	1.01055636
0.48000000	0.99998641	1.01768868
0.48333333	0.99998659	1.02481616
0.48666667	0.99998677	1.03193863
0.49000000	0.99998695	1.03905592
0.49333333	0.99998712	1.04616784
0.49666667	0.99998730	1.05327423
0.50000000	0.99998746	1.06037491
0.50333333	0.99998763	1.06746969
0.50666667	0.99998780	1.07455839
0.51000000	0.99998796	1.08164083
0.51333333	0.99998812	1.08871683
0.51666667	0.99998827	1.09578619
0.52000000	0.99998843	1.10284872
0.52333333	0.99998858	1.10990425
0.52666667	0.99998873	1.11695256
0.53000000	0.99998888	1.12399348
0.53333333	0.99998903	1.13102680
0.53666667	0.99998917	1.13805232
0.54000000	0.99998932	1.14506984
0.54333333	0.99998946	1.15207917
0.54666667	0.99998960	1.15908010
0.55000000	0.99998974	1.16607242
0.55333333	0.99998987	1.17305592
0.55666667	0.99999001	1.18003040
0.56000000	0.99999014	1.18699565
0.56333333	0.99999027	1.19395145
0.56666667	0.99999040	1.20089759
0.57000000	0.99999052	1.20783385
0.57333333	0.99999065	1.21476001
0.57666667	0.99999077	1.22167585
0.58000000	0.99999090	1.22858116
0.58333333	0.99999102	1.23547570
0.58666667	0.99999114	1.24235925
0.59000000	0.99999125	1.24923159
0.59333333	0.99999137	1.25609248
0.59666667	0.99999149	1.26294169
0.60000000	0.99999160	1.26977899
0.60333333	0.99999171	1.27660414
0.60666667	0.99999182	1.28341691
0.61000000	0.99999193	1.29021705
0.61333333	0.99999204	1.29700434
0.61666667	0.99999215	1.30377851
0.62000000	0.99999225	1.31053934
0.62333333	0.99999236	1.31728657
0.62666667	0.99999246	1.32401996
0.63000000	0.99999256	1.33073925
0.63333333	0.99999266	1.33744419
0.63666667	0.99999276	1.34413454
0.64000000	0.99999286	1.35081003
0.64333333	0.99999296	1.35747040
0.64666667	0.99999305	1.36411541
0.65000000	0.99999315	1.37074478
0.65333333	0.99999324	1.37735825
0.65666667	0.99999334	1.38395557
0.66000000	0.99999343	1.39053646
0.66333333	0.99999352	1.39710065
0.66666667	0.99999361	1.40364788
0.67000000	0.99999370	1.41017788
0.67333333	0.99999379	1.41669036
0.67666667	0.99999387	1.42318507
0.68000000	0.99999396	1.42966171
0.68333333	0.99999404	1.43612001
0.68666667	0.99999413	1.44255969
0.69000000	0.99999421	1.44898047
0.69333333	0.99999429	1.45538206
0.69666667	0.99999437	1.46176418
0.70000000	0.99999445	1.46812655
0.70333333	0.99999453	1.47446886
0.70666667	0.99999461	1.48079084
0.71000000	0.99999469	1.48709219
0.71333333	0.99999477	1.49337262
0.71666667	0.99999484	1.49963182
0.72000000	0.99999492	1.50586951
0.72333333	0.99999499	1.51208539
0.72666667	0.99999507	1.51827915
0.73000000	0.99999514	1.52445049
0.73333333	0.99999521	1.53059912
0.73666667	0.99999528	1.53672472
0.74000000	0.99999535	1.54282698
0.74333333	0.99999542	1.54890561
0.74666667	0.99999549	1.55496028
0.75000000	0.99999556	1.56099069
0.75333333	0.99999563	1.56699653
0.75666667	0.99999570	1.57297747
0.76000000	0.99999576	1.57893321
0.76333333	0.99999583	1.58486343
0.76666667	0.99999590	1.59076780
0.77000000	0.99999596	1.59664600
0.77333333	0.99999602	1.60249771
0.77666667	0.99999609	1.60832262
0.78000000	0.99999615	1.61412038
0.78333333	0.99999621	1.61989068
0.78666667	0.99999628	1.62563318
0.79000000	0.99999634	1.63134755
0.79333333	0.99999640	1.63703346
0.79666667	0.99999646	1.64269058
0.80000000	0.99999652	1.64831856
0.80333333	0.99999658	1.65391708
0.80666667	0.99999664	1.65948578
0.81000000	0.99999669	1.66502434
0.81333333	0.99999675	1.67053240
0.81666667	0.99999681	1.67600961
0.82000000	0.99999686	1.68145564
0.82333333	0.99999692	1.68687013
0.82666667	0.99999697	1.69225273
0.83000000	0.99999703	1.69760308
0.83333333	0.99999708	1.70292084
0.83666667	0.99999714	1.70820564
0.84000000	0.99999719	1.71345712
0.84333333	0.99999725	1.71867493
0.84666667	0.99999730	1.72385869
0.85000000	0.99999735	1.72900805
0.85333333	0.99999740	1.73412263
0.85666667	0.99999746	1.73920206
0.86000000	0.99999751	1.74424599
0.86333333	0.99999756	1.74925402
0.86666667	0.99999761	1.75422579
0.87000000	0.99999766	1.75916093
0.87333333	0.99999771	1.76405906
0.87666667	0.99999776	1.76891980
0.88000000	0.99999781	1.77374278
0.88333333	0.99999786	1.77852763
0.88666667	0.99999791	1.78327397
0.89000000	0.99999796	1.78798144
0.89333333	0.99999800	1.79264968
0.89666667	0.99999805	1.79727833
0.90000000	0.99999810	1.80186704
0.90333333	0.99999815	1.80641547
0.90666667	0.99999820	1.81092331
0.91000000	0.99999825	1.81539025
0.91333333	0.99999829	1.81981601
0.91666667	0.99999834	1.82420033
0.92000000	0.99999839	1.82854300
0.92333333	0.99999843	1.83284386
0.92666667	0.99999848	1.83710277
0.93000000	0.99999853	1.84131971
0.93333333	0.99999858	1.84549470
0.93666667	0.99999863	1.84962789
0.94000000	0.99999867	1.85371956
0.94333333	0.99999872	1.85777017
0.94666667	0.99999877	1.86178037
0.95000000	0.99999882	1.86575107
0.95333333	0.99999887	1.86968357
0.95666667	0.99999892	1.87357954
0.96000000	0.99999898	1.87744128
0.96333333	0.99999903	1.88127179
0.96666667	0.99999908	1.88507509
0.97000000	0.99999914	1.88885655
0.97333333	0.99999920	1.89262342
0.97666667	0.99999926	1.89638561
0.98000000	0.99999932	1.90015700
0.98333333	0.99999939	1.90395754
0.98666667	0.99999947	1.90781718
0.99000000	0.99999956	1.91178358
0.99333333	0.99999966	1.91594006
0.99666667	0.99999979	1.92045864
1.00000000	1.00000000	1.92586900
