# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	2.691585699999999995e-05
3.333332999999999956e-03	9.960355560000000441e-01	6.766694402999999872e-03
6.666667000000000252e-03	9.980214600000000269e-01	1.351322835400000158e-02
1.000000000000000021e-02	9.986851839999999481e-01	2.026649518700000124e-02
1.333333299999999930e-02	9.990173749999999853e-01	2.702647190100000360e-02
1.666666699999999959e-02	9.992167920000000203e-01	3.379313501299999883e-02
2.000000000000000042e-02	9.993497789999999936e-01	4.056646055500000292e-02
2.333333300000000124e-02	9.994447899999999718e-01	4.734642406400000475e-02
2.666666700000000154e-02	9.995160579999999850e-01	5.413300057999999998e-02
2.999999999999999889e-02	9.995714940000000048e-01	6.092616463800000493e-02
3.333333299999999971e-02	9.996158459999999746e-01	6.772589026399999934e-02
3.666666700000000001e-02	9.996521360000000245e-01	7.453215096699999931e-02
4.000000000000000083e-02	9.996823780000000381e-01	8.134491973700000433e-02
4.333333300000000166e-02	9.997079679999999469e-01	8.816416903300000607e-02
4.666666700000000195e-02	9.997299029999999753e-01	9.498987078200001044e-02
5.000000000000000278e-02	9.997489120000000451e-01	1.018219963730000038e-01
5.333333299999999666e-02	9.997655460000000049e-01	1.086605166479999995e-01
5.666666699999999696e-02	9.997802220000000517e-01	1.155054018970000096e-01
5.999999999999999778e-02	9.997932659999999583e-01	1.223566218530000027e-01
6.333333300000000554e-02	9.998049380000000319e-01	1.292141456829999924e-01
6.666666699999999890e-02	9.998154409999999714e-01	1.360779419870000173e-01
7.000000000000000666e-02	9.998249439999999932e-01	1.429479787840000071e-01
7.333333300000000055e-02	9.998335830000000257e-01	1.498242235130000100e-01
7.666666699999999390e-02	9.998414700000000099e-01	1.567066430209999861e-01
8.000000000000000167e-02	9.998486989999999519e-01	1.635952035620000244e-01
8.333333299999999555e-02	9.998553489999999488e-01	1.704898707820000081e-01
8.666666700000000279e-02	9.998614869999999932e-01	1.773906097229999979e-01
8.999999999999999667e-02	9.998671700000000273e-01	1.842973848070000031e-01
9.333333300000000443e-02	9.998724469999999975e-01	1.912101598339999986e-01
9.666666699999999779e-02	9.998773589999999656e-01	1.981288979760000291e-01
1.000000000000000056e-01	9.998819439999999670e-01	2.050535617659999810e-01
1.033333329999999994e-01	9.998862320000000414e-01	2.119841130940000040e-01
1.066666670000000067e-01	9.998902520000000349e-01	2.189205132010000054e-01
1.100000000000000006e-01	9.998940269999999630e-01	2.258627226650000153e-01
1.133333329999999944e-01	9.998975799999999525e-01	2.328107014100000149e-01
1.166666670000000017e-01	9.999009300000000211e-01	2.397644086790000073e-01
1.199999999999999956e-01	9.999040930000000493e-01	2.467238030370000335e-01
1.233333330000000033e-01	9.999070850000000288e-01	2.536888423660000336e-01
1.266666670000000106e-01	9.999099190000000359e-01	2.606594838500000400e-01
1.300000000000000044e-01	9.999126069999999533e-01	2.676356839769999940e-01
1.333333329999999983e-01	9.999151609999999968e-01	2.746173985210000335e-01
1.366666669999999917e-01	9.999175890000000511e-01	2.816045825440000039e-01
1.400000000000000133e-01	9.999199020000000271e-01	2.885971903820000461e-01
1.433333330000000072e-01	9.999221069999999489e-01	2.955951756410000186e-01
1.466666670000000006e-01	9.999242109999999517e-01	3.025984911860000182e-01
1.499999999999999944e-01	9.999262209999999484e-01	3.096070891380000023e-01
1.533333329999999883e-01	9.999281439999999632e-01	3.166209208619999993e-01
1.566666670000000094e-01	9.999299839999999939e-01	3.236399369580000296e-01
1.600000000000000033e-01	9.999317469999999819e-01	3.306640872600000169e-01
1.633333329999999972e-01	9.999334380000000078e-01	3.376933208210000092e-01
1.666666669999999906e-01	9.999350609999999584e-01	3.447275859080000115e-01
1.700000000000000122e-01	9.999366210000000255e-01	3.517668299920000408e-01
1.733333330000000061e-01	9.999381189999999586e-01	3.588109997450000255e-01
1.766666669999999995e-01	9.999395610000000323e-01	3.658600410220000376e-01
1.799999999999999933e-01	9.999409500000000506e-01	3.729138988650000375e-01
1.833333329999999872e-01	9.999422869999999852e-01	3.799725174830000385e-01
1.866666670000000083e-01	9.999435770000000279e-01	3.870358402530000297e-01
1.900000000000000022e-01	9.999448210000000392e-01	3.941038097050000300e-01
1.933333329999999961e-01	9.999460209999999627e-01	4.011763675159999987e-01
1.966666669999999895e-01	9.999471810000000183e-01	4.082534545030000461e-01
2.000000000000000111e-01	9.999483019999999556e-01	4.153350106099999994e-01
2.033333330000000050e-01	9.999493860000000511e-01	4.224209749040000461e-01
2.066666669999999983e-01	9.999504340000000546e-01	4.295112855640000338e-01
2.099999999999999922e-01	9.999514489999999922e-01	4.366058798710000244e-01
2.133333330000000139e-01	9.999524319999999467e-01	4.437046942010000050e-01
2.166666670000000072e-01	9.999533849999999724e-01	4.508076640160000315e-01
2.200000000000000011e-01	9.999543079999999584e-01	4.579147238550000387e-01
2.233333329999999950e-01	9.999552040000000419e-01	4.650258073240000622e-01
2.266666669999999884e-01	9.999560730000000008e-01	4.721408470860000706e-01
2.300000000000000100e-01	9.999569160000000290e-01	4.792597748549999870e-01
2.333333330000000039e-01	9.999577360000000414e-01	4.863825213840000661e-01
2.366666669999999972e-01	9.999585309999999838e-01	4.935090164569999605e-01
2.399999999999999911e-01	9.999593049999999650e-01	5.006391888800000300e-01
2.433333330000000128e-01	9.999600570000000133e-01	5.077729664710000090e-01
2.466666670000000061e-01	9.999607889999999610e-01	5.149102760490000819e-01
2.500000000000000000e-01	9.999614999999999476e-01	5.220510434280000167e-01
2.533333329999999939e-01	9.999621929999999992e-01	5.291951934049999862e-01
2.566666670000000150e-01	9.999628680000000047e-01	5.363426497510001001e-01
2.600000000000000089e-01	9.999635249999999642e-01	5.434933352010000718e-01
2.633333330000000028e-01	9.999641649999999604e-01	5.506471714439999943e-01
2.666666670000000239e-01	9.999647889999999650e-01	5.578040791159999401e-01
2.700000000000000178e-01	9.999653969999999781e-01	5.649639777870000268e-01
2.733333330000000116e-01	9.999659910000000540e-01	5.721267859530000388e-01
2.766666669999999773e-01	9.999665690000000273e-01	5.792924210250000039e-01
2.800000000000000266e-01	9.999671340000000352e-01	5.864607993190000812e-01
2.833333330000000205e-01	9.999676849999999950e-01	5.936318360469999833e-01
2.866666669999999861e-01	9.999682239999999611e-01	6.008054453090000413e-01
2.899999999999999800e-01	9.999687489999999901e-01	6.079815400770001155e-01
2.933333329999999739e-01	9.999692629999999971e-01	6.151600321910000169e-01
2.966666669999999950e-01	9.999697640000000387e-01	6.223408323400000386e-01
2.999999999999999889e-01	9.999702550000000301e-01	6.295238500750000021e-01
3.033333329999999828e-01	9.999707340000000277e-01	6.367089937650000087e-01
3.066666670000000039e-01	9.999712029999999752e-01	6.438961706100000404e-01
3.099999999999999978e-01	9.999716610000000117e-01	6.510852866260000704e-01
3.133333329999999917e-01	9.999721099999999696e-01	6.582762466289999725e-01
3.166666670000000128e-01	9.999725489999999883e-01	6.654689542350000764e-01
3.200000000000000067e-01	9.999729779999999568e-01	6.726633118380000997e-01
3.233333330000000005e-01	9.999733990000000405e-01	6.798592206090000589e-01
3.266666670000000217e-01	9.999738099999999630e-01	6.870565804810000454e-01
