# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.206560400000000111e-05
1.000000000000000021e-02	9.993731670000000067e-01	1.905579339900000113e-02
2.000000000000000042e-02	9.996899710000000105e-01	3.813799677500000207e-02
2.999999999999999889e-02	9.997956140000000547e-01	5.725850938000000279e-02
4.000000000000000083e-02	9.998484420000000039e-01	7.641715256900000197e-02
5.000000000000000278e-02	9.998801389999999456e-01	9.561373475300001534e-02
5.999999999999999778e-02	9.999012699999999532e-01	1.148480510990000092e-01
7.000000000000000666e-02	9.999163620000000030e-01	1.341198831310000117e-01
8.000000000000000167e-02	9.999276809999999571e-01	1.534289981370000056e-01
8.999999999999999667e-02	9.999364830000000426e-01	1.727751484390000203e-01
1.000000000000000056e-01	9.999435239999999725e-01	1.921580712860000151e-01
1.100000000000000006e-01	9.999492829999999666e-01	2.115774880410000169e-01
1.199999999999999956e-01	9.999540820000000219e-01	2.310331036860000242e-01
1.300000000000000044e-01	9.999581419999999943e-01	2.505246064920000348e-01
1.400000000000000133e-01	9.999616209999999672e-01	2.700516666240000418e-01
1.499999999999999944e-01	9.999646359999999623e-01	2.896139362999999856e-01
1.600000000000000033e-01	9.999672729999999898e-01	3.092110493510000224e-01
1.700000000000000122e-01	9.999695990000000423e-01	3.288426193630000216e-01
1.799999999999999933e-01	9.999716659999999813e-01	3.485082385140000349e-01
1.900000000000000022e-01	9.999735149999999795e-01	3.682074816100000536e-01
2.000000000000000111e-01	9.999751780000000201e-01	3.879399002550000253e-01
2.099999999999999922e-01	9.999766820000000056e-01	4.077050224050000060e-01
2.200000000000000011e-01	9.999780489999999800e-01	4.275023548010000174e-01
2.300000000000000100e-01	9.999792969999999892e-01	4.473313780929999983e-01
2.399999999999999911e-01	9.999804399999999704e-01	4.671915526100000049e-01
2.500000000000000000e-01	9.999814910000000001e-01	4.870823113270000282e-01
2.600000000000000089e-01	9.999824609999999891e-01	5.070030582410000042e-01
2.700000000000000178e-01	9.999833580000000444e-01	5.269531690420000691e-01
2.800000000000000266e-01	9.999841910000000222e-01	5.469319934640000103e-01
2.899999999999999800e-01	9.999849659999999751e-01	5.669388497770000424e-01
2.999999999999999889e-01	9.999856889999999554e-01	5.869730314370000812e-01
3.099999999999999978e-01	9.999863639999999609e-01	6.070337964209999715e-01
3.200000000000000067e-01	9.999869980000000158e-01	6.271203723689999787e-01
3.300000000000000155e-01	9.999875919999999807e-01	6.472319513830000481e-01
3.400000000000000244e-01	9.999881510000000473e-01	6.673676974960000008e-01
3.499999999999999778e-01	9.999886770000000480e-01	6.875267390220001218e-01
3.599999999999999867e-01	9.999891739999999807e-01	7.077081554700000998e-01
3.699999999999999956e-01	9.999896440000000108e-01	7.279109986660000642e-01
3.800000000000000044e-01	9.999900879999999992e-01	7.481342843760000472e-01
3.900000000000000133e-01	9.999905089999999719e-01	7.683769905430000158e-01
4.000000000000000222e-01	9.999909089999999834e-01	7.886380241130001023e-01
4.099999999999999756e-01	9.999912890000000054e-01	8.089162732950000434e-01
4.199999999999999845e-01	9.999916500000000097e-01	8.292105871839999809e-01
4.299999999999999933e-01	9.999919950000000224e-01	8.495197662590000531e-01
4.400000000000000022e-01	9.999923229999999608e-01	8.698425660040001173e-01
4.500000000000000111e-01	9.999926359999999903e-01	8.901776833110000009e-01
4.600000000000000200e-01	9.999929360000000544e-01	9.105237671909999220e-01
4.699999999999999734e-01	9.999932219999999594e-01	9.308794224159999686e-01
4.799999999999999822e-01	9.999934959999999817e-01	9.512431899260000989e-01
4.899999999999999911e-01	9.999937580000000104e-01	9.716135668620000665e-01
5.000000000000000000e-01	9.999940090000000170e-01	9.919889571640000403e-01
5.100000000000000089e-01	9.999942509999999452e-01	1.012367811280999952e+00
5.200000000000000178e-01	9.999944819999999623e-01	1.032748441011000162e+00
5.300000000000000266e-01	9.999947049999999837e-01	1.053129091411000084e+00
5.400000000000000355e-01	9.999949190000000376e-01	1.073507981821000046e+00
5.500000000000000444e-01	9.999951249999999847e-01	1.093883251013000102e+00
5.600000000000000533e-01	9.999953230000000470e-01	1.114252993643999989e+00
5.699999999999999512e-01	9.999955139999999743e-01	1.134615276124999905e+00
5.799999999999999600e-01	9.999956979999999884e-01	1.154967984353999944e+00
5.899999999999999689e-01	9.999958749999999785e-01	1.175308952361000081e+00
5.999999999999999778e-01	9.999960460000000273e-01	1.195635969958000144e+00
6.099999999999999867e-01	9.999962119999999954e-01	1.215946775309999950e+00
6.199999999999999956e-01	9.999963710000000505e-01	1.236239068069000080e+00
6.300000000000000044e-01	9.999965250000000250e-01	1.256510444714000085e+00
6.400000000000000133e-01	9.999966750000000015e-01	1.276758399042000169e+00
6.500000000000000222e-01	9.999968190000000368e-01	1.296980401229000046e+00
6.600000000000000311e-01	9.999969579999999914e-01	1.317173699239000184e+00
6.700000000000000400e-01	9.999970929999999480e-01	1.337335568172999922e+00
6.800000000000000488e-01	9.999972240000000179e-01	1.357463188392000086e+00
6.899999999999999467e-01	9.999973509999999788e-01	1.377553536096000064e+00
6.999999999999999556e-01	9.999974740000000528e-01	1.397603627215999955e+00
7.099999999999999645e-01	9.999975930000000179e-01	1.417610307232000100e+00
7.199999999999999734e-01	9.999977079999999852e-01	1.437570332726000100e+00
7.299999999999999822e-01	9.999978200000000372e-01	1.457480233290000093e+00
7.399999999999999911e-01	9.999979289999999521e-01	1.477336466859000108e+00
7.500000000000000000e-01	9.999980339999999801e-01	1.497135228613000191e+00
7.600000000000000089e-01	9.999981369999999536e-01	1.516872632968000012e+00
7.700000000000000178e-01	9.999982370000000120e-01	1.536544507277000093e+00
7.800000000000000266e-01	9.999983329999999615e-01	1.556146507757000030e+00
7.900000000000000355e-01	9.999984280000000503e-01	1.575673801497000204e+00
8.000000000000000444e-01	9.999985190000000301e-01	1.595121236352000205e+00
8.100000000000000533e-01	9.999986079999999555e-01	1.614483092218000015e+00
8.199999999999999512e-01	9.999986950000000485e-01	1.633752860435000009e+00
8.299999999999999600e-01	9.999987790000000043e-01	1.652923186977000025e+00
8.399999999999999689e-01	9.999988619999999884e-01	1.671985468893000260e+00
8.499999999999999778e-01	9.999989419999999463e-01	1.690929528826000006e+00
8.599999999999999867e-01	9.999990199999999607e-01	1.709742748319000194e+00
8.699999999999999956e-01	9.999990960000000317e-01	1.728409850295000050e+00
8.800000000000000044e-01	9.999991700000000483e-01	1.746911275877000014e+00
8.900000000000000133e-01	9.999992420000000104e-01	1.765221680144000160e+00
9.000000000000000222e-01	9.999993130000000008e-01	1.783307001024000193e+00
9.100000000000000311e-01	9.999993820000000477e-01	1.801121699157000045e+00
9.200000000000000400e-01	9.999994479999999575e-01	1.818602854867000129e+00
9.300000000000000488e-01	9.999995130000000065e-01	1.835661895914000086e+00
9.399999999999999467e-01	9.999995769999999728e-01	1.852173513525000148e+00
9.499999999999999556e-01	9.999996380000000240e-01	1.867957467397000082e+00
9.599999999999999645e-01	9.999996970000000207e-01	1.882753466068000314e+00
9.699999999999999734e-01	9.999997529999999912e-01	1.896193228589999835e+00
9.799999999999999822e-01	9.999998070000000183e-01	1.907792571196000209e+00
9.899999999999999911e-01	9.999998620000000171e-01	1.917115862785000013e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.925868995889000290e+00
