# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.070929899999999987e-04
4.016063999999999745e-03	9.853066600000000008e-01	7.259278270000000741e-03
8.032129000000000699e-03	9.926350889999999705e-01	1.442416701000000072e-02
1.204819300000000044e-02	9.951021580000000144e-01	2.160176038000000132e-02
1.606425699999999845e-02	9.963402780000000236e-01	2.879205890000000045e-02
2.008032100000000167e-02	9.970846150000000074e-01	3.599506245999999771e-02
2.409638600000000089e-02	9.975814450000000111e-01	4.321077033000000206e-02
2.811245000000000063e-02	9.979366149999999713e-01	5.043918107999999928e-02
3.212851399999999691e-02	9.982031500000000390e-01	5.768029262000000379e-02
3.614457799999999665e-02	9.984105439999999554e-01	6.493410219999999622e-02
4.016064300000000281e-02	9.985765130000000545e-01	7.220060635000000171e-02
4.417670700000000256e-02	9.987123399999999762e-01	7.947980088000000665e-02
4.819277100000000230e-02	9.988255499999999509e-01	8.677168091999999666e-02
5.220883500000000205e-02	9.989213580000000370e-01	9.407624082000000387e-02
5.622490000000000127e-02	9.990034869999999678e-01	1.013934742300000025e-01
6.024096400000000101e-02	9.990746719999999970e-01	1.087233739899999968e-01
6.425702799999999382e-02	9.991369610000000456e-01	1.160659322200000010e-01
6.827309199999999356e-02	9.991919240000000091e-01	1.234211402200000030e-01
7.228915700000000666e-02	9.992407810000000223e-01	1.307889884900000077e-01
7.630522100000000640e-02	9.992844939999999676e-01	1.381694667499999973e-01
8.032128500000000615e-02	9.993238349999999937e-01	1.455625638399999922e-01
8.433734900000000589e-02	9.993594279999999941e-01	1.529682678100000026e-01
8.835341400000000511e-02	9.993917829999999780e-01	1.603865658299999941e-01
9.236947800000000486e-02	9.994213229999999726e-01	1.678174442099999997e-01
9.638554200000000460e-02	9.994484000000000146e-01	1.752608883600000056e-01
1.004016060000000043e-01	9.994733080000000047e-01	1.827168828000000078e-01
1.044176710000000036e-01	9.994962979999999497e-01	1.901854111499999833e-01
1.084337350000000033e-01	9.995175819999999600e-01	1.976664560799999970e-01
1.124497990000000031e-01	9.995373440000000498e-01	2.051599993200000083e-01
1.164658630000000028e-01	9.995557409999999976e-01	2.126660216500000089e-01
1.204819280000000020e-01	9.995729089999999539e-01	2.201845028600000198e-01
1.244979920000000018e-01	9.995889669999999949e-01	2.277154217700000094e-01
1.285140559999999876e-01	9.996040189999999548e-01	2.352587561599999988e-01
1.325301200000000013e-01	9.996181560000000355e-01	2.428144828099999819e-01
1.365461849999999866e-01	9.996314600000000272e-01	2.503825774599999776e-01
1.405622490000000002e-01	9.996440009999999488e-01	2.579630147600000534e-01
1.445783130000000138e-01	9.996558429999999884e-01	2.655557683299999971e-01
1.485943779999999992e-01	9.996670420000000057e-01	2.731608106599999752e-01
1.526104420000000128e-01	9.996776499999999732e-01	2.807781131599999536e-01
1.566265059999999987e-01	9.996877119999999506e-01	2.884076460900000249e-01
1.606425700000000123e-01	9.996972689999999995e-01	2.960493785700000213e-01
1.646586349999999976e-01	9.997063569999999899e-01	3.037032785600000118e-01
1.686746990000000113e-01	9.997150099999999595e-01	3.113693128400000232e-01
1.726907629999999971e-01	9.997232590000000307e-01	3.190474469900000387e-01
1.767068270000000108e-01	9.997311309999999951e-01	3.267376453699999961e-01
1.807228919999999961e-01	9.997386510000000337e-01	3.344398710900000071e-01
1.847389560000000097e-01	9.997458420000000512e-01	3.421540860200000256e-01
1.887550199999999956e-01	9.997527250000000087e-01	3.498802507300000086e-01
1.927710840000000092e-01	9.997593190000000352e-01	3.576183245299999758e-01
1.967871489999999945e-01	9.997656419999999544e-01	3.653682653900000021e-01
2.008032130000000082e-01	9.997717099999999801e-01	3.731300299299999956e-01
2.048192769999999940e-01	9.997775380000000212e-01	3.809035734500000325e-01
2.088353410000000077e-01	9.997831409999999863e-01	3.886888498400000169e-01
2.128514059999999930e-01	9.997885300000000086e-01	3.964858115999999599e-01
2.168674700000000066e-01	9.997937169999999707e-01	4.042944098099999772e-01
2.208835339999999925e-01	9.997987149999999490e-01	4.121145941300000115e-01
