# x1	y1	P/MPa
0.00000000	0.00000000	0.00001771
0.00333333	0.99691843	0.00572751
0.00666667	0.99846370	0.01144999
0.01000000	0.99897985	0.01718516
0.01333333	0.99923812	0.02293303
0.01666667	0.99939314	0.02869362
0.02000000	0.99949651	0.03446695
0.02333333	0.99957036	0.04025303
0.02666667	0.99962575	0.04605188
0.03000000	0.99966884	0.05186351
0.03333333	0.99970331	0.05768794
0.03666667	0.99973151	0.06352519
0.04000000	0.99975501	0.06937525
0.04333333	0.99977490	0.07523815
0.04666667	0.99979194	0.08111390
0.05000000	0.99980671	0.08700251
0.05333333	0.99981964	0.09290399
0.05666667	0.99983104	0.09881835
0.06000000	0.99984117	0.10474561
0.06333333	0.99985024	0.11068577
0.06666667	0.99985840	0.11663884
0.07000000	0.99986578	0.12260483
0.07333333	0.99987249	0.12858374
0.07666667	0.99987862	0.13457559
0.08000000	0.99988423	0.14058038
0.08333333	0.99988940	0.14659812
0.08666667	0.99989416	0.15262882
0.09000000	0.99989858	0.15867247
0.09333333	0.99990267	0.16472908
0.09666667	0.99990649	0.17079865
0.10000000	0.99991005	0.17688120
0.10333333	0.99991338	0.18297672
0.10666667	0.99991650	0.18908520
0.11000000	0.99991943	0.19520666
0.11333333	0.99992219	0.20134110
0.11666667	0.99992479	0.20748850
0.12000000	0.99992724	0.21364888
0.12333333	0.99992956	0.21982222
0.12666667	0.99993176	0.22600853
0.13000000	0.99993385	0.23220780
0.13333333	0.99993583	0.23842002
0.13666667	0.99993771	0.24464520
0.14000000	0.99993951	0.25088333
0.14333333	0.99994122	0.25713439
0.14666667	0.99994285	0.26339838
0.15000000	0.99994441	0.26967529
0.15333333	0.99994590	0.27596511
0.15666667	0.99994732	0.28226784
0.16000000	0.99994869	0.28858345
0.16333333	0.99995000	0.29491194
0.16666667	0.99995126	0.30125330
0.17000000	0.99995247	0.30760750
0.17333333	0.99995363	0.31397454
0.17666667	0.99995474	0.32035439
0.18000000	0.99995582	0.32674705
0.18333333	0.99995685	0.33315248
0.18666667	0.99995785	0.33957068
0.19000000	0.99995882	0.34600162
0.19333333	0.99995975	0.35244528
0.19666667	0.99996064	0.35890163
0.20000000	0.99996151	0.36537066
0.20333333	0.99996235	0.37185234
0.20666667	0.99996316	0.37834664
0.21000000	0.99996394	0.38485353
0.21333333	0.99996471	0.39137299
0.21666667	0.99996544	0.39790498
0.22000000	0.99996615	0.40444948
0.22333333	0.99996685	0.41100646
0.22666667	0.99996752	0.41757587
0.23000000	0.99996817	0.42415769
0.23333333	0.99996880	0.43075187
0.23666667	0.99996942	0.43735839
0.24000000	0.99997001	0.44397720
0.24333333	0.99997059	0.45060826
0.24666667	0.99997116	0.45725153
0.25000000	0.99997171	0.46390697
0.25333333	0.99997224	0.47057454
0.25666667	0.99997276	0.47725418
0.26000000	0.99997327	0.48394585
0.26333333	0.99997376	0.49064950
0.26666667	0.99997424	0.49736509
0.27000000	0.99997471	0.50409255
0.27333333	0.99997517	0.51083184
0.27666667	0.99997561	0.51758290
0.28000000	0.99997605	0.52434567
0.28333333	0.99997647	0.53112010
0.28666667	0.99997689	0.53790612
0.29000000	0.99997729	0.54470368
0.29333333	0.99997769	0.55151271
0.29666667	0.99997807	0.55833315
0.30000000	0.99997845	0.56516492
0.30333333	0.99997882	0.57200797
0.30666667	0.99997918	0.57886221
0.31000000	0.99997953	0.58572759
0.31333333	0.99997987	0.59260401
0.31666667	0.99998021	0.59949142
0.32000000	0.99998054	0.60638972
0.32333333	0.99998086	0.61329884
0.32666667	0.99998118	0.62021871
0.33000000	0.99998148	0.62714923
0.33333333	0.99998179	0.63409031
0.33666667	0.99998208	0.64104188
0.34000000	0.99998237	0.64800384
0.34333333	0.99998266	0.65497610
0.34666667	0.99998294	0.66195857
0.35000000	0.99998321	0.66895114
0.35333333	0.99998348	0.67595373
0.35666667	0.99998374	0.68296623
0.36000000	0.99998400	0.68998853
0.36333333	0.99998425	0.69702054
0.36666667	0.99998449	0.70406215
0.37000000	0.99998474	0.71111324
0.37333333	0.99998498	0.71817371
0.37666667	0.99998521	0.72524343
0.38000000	0.99998544	0.73232230
0.38333333	0.99998566	0.73941020
0.38666667	0.99998588	0.74650700
0.39000000	0.99998610	0.75361258
0.39333333	0.99998631	0.76072681
0.39666667	0.99998652	0.76784956
0.40000000	0.99998673	0.77498071
0.40333333	0.99998693	0.78212012
0.40666667	0.99998713	0.78926765
0.41000000	0.99998732	0.79642316
0.41333333	0.99998752	0.80358650
0.41666667	0.99998770	0.81075755
0.42000000	0.99998789	0.81793614
0.42333333	0.99998807	0.82512213
0.42666667	0.99998825	0.83231537
0.43000000	0.99998842	0.83951569
0.43333333	0.99998860	0.84672294
0.43666667	0.99998877	0.85393696
0.44000000	0.99998893	0.86115758
0.44333333	0.99998910	0.86838464
0.44666667	0.99998926	0.87561797
0.45000000	0.99998942	0.88285738
0.45333333	0.99998958	0.89010272
0.45666667	0.99998973	0.89735378
0.46000000	0.99998988	0.90461040
0.46333333	0.99999003	0.91187239
0.46666667	0.99999018	0.91913955
0.47000000	0.99999032	0.92641170
0.47333333	0.99999046	0.93368865
0.47666667	0.99999060	0.94097018
0.48000000	0.99999074	0.94825610
0.48333333	0.99999088	0.95554621
0.48666667	0.99999101	0.96284030
0.49000000	0.99999114	0.97013815
0.49333333	0.99999127	0.97743954
0.49666667	0.99999140	0.98474427
0.50000000	0.99999153	0.99205211
0.50333333	0.99999165	0.99936283
