# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.230428200000000086e-05
1.000000000000000021e-02	9.993558259999999471e-01	1.890989032800000080e-02
2.000000000000000042e-02	9.996813530000000503e-01	3.784164608300000232e-02
2.999999999999999889e-02	9.997899059999999505e-01	5.680734770300000652e-02
4.000000000000000083e-02	9.998441890000000498e-01	7.580675985800000571e-02
5.000000000000000278e-02	9.998767589999999483e-01	9.483963535000000666e-02
5.999999999999999778e-02	9.998984730000000098e-01	1.139057149199999980e-01
7.000000000000000666e-02	9.999139809999999517e-01	1.330047266699999897e-01
8.000000000000000167e-02	9.999256119999999637e-01	1.521363860670000012e-01
8.999999999999999667e-02	9.999346569999999490e-01	1.713003950950000021e-01
1.000000000000000056e-01	9.999418920000000544e-01	1.904964418680000215e-01
1.100000000000000006e-01	9.999478109999999642e-01	2.097242008530000035e-01
1.199999999999999956e-01	9.999527419999999500e-01	2.289833332690000278e-01
1.300000000000000044e-01	9.999569139999999745e-01	2.482734849040000025e-01
1.400000000000000133e-01	9.999604890000000079e-01	2.675942859870000246e-01
1.499999999999999944e-01	9.999635869999999871e-01	2.869453503680000073e-01
1.600000000000000033e-01	9.999662969999999484e-01	3.063262788380000101e-01
1.700000000000000122e-01	9.999686880000000500e-01	3.257366447570000378e-01
1.799999999999999933e-01	9.999708120000000422e-01	3.451760191750000151e-01
1.900000000000000022e-01	9.999727120000000413e-01	3.646439536459999964e-01
2.000000000000000111e-01	9.999744210000000022e-01	3.841399800470000625e-01
2.099999999999999922e-01	9.999759670000000211e-01	4.036636097140000046e-01
2.200000000000000011e-01	9.999773720000000310e-01	4.232143417629999904e-01
2.300000000000000100e-01	9.999786550000000496e-01	4.427916492380000180e-01
2.399999999999999911e-01	9.999798300000000140e-01	4.623949889830000215e-01
2.500000000000000000e-01	9.999809100000000006e-01	4.820237932000000503e-01
2.600000000000000089e-01	9.999819070000000032e-01	5.016774762920001018e-01
2.700000000000000178e-01	9.999828299999999892e-01	5.213554362230000683e-01
2.800000000000000266e-01	9.999836859999999827e-01	5.410570227390000264e-01
2.899999999999999800e-01	9.999844820000000079e-01	5.607815720500000101e-01
2.999999999999999889e-01	9.999852259999999493e-01	5.805284595040000051e-01
3.099999999999999978e-01	9.999859210000000553e-01	6.002969681360000864e-01
3.200000000000000067e-01	9.999865709999999908e-01	6.200863950490000942e-01
