# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	7.712976000000001215e-05
4.016063999999999745e-03	9.873715929999999918e-01	6.083097330000000399e-03
8.032129000000000699e-03	9.936812449999999908e-01	1.210830243000000049e-02
1.204819300000000044e-02	9.958023870000000111e-01	1.815281239999999921e-02
1.606425699999999845e-02	9.968663330000000489e-01	2.421669429000000012e-02
2.008032100000000167e-02	9.975057720000000128e-01	3.030001484000000023e-02
2.409638600000000089e-02	9.979325030000000263e-01	3.640284045000000135e-02
2.811245000000000063e-02	9.982375199999999893e-01	4.252523720000000312e-02
3.212851399999999691e-02	9.984663919999999804e-01	4.866727079999999539e-02
3.614457799999999665e-02	9.986444639999999540e-01	5.482900657999999899e-02
4.016064300000000281e-02	9.987869569999999753e-01	6.101050949999999723e-02
4.417670700000000256e-02	9.989035630000000499e-01	6.721184406999999861e-02
4.819277100000000230e-02	9.990007469999999667e-01	7.343307441000000713e-02
5.220883500000000205e-02	9.990829850000000345e-01	7.967426419000001037e-02
5.622490000000000127e-02	9.991534779999999838e-01	8.593547660000000477e-02
6.024096400000000101e-02	9.992145730000000503e-01	9.221677436000000339e-02
6.425702799999999382e-02	9.992680299999999738e-01	9.851821968000000485e-02
6.827309199999999356e-02	9.993151970000000439e-01	1.048398742499999925e-01
7.228915700000000666e-02	9.993571199999999877e-01	1.111817992300000030e-01
7.630522100000000640e-02	9.993946270000000354e-01	1.175440552099999980e-01
8.032128500000000615e-02	9.994283800000000051e-01	1.239267021800000146e-01
8.433734900000000589e-02	9.994589149999999478e-01	1.303297995499999862e-01
8.835341400000000511e-02	9.994866709999999932e-01	1.367534060900000015e-01
9.236947800000000486e-02	9.995120090000000346e-01	1.431975799200000121e-01
9.638554200000000460e-02	9.995352330000000229e-01	1.496623784999999984e-01
1.004016060000000043e-01	9.995565939999999650e-01	1.561478585799999930e-01
1.044176710000000036e-01	9.995763090000000517e-01	1.626540762099999982e-01
1.084337350000000033e-01	9.995945590000000491e-01	1.691810866600000074e-01
1.124497990000000031e-01	9.996115030000000123e-01	1.757289444800000100e-01
1.164658630000000028e-01	9.996272739999999546e-01	1.822977033900000099e-01
1.204819280000000020e-01	9.996419899999999803e-01	1.888874163000000272e-01
