# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	3.629480000000000019e-07
3.333332999999999956e-03	9.999054569999999975e-01	3.826156782999999735e-03
6.666667000000000252e-03	9.999530349999999901e-01	7.676286598999999822e-03
1.000000000000000021e-02	9.999688939999999970e-01	1.155086812699999965e-02
1.333333299999999930e-02	9.999768239999999864e-01	1.545001672299999886e-02
1.666666699999999959e-02	9.999815810000000083e-01	1.937384733900000128e-02
2.000000000000000042e-02	9.999847520000000323e-01	2.332247450799999899e-02
2.333333300000000124e-02	9.999870170000000336e-01	2.729601231099999803e-02
2.666666700000000154e-02	9.999887160000000552e-01	3.129457436299999673e-02
2.999999999999999889e-02	9.999900360000000266e-01	3.531827378400000106e-02
3.333333299999999971e-02	9.999910929999999976e-01	3.936722317599999910e-02
3.666666700000000001e-02	9.999919569999999869e-01	4.344153459600000322e-02
4.000000000000000083e-02	9.999926770000000520e-01	4.754131953699999857e-02
4.333333300000000166e-02	9.999932860000000368e-01	5.166668889500000694e-02
4.666666700000000195e-02	9.999938080000000395e-01	5.581775294900000184e-02
5.000000000000000278e-02	9.999942600000000237e-01	5.999462133099999622e-02
5.333333299999999666e-02	9.999946560000000373e-01	6.419740300300000313e-02
5.666666699999999696e-02	9.999950039999999651e-01	6.842620622400000241e-02
5.999999999999999778e-02	9.999953139999999685e-01	7.268113853100000021e-02
6.333333300000000554e-02	9.999955919999999887e-01	7.696230670200000790e-02
6.666666699999999890e-02	9.999958410000000519e-01	8.126981673600000566e-02
7.000000000000000666e-02	9.999960669999999885e-01	8.560377381599999780e-02
7.333333300000000055e-02	9.999962719999999639e-01	8.996428228900001101e-02
7.666666699999999390e-02	9.999964590000000042e-01	9.435144562900001086e-02
8.000000000000000167e-02	9.999966300000000530e-01	9.876536640800000211e-02
8.333333299999999555e-02	9.999967880000000253e-01	1.032061462720000045e-01
8.666666700000000279e-02	9.999969330000000323e-01	1.076738859020000133e-01
8.999999999999999667e-02	9.999970679999999890e-01	1.121686849870000141e-01
9.333333300000000443e-02	9.999971930000000064e-01	1.166906421930000159e-01
9.666666699999999779e-02	9.999973089999999454e-01	1.212398551280000070e-01
1.000000000000000056e-01	9.999974169999999996e-01	1.258164203110000157e-01
1.033333329999999994e-01	9.999975180000000297e-01	1.304204331409999917e-01
1.066666670000000067e-01	9.999976130000000074e-01	1.350519878520000105e-01
1.100000000000000006e-01	9.999977020000000438e-01	1.397111775140000012e-01
1.133333329999999944e-01	9.999977859999999996e-01	1.443980939510000061e-01
1.166666670000000017e-01	9.999978649999999858e-01	1.491128277350000086e-01
1.199999999999999956e-01	9.999979399999999741e-01	1.538554681470000185e-01
1.233333330000000033e-01	9.999980099999999927e-01	1.586261031380000186e-01
1.266666670000000106e-01	9.999980769999999852e-01	1.634248192970000069e-01
1.300000000000000044e-01	9.999981399999999798e-01	1.682517018120000263e-01
1.333333329999999983e-01	9.999981999999999482e-01	1.731068344330000119e-01
1.366666669999999917e-01	9.999982570000000015e-01	1.779902994360000046e-01
1.400000000000000133e-01	9.999983110000000286e-01	1.829021775859999976e-01
1.433333330000000072e-01	9.999983630000000012e-01	1.878425480970000172e-01
1.466666670000000006e-01	9.999984119999999477e-01	1.928114885970000081e-01
1.499999999999999944e-01	9.999984589999999507e-01	1.978090750840000023e-01
1.533333329999999883e-01	9.999985040000000103e-01	2.028353818930000163e-01
1.566666670000000094e-01	9.999985470000000154e-01	2.078904816509999920e-01
1.600000000000000033e-01	9.999985879999999661e-01	2.129744452389999987e-01
1.633333329999999972e-01	9.999986269999999733e-01	2.180873417530000136e-01
1.666666669999999906e-01	9.999986650000000088e-01	2.232292384610000402e-01
1.700000000000000122e-01	9.999987009999999898e-01	2.284002007640000276e-01
1.733333330000000061e-01	9.999987359999999992e-01	2.336002921510000052e-01
1.766666669999999995e-01	9.999987700000000368e-01	2.388295741609999800e-01
1.799999999999999933e-01	9.999988020000000200e-01	2.440881063370000104e-01
1.833333329999999872e-01	9.999988330000000314e-01	2.493759461860000359e-01
1.866666670000000083e-01	9.999988629999999601e-01	2.546931491350000187e-01
1.900000000000000022e-01	9.999988909999999454e-01	2.600397684590000091e-01
1.933333329999999961e-01	9.999989190000000416e-01	2.654158553459999847e-01
1.966666669999999895e-01	9.999989460000000552e-01	2.708214586920000277e-01
2.000000000000000111e-01	9.999989719999999860e-01	2.762566251650000471e-01
2.033333330000000050e-01	9.999989969999999451e-01	2.817213991270000051e-01
2.066666669999999983e-01	9.999990210000000435e-01	2.872158225990000258e-01
2.099999999999999922e-01	9.999990439999999481e-01	2.927399352039999902e-01
2.133333330000000139e-01	9.999990659999999920e-01	2.982937741310000002e-01
2.166666670000000072e-01	9.999990880000000359e-01	3.038773740799999845e-01
2.200000000000000011e-01	9.999991089999999971e-01	3.094907672240000407e-01
2.233333329999999950e-01	9.999991299999999583e-01	3.151339831530000080e-01
2.266666669999999884e-01	9.999991499999999478e-01	3.208070488370000084e-01
2.300000000000000100e-01	9.999991689999999656e-01	3.265099885669999757e-01
2.333333330000000039e-01	9.999991870000000116e-01	3.322428239169999964e-01
2.366666669999999972e-01	9.999992049999999466e-01	3.380055736910000386e-01
2.399999999999999911e-01	9.999992229999999926e-01	3.437982538759999929e-01
2.433333330000000128e-01	9.999992399999999559e-01	3.496208775910000233e-01
2.466666670000000061e-01	9.999992570000000303e-01	3.554734550430000417e-01
2.500000000000000000e-01	9.999992730000000218e-01	3.613559934730000145e-01
2.533333329999999939e-01	9.999992880000000417e-01	3.672684971100000362e-01
2.566666670000000150e-01	9.999993029999999505e-01	3.732109671190000366e-01
2.600000000000000089e-01	9.999993179999999704e-01	3.791834015520000323e-01
2.633333330000000028e-01	9.999993320000000185e-01	3.851857953000000223e-01
2.666666670000000239e-01	9.999993459999999557e-01	3.912181400399999953e-01
2.700000000000000178e-01	9.999993600000000038e-01	3.972804241850000362e-01
2.733333330000000116e-01	9.999993729999999692e-01	4.033726328370000336e-01
2.766666669999999773e-01	9.999993860000000456e-01	4.094947477300000527e-01
2.800000000000000266e-01	9.999993990000000110e-01	4.156467471870000097e-01
2.833333330000000205e-01	9.999994110000000047e-01	4.218286060620000111e-01
2.866666669999999861e-01	9.999994229999999984e-01	4.280402956930000058e-01
2.899999999999999800e-01	9.999994349999999921e-01	4.342817838490000693e-01
2.933333329999999739e-01	9.999994460000000140e-01	4.405530346810000442e-01
2.966666669999999950e-01	9.999994570000000360e-01	4.468540086689999913e-01
2.999999999999999889e-01	9.999994679999999470e-01	4.531846625690000296e-01
3.033333329999999828e-01	9.999994779999999972e-01	4.595449493670000218e-01
3.066666670000000039e-01	9.999994880000000474e-01	4.659348182220000578e-01
3.099999999999999978e-01	9.999994979999999867e-01	4.723542144170000401e-01
3.133333329999999917e-01	9.999995080000000369e-01	4.788030793090000126e-01
3.166666670000000128e-01	9.999995179999999761e-01	4.852813502750000230e-01
3.200000000000000067e-01	9.999995270000000547e-01	4.917889606609999742e-01
3.233333330000000005e-01	9.999995360000000222e-01	4.983258397320000088e-01
3.266666670000000217e-01	9.999995449999999897e-01	5.048919126230000387e-01
3.300000000000000155e-01	9.999995539999999572e-01	5.114871002810000844e-01
3.333333330000000094e-01	9.999995619999999530e-01	5.181113194220000606e-01
3.366666669999999750e-01	9.999995710000000315e-01	5.247644824750000714e-01
3.400000000000000244e-01	9.999995790000000273e-01	5.314464975310000394e-01
3.433333330000000183e-01	9.999995870000000231e-01	5.381572682969999466e-01
3.466666669999999839e-01	9.999995950000000189e-01	5.448966940420000293e-01
3.499999999999999778e-01	9.999996020000000430e-01	5.516646695479999751e-01
3.533333330000000272e-01	9.999996100000000387e-01	5.584610850600000287e-01
3.566666669999999928e-01	9.999996169999999518e-01	5.652858262350000107e-01
3.599999999999999867e-01	9.999996239999999759e-01	5.721387740960000023e-01
3.633333329999999806e-01	9.999996309999999999e-01	5.790198049790000745e-01
3.666666670000000017e-01	9.999996380000000240e-01	5.859287904879999509e-01
3.699999999999999956e-01	9.999996450000000481e-01	5.928655974420000696e-01
3.733333329999999894e-01	9.999996509999999894e-01	5.998300878340000475e-01
3.766666670000000106e-01	9.999996570000000418e-01	6.068221187729999633e-01
3.800000000000000044e-01	9.999996639999999548e-01	6.138415424480000437e-01
3.833333329999999983e-01	9.999996700000000072e-01	6.208882060720000151e-01
3.866666670000000194e-01	9.999996759999999485e-01	6.279619518430000769e-01
3.900000000000000133e-01	9.999996820000000008e-01	6.350626168910000757e-01
3.933333330000000072e-01	9.999996880000000532e-01	6.421900332369999687e-01
3.966666669999999728e-01	9.999996930000000228e-01	6.493440277399999960e-01
4.000000000000000222e-01	9.999996989999999641e-01	6.565244220820000143e-01
4.033333330000000161e-01	9.999997040000000448e-01	6.637310326800001103e-01
4.066666669999999817e-01	9.999997099999999861e-01	6.709636706700000675e-01
4.099999999999999756e-01	9.999997149999999557e-01	6.782221418600000717e-01
4.133333330000000250e-01	9.999997200000000364e-01	6.855062466880000871e-01
4.166666669999999906e-01	9.999997250000000060e-01	6.928157801780000513e-01
4.199999999999999845e-01	9.999997299999999756e-01	7.001505319009999617e-01
4.233333329999999783e-01	9.999997349999999452e-01	7.075102859360000718e-01
4.266666669999999995e-01	9.999997400000000258e-01	7.148948208290000217e-01
4.299999999999999933e-01	9.999997440000000237e-01	7.223039095550000122e-01
4.333333329999999872e-01	9.999997489999999933e-01	7.297373194820000464e-01
4.366666670000000083e-01	9.999997529999999912e-01	7.371948123310000378e-01
4.400000000000000022e-01	9.999997579999999608e-01	7.446761441429999850e-01
4.433333329999999961e-01	9.999997619999999587e-01	7.521810652430001021e-01
4.466666670000000172e-01	9.999997659999999566e-01	7.597093202029999714e-01
4.500000000000000111e-01	9.999997699999999545e-01	7.672606478130000740e-01
4.533333330000000050e-01	9.999997739999999524e-01	7.748347810460000096e-01
4.566666670000000261e-01	9.999997779999999503e-01	7.824314470280000489e-01
4.600000000000000200e-01	9.999997819999999482e-01	7.900503670030000203e-01
4.633333330000000139e-01	9.999997859999999461e-01	7.976912563179999749e-01
4.666666669999999795e-01	9.999997900000000550e-01	8.053538243610000036e-01
4.699999999999999734e-01	9.999997940000000529e-01	8.130377745760000163e-01
4.733333330000000227e-01	9.999997969999999681e-01	8.207428044099999154e-01
4.766666669999999884e-01	9.999998009999999660e-01	8.284686052959999714e-01
4.799999999999999822e-01	9.999998039999999921e-01	8.362148626250001104e-01
4.833333329999999761e-01	9.999998079999999900e-01	8.439812557260000236e-01
4.866666669999999972e-01	9.999998110000000162e-01	8.517674578430000087e-01
4.899999999999999911e-01	9.999998150000000141e-01	8.595731361169999252e-01
4.933333329999999850e-01	9.999998180000000403e-01	8.673979515590000133e-01
4.966666670000000061e-01	9.999998209999999554e-01	8.752415590430000503e-01
5.000000000000000000e-01	9.999998239999999816e-01	8.831036072770001022e-01
5.033333330000000494e-01	9.999998270000000078e-01	8.909837387960001243e-01
5.066666669999999595e-01	9.999998300000000340e-01	8.988815899450001146e-01
5.100000000000000089e-01	9.999998329999999491e-01	9.067967908640000019e-01
5.133333329999999473e-01	9.999998359999999753e-01	9.147289654770001111e-01
5.166666669999999684e-01	9.999998390000000015e-01	9.226777314819999409e-01
5.200000000000000178e-01	9.999998420000000277e-01	9.306427003410001619e-01
5.233333329999999561e-01	9.999998450000000538e-01	9.386234772720000175e-01
5.266666669999999773e-01	9.999998479999999690e-01	9.466196612460000548e-01
5.300000000000000266e-01	9.999998500000000234e-01	9.546308449730001033e-01
5.333333329999999650e-01	9.999998530000000496e-01	9.626566149080000301e-01
5.366666669999999861e-01	9.999998559999999648e-01	9.706965512410001828e-01
5.400000000000000355e-01	9.999998580000000192e-01	9.787502279020000584e-01
5.433333329999999739e-01	9.999998610000000454e-01	9.868172125549999896e-01
5.466666669999999950e-01	9.999998629999999888e-01	9.948970666060000800e-01
5.500000000000000444e-01	9.999998660000000150e-01	1.002989345198000093e+00
5.533333329999999828e-01	9.999998679999999585e-01	1.011093597224999918e+00
5.566666670000000039e-01	9.999998700000000129e-01	1.019209365321000149e+00
5.600000000000000533e-01	9.999998730000000391e-01	1.027336185907999910e+00
5.633333329999999917e-01	9.999998749999999825e-01	1.035473589144999984e+00
5.666666670000000128e-01	9.999998770000000370e-01	1.043621098979000239e+00
5.699999999999999512e-01	9.999998789999999804e-01	1.051778233147000030e+00
5.733333330000000005e-01	9.999998820000000066e-01	1.059944503183000153e+00
5.766666670000000217e-01	9.999998839999999500e-01	1.068119414439000048e+00
5.799999999999999600e-01	9.999998860000000045e-01	1.076302466093000065e+00
5.833333330000000094e-01	9.999998879999999479e-01	1.084493151171000092e+00
5.866666670000000305e-01	9.999998900000000024e-01	1.092690956560000037e+00
5.899999999999999689e-01	9.999998919999999458e-01	1.100895363030999885e+00
5.933333330000000183e-01	9.999998940000000003e-01	1.109105845253000044e+00
5.966666670000000394e-01	9.999998960000000547e-01	1.117321871819999979e+00
5.999999999999999778e-01	9.999998979999999982e-01	1.125542905267000071e+00
6.033333330000000272e-01	9.999998989999999699e-01	1.133768402097999894e+00
6.066666670000000483e-01	9.999999010000000244e-01	1.141997812804999901e+00
6.099999999999999867e-01	9.999999029999999678e-01	1.150230581897000004e+00
6.133333330000000361e-01	9.999999050000000222e-01	1.158466147921000111e+00
6.166666669999999462e-01	9.999999069999999657e-01	1.166703943492000128e+00
6.199999999999999956e-01	9.999999080000000484e-01	1.174943395316000005e+00
6.233333330000000450e-01	9.999999099999999919e-01	1.183183924221999916e+00
6.266666669999999550e-01	9.999999120000000463e-01	1.191424945185000084e+00
6.300000000000000044e-01	9.999999130000000180e-01	1.199665867355999893e+00
6.333333330000000538e-01	9.999999149999999615e-01	1.207906094092000115e+00
6.366666669999999639e-01	9.999999160000000442e-01	1.216145022981000023e+00
6.400000000000000133e-01	9.999999179999999877e-01	1.224382045874000013e+00
6.433333329999999517e-01	9.999999189999999594e-01	1.232616548908000098e+00
6.466666669999999728e-01	9.999999210000000138e-01	1.240847912542000220e+00
6.500000000000000222e-01	9.999999219999999855e-01	1.249075511578000119e+00
6.533333329999999606e-01	9.999999240000000400e-01	1.257298715187999960e+00
6.566666669999999817e-01	9.999999250000000117e-01	1.265516886945000197e+00
6.600000000000000311e-01	9.999999269999999552e-01	1.273729384843000023e+00
6.633333329999999695e-01	9.999999280000000379e-01	1.281935561325000084e+00
6.666666669999999906e-01	9.999999290000000096e-01	1.290134763303000032e+00
6.700000000000000400e-01	9.999999309999999531e-01	1.298326332179000175e+00
6.733333329999999783e-01	9.999999320000000358e-01	1.306509603864000058e+00
6.766666669999999995e-01	9.999999330000000075e-01	1.314683908797000145e+00
6.800000000000000488e-01	9.999999349999999509e-01	1.322848571956000141e+00
6.833333329999999872e-01	9.999999360000000337e-01	1.331002912873000099e+00
6.866666670000000083e-01	9.999999370000000054e-01	1.339146245640999933e+00
6.899999999999999467e-01	9.999999379999999771e-01	1.347277878917999994e+00
6.933333329999999961e-01	9.999999389999999488e-01	1.355397115929000140e+00
6.966666670000000172e-01	9.999999410000000033e-01	1.363503254465999959e+00
6.999999999999999556e-01	9.999999419999999750e-01	1.371595586876000139e+00
7.033333330000000050e-01	9.999999429999999467e-01	1.379673400052000121e+00
7.066666670000000261e-01	9.999999440000000295e-01	1.387735975430000046e+00
7.099999999999999645e-01	9.999999450000000012e-01	1.395782588904000088e+00
7.133333330000000139e-01	9.999999459999999729e-01	1.403812510886999876e+00
7.166666670000000350e-01	9.999999469999999446e-01	1.411825006212000133e+00
7.199999999999999734e-01	9.999999480000000274e-01	1.419819334103999964e+00
7.233333330000000227e-01	9.999999489999999991e-01	1.427794748121000046e+00
7.266666670000000439e-01	9.999999499999999708e-01	1.435750496111000141e+00
7.299999999999999822e-01	9.999999510000000535e-01	1.443685820111000107e+00
7.333333330000000316e-01	9.999999520000000253e-01	1.451599956286000248e+00
7.366666670000000527e-01	9.999999529999999970e-01	1.459492134828999976e+00
7.399999999999999911e-01	9.999999539999999687e-01	1.467361579856999887e+00
7.433333330000000405e-01	9.999999550000000514e-01	1.475207509292999930e+00
7.466666669999999506e-01	9.999999560000000232e-01	1.483029134732000154e+00
7.500000000000000000e-01	9.999999569999999949e-01	1.490825661294999938e+00
