# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.522543999999999978e-06
3.344482000000000184e-03	9.997905489999999729e-01	7.244891570000000156e-03
6.688963000000000027e-03	9.998957609999999940e-01	1.450844330100000031e-02
1.003344500000000021e-02	9.999308359999999896e-01	2.179206313500000117e-02
1.337792600000000005e-02	9.999483729999999460e-01	2.909563433300000126e-02
1.672240800000000110e-02	9.999588950000000143e-01	3.641903801400000334e-02
2.006689000000000042e-02	9.999659100000000134e-01	4.376215313700000664e-02
2.341137100000000026e-02	9.999709199999999854e-01	5.112485649899999735e-02
2.675585299999999958e-02	9.999746769999999785e-01	5.850702271500000939e-02
3.010033399999999942e-02	9.999775990000000503e-01	6.590852420899999398e-02
3.344481600000000221e-02	9.999799360000000137e-01	7.332923123000001375e-02
3.678929799999999806e-02	9.999818480000000065e-01	8.076901179499999806e-02
4.013377900000000137e-02	9.999834410000000284e-01	8.822773171300000994e-02
4.347826099999999722e-02	9.999847889999999850e-01	9.570525456799999775e-02
4.682274200000000053e-02	9.999859439999999600e-01	1.032014417039999882e-01
5.016722400000000331e-02	9.999869449999999604e-01	1.107161522220000138e-01
5.351170599999999916e-02	9.999878199999999717e-01	1.182492429690000096e-01
5.685618700000000247e-02	9.999885929999999812e-01	1.258005685260000228e-01
6.020066899999999832e-02	9.999892790000000087e-01	1.333699812030000043e-01
6.354515099999999417e-02	9.999898929999999631e-01	1.409573310270000046e-01
6.688963200000000442e-02	9.999904459999999773e-01	1.485624657379999991e-01
7.023411400000000027e-02	9.999909449999999644e-01	1.561852307749999891e-01
7.357859499999999664e-02	9.999913999999999747e-01	1.638254692720000072e-01
7.692307700000000636e-02	9.999918140000000344e-01	1.714830220470000277e-01
8.026755900000000221e-02	9.999921939999999454e-01	1.791577275979999995e-01
8.361203999999999859e-02	9.999925429999999560e-01	1.868494220920000060e-01
8.695652199999999443e-02	9.999928660000000358e-01	1.945579393580000038e-01
9.030100300000000468e-02	9.999931640000000455e-01	2.022831108810000111e-01
9.364548500000000053e-02	9.999934409999999829e-01	2.100247657949999847e-01
9.698996699999999638e-02	9.999936990000000137e-01	2.177827308750000246e-01
1.003344480000000066e-01	9.999939389999999984e-01	2.255568305310000354e-01
1.036789300000000025e-01	9.999941639999999632e-01	2.333468867990000084e-01
1.070234109999999988e-01	9.999943749999999909e-01	2.411527193419999993e-01
1.103678929999999947e-01	9.999945730000000532e-01	2.489741454350000160e-01
1.137123750000000044e-01	9.999947590000000108e-01	2.568109799660000525e-01
1.170568560000000008e-01	9.999949339999999465e-01	2.646630354250000261e-01
1.204013379999999966e-01	9.999951000000000256e-01	2.725301219040000000e-01
1.237458190000000069e-01	9.999952560000000545e-01	2.804120470880000493e-01
1.270903009999999889e-01	9.999954049999999484e-01	2.883086162530000274e-01
1.304347829999999986e-01	9.999955449999999857e-01	2.962196322580000207e-01
1.337792640000000088e-01	9.999956789999999707e-01	3.041448954880000555e-01
1.371237459999999908e-01	9.999958060000000426e-01	3.120842040690000041e-01
1.404682270000000011e-01	9.999959259999999794e-01	3.200373535350000131e-01
1.438127090000000108e-01	9.999960420000000294e-01	3.280041370439999993e-01
1.471571909999999928e-01	9.999961510000000553e-01	3.359843453190000107e-01
1.505016720000000030e-01	9.999962559999999723e-01	3.439777666450000160e-01
1.538461540000000127e-01	9.999963560000000307e-01	3.519841868649999927e-01
1.571906349999999952e-01	9.999964519999999801e-01	3.600033893819999942e-01
1.605351170000000049e-01	9.999965440000000427e-01	3.680351551509999930e-01
1.638795989999999869e-01	9.999966319999999964e-01	3.760792626800000260e-01
1.672240799999999972e-01	9.999967170000000349e-01	3.841354880530000182e-01
1.705685620000000069e-01	9.999967979999999645e-01	3.922036048260000296e-01
1.739130429999999894e-01	9.999968759999999790e-01	4.002833841820000460e-01
1.772575249999999991e-01	9.999969509999999673e-01	4.083745948140000137e-01
1.806020070000000088e-01	9.999970230000000404e-01	4.164770029890000336e-01
1.839464879999999913e-01	9.999970919999999763e-01	4.245903724940000012e-01
1.872909700000000011e-01	9.999971589999999688e-01	4.327144646699999653e-01
1.906354520000000108e-01	9.999972240000000179e-01	4.408490384070000156e-01
1.939799329999999933e-01	9.999972860000000408e-01	4.489938501400000392e-01
1.973244150000000030e-01	9.999973460000000092e-01	4.571486538530000199e-01
2.006688960000000133e-01	9.999974040000000342e-01	4.653132010800000162e-01
2.040133779999999952e-01	9.999974600000000047e-01	4.734872409040000174e-01
2.073578600000000050e-01	9.999975140000000318e-01	4.816705199639999546e-01
2.107023409999999874e-01	9.999975669999999761e-01	4.898627824520000451e-01
2.140468229999999972e-01	9.999976170000000053e-01	4.980637701200000267e-01
2.173913040000000074e-01	9.999976659999999518e-01	5.062732222800000459e-01
2.207357859999999894e-01	9.999977140000000375e-01	5.144908758080000144e-01
2.240802679999999991e-01	9.999977599999999578e-01	5.227164651480000757e-01
2.274247490000000094e-01	9.999978050000000174e-01	5.309497223180000836e-01
2.307692309999999913e-01	9.999978480000000225e-01	5.391903769090000687e-01
