#    s/e/A2	muFDES1(s)	muFDES2(s)	muFDES3(s)
  -0.03000	  -0.28800	  -0.31100	  -0.78700
  -0.02900	  -0.27800	  -0.30100	  -0.76100
  -0.02800	  -0.26700	  -0.28900	  -0.73400
  -0.02700	  -0.25400	  -0.27600	  -0.70500
  -0.02600	  -0.24000	  -0.26200	  -0.67500
  -0.02500	  -0.22400	  -0.24700	  -0.64300
  -0.02400	  -0.20800	  -0.23000	  -0.60900
  -0.02300	  -0.19000	  -0.21200	  -0.57400
  -0.02200	  -0.17200	  -0.19300	  -0.53700
  -0.02100	  -0.15200	  -0.17400	  -0.49900
  -0.02000	  -0.13200	  -0.15300	  -0.45900
  -0.01900	  -0.11200	  -0.13200	  -0.41700
  -0.01800	  -0.09100	  -0.11000	  -0.37500
  -0.01700	  -0.07100	  -0.08900	  -0.33000
  -0.01600	  -0.05200	  -0.06900	  -0.28500
  -0.01500	  -0.03500	  -0.05000	  -0.23900
  -0.01400	  -0.02000	  -0.03300	  -0.19200
  -0.01300	  -0.00900	  -0.02000	  -0.14700
  -0.01200	  -0.00200	  -0.01000	  -0.10400
  -0.01100	   0.00100	  -0.00400	  -0.06600
  -0.01000	   0.00200	  -0.00200	  -0.03700
  -0.00900	   0.00000	  -0.00300	  -0.01800
  -0.00800	  -0.00400	  -0.00600	  -0.00900
  -0.00700	  -0.01100	  -0.01300	  -0.01100
  -0.00600	  -0.01700	  -0.01900	  -0.01600
  -0.00500	  -0.02300	  -0.02500	  -0.02100
  -0.00400	  -0.02800	  -0.03000	  -0.02600
  -0.00300	  -0.03100	  -0.03400	  -0.03000
  -0.00200	  -0.03400	  -0.03700	  -0.03400
  -0.00100	  -0.03600	  -0.03900	  -0.03600
   0.00000	  -0.03700	  -0.03900	  -0.03800
   0.00100	  -0.03700	  -0.03900	  -0.03900
   0.00200	  -0.03500	  -0.03800	  -0.03800
   0.00300	  -0.03300	  -0.03500	  -0.03700
   0.00400	  -0.03000	  -0.03200	  -0.03400
   0.00500	  -0.02600	  -0.02700	  -0.03000
   0.00600	  -0.02000	  -0.02100	  -0.02500
   0.00700	  -0.01400	  -0.01400	  -0.01900
   0.00800	  -0.00700	  -0.00600	  -0.01100
   0.00900	   0.00100	   0.00300	  -0.00300
   0.01000	   0.00800	   0.01300	   0.00700
   0.01100	   0.01400	   0.02200	   0.01700
   0.01200	   0.01900	   0.03100	   0.02900
   0.01300	   0.02000	   0.03800	   0.04100
   0.01400	   0.01300	   0.03700	   0.05300
   0.01500	  -0.00600	   0.02300	   0.06500
   0.01600	  -0.04400	  -0.01200	   0.07400
   0.01700	  -0.09900	  -0.06500	   0.07600
   0.01800	  -0.16600	  -0.13300	   0.06500
   0.01900	  -0.24000	  -0.20800	   0.03500
   0.02000	  -0.31800	  -0.28700	  -0.01400
   0.02100	  -0.39700	  -0.36600	  -0.07700
   0.02200	  -0.47600	  -0.44500	  -0.14700
   0.02300	  -0.55500	  -0.52400	  -0.22000
   0.02400	  -0.63300	  -0.60300	  -0.29500
   0.02500	  -0.71100	  -0.68000	  -0.37000
   0.02600	  -0.78800	  -0.75700	  -0.44400
   0.02700	  -0.86300	  -0.83300	  -0.51800
   0.02800	  -0.93800	  -0.90700	  -0.59100
   0.02900	  -1.01100	  -0.98100	  -0.66300
   0.03000	  -1.08400	  -1.05300	  -0.73400
