# s/e/A2	muR32(s)	muR134a(s)	muR125(s)
  -0.03000    0.45100    0.53300    0.60200
  -0.02900    0.41300    0.49200    0.55800
  -0.02800    0.37700    0.45300    0.51500
  -0.02700    0.34200    0.41500    0.47400
  -0.02600    0.30900    0.37900    0.43400
  -0.02500    0.27700    0.34400    0.39600
  -0.02400    0.24700    0.31100    0.36000
  -0.02300    0.21900    0.27900    0.32600
  -0.02200    0.19300    0.25000    0.29300
  -0.02100    0.16700    0.22100    0.26100
  -0.02000    0.14400    0.19400    0.23100
  -0.01900    0.12200    0.16900    0.20300
  -0.01800    0.10100    0.14500    0.17600
  -0.01700    0.08300    0.12300    0.15100
  -0.01600    0.06500    0.10200    0.12800
  -0.01500    0.04900    0.08300    0.10600
  -0.01400    0.03500    0.06500    0.08600
  -0.01300    0.02200    0.04800    0.06700
  -0.01200    0.01000    0.03400    0.05000
  -0.01100    0.00000    0.02000    0.03400
  -0.01000   -0.00800    0.00800    0.02000
  -0.00900   -0.01600   -0.00200    0.00700
  -0.00800   -0.02200   -0.01200   -0.00400
  -0.00700   -0.02700   -0.01900   -0.01300
  -0.00600   -0.03100   -0.02600   -0.02200
  -0.00500   -0.03400   -0.03100   -0.02800
  -0.00400   -0.03600   -0.03500   -0.03400
  -0.00300   -0.03700   -0.03800   -0.03800
  -0.00200   -0.03700   -0.04000   -0.04000
  -0.00100   -0.03600   -0.04100   -0.04200
   0.00000   -0.03500   -0.04000   -0.04200
   0.00100   -0.03400   -0.03900   -0.04100
   0.00200   -0.03200   -0.03700   -0.03900
   0.00300   -0.03000   -0.03500   -0.03700
   0.00400   -0.02700   -0.03200   -0.03300
   0.00500   -0.02400   -0.02800   -0.02900
   0.00600   -0.02100   -0.02300   -0.02500
   0.00700   -0.01700   -0.01900   -0.02000
   0.00800   -0.01300   -0.01300   -0.01500
   0.00900   -0.00800   -0.00800   -0.01000
   0.01000   -0.00400   -0.00400   -0.01000
   0.01100    0.00000   -0.00200   -0.01300
   0.01200    0.00400    0.00000   -0.01800
   0.01300    0.00900    0.00200   -0.02500
   0.01400    0.01500    0.00400   -0.03400
   0.01500    0.02200    0.00700   -0.04400
   0.01600    0.03000    0.01000   -0.05400
   0.01700    0.03800    0.01300   -0.06400
   0.01800    0.04800    0.01700   -0.07400
   0.01900    0.05900    0.02300   -0.08300
   0.02000    0.07200    0.02900   -0.09100
   0.02100    0.08500    0.03600   -0.09800
   0.02200    0.10000    0.04400   -0.10300
   0.02300    0.11700    0.05400   -0.10800
   0.02400    0.13500    0.06500   -0.11100
   0.02500    0.15400    0.07700   -0.11200
   0.02600    0.17500    0.09100   -0.11200
   0.02700    0.19700    0.10600   -0.11000
   0.02800    0.22100    0.12300   -0.10600
   0.02900    0.24600    0.14100   -0.10200
   0.03000    0.27300    0.16100   -0.09500
