#   s/e/A2	    pC2mim	     pHDFS	      pTBA	      pNFS	      pTBP	       pBr	     pPFPA	     pFES1	     pFES2	     pFES3
  -0.03000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000
  -0.02900	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000
  -0.02800	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000
  -0.02700	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000
  -0.02600	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000
  -0.02500	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000
  -0.02400	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.15914	   0.07957	   0.07957	   0.07957
  -0.02300	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.87514	   0.43757	   0.43757	   0.43757
  -0.02200	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   1.62600	   0.81300	   0.81300	   0.81300
  -0.02100	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   1.60986	   0.80493	   0.80493	   0.80493
  -0.02000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   1.19400	   0.59700	   0.59700	   0.59700
  -0.01900	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.91000	   0.45500	   0.45500	   0.45500
  -0.01800	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.90171	   0.45086	   0.45086	   0.45086
  -0.01700	   0.03600	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.78929	   0.40364	   0.39464	   0.39464
  -0.01600	   0.49900	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.45786	   0.35368	   0.22893	   0.22893
