# s/e/A2	pR32(s)	pR134a(s)	pR134a(s)
  -0.03000    0.00000    0.00000    0.00000
  -0.02900    0.00000    0.00000    0.00000
  -0.02800    0.00000    0.00000    0.00000
  -0.02700    0.00000    0.00000    0.00000
  -0.02600    0.00000    0.00000    0.00000
  -0.02500    0.00000    0.00000    0.00000
  -0.02400    0.00000    0.00000    0.00000
  -0.02300    0.00000    0.00000    0.00000
  -0.02200    0.00000    0.00000    0.00000
  -0.02100    0.00000    0.00000    0.00000
  -0.02000    0.00000    0.00000    0.00000
  -0.01900    0.00000    0.00000    0.00000
  -0.01800    0.00000    0.00000    0.00000
  -0.01700    0.00000    0.00000    0.01900
  -0.01600    0.00000    0.00000    0.16200
  -0.01500    0.00000    0.00000    1.15200
  -0.01400    0.00000    0.00000    2.86800
  -0.01300    0.00000    0.57800    3.04500
  -0.01200    0.00000    2.84900    1.57700
  -0.01100    1.70100    5.21700    0.72100
  -0.01000    5.36700    4.62800    0.83000
  -0.00900    6.11400    2.54700    1.09100
  -0.00800    3.74000    1.90200    1.08600
  -0.00700    3.07300    2.11200    0.91500
  -0.00600    3.15700    2.04600    0.86100
  -0.00500    2.34800    1.84300    1.04200
  -0.00400    1.85300    1.58300    1.70600
  -0.00300    1.29000    1.52200    2.33400
  -0.00200    0.60000    2.00200    2.75500
  -0.00100    0.58700    2.82800    4.04600
   0.00000    1.44100    4.11300    8.36300
   0.00100    1.83700    7.81200   17.96800
   0.00200    1.23400   15.00500   25.23200
   0.00300    2.06200   18.54200   20.97100
   0.00400    5.29200   13.17300   10.76300
   0.00500    9.67000    7.12800    3.34200
   0.00600   11.71800    5.02400    0.44100
   0.00700    7.86800    2.87600    0.00000
   0.00800    2.14900    0.68000    0.00000
   0.00900    0.00000    0.00000    0.00000
   0.01000    0.00000    0.00000    0.00000
   0.01100    0.00000    0.00000    0.00000
   0.01200    0.00000    0.00000    0.00000
   0.01300    0.00000    0.00000    0.00000
   0.01400    0.00000    0.00000    0.00000
   0.01500    0.00000    0.00000    0.00000
   0.01600    0.00000    0.00000    0.00000
   0.01700    0.00000    0.00000    0.00000
   0.01800    0.00000    0.00000    0.00000
   0.01900    0.00000    0.00000    0.00000
   0.02000    0.00000    0.00000    0.00000
   0.02100    0.00000    0.00000    0.00000
   0.02200    0.00000    0.00000    0.00000
   0.02300    0.00000    0.00000    0.00000
   0.02400    0.00000    0.00000    0.00000
   0.02500    0.00000    0.00000    0.00000
   0.02600    0.00000    0.00000    0.00000
   0.02700    0.00000    0.00000    0.00000
   0.02800    0.00000    0.00000    0.00000
   0.02900    0.00000    0.00000    0.00000
   0.03000    0.00000    0.00000    0.00000
