# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0400	0.0412
303.15	0.0943	0.1006
303.15	0.2061	0.2204
303.15	0.2865	0.3304
303.15	0.3617	0.4472
303.15	0.4238	0.5606
303.15	0.4810	0.6714
303.15	0.5307	0.7738
313.15	0.0172	0.0452
313.15	0.0628	0.1040
313.15	0.1366	0.2090
313.15	0.2187	0.3278
313.15	0.2834	0.4368
313.15	0.3528	0.5610
313.15	0.4087	0.6772
313.15	0.4751	0.8198
313.15	0.5378	0.9776
323.15	0.0236	0.0588
323.15	0.0478	0.0990
323.15	0.1098	0.1918
323.15	0.1638	0.2858
323.15	0.2144	0.3992
323.15	0.2771	0.5150
323.15	0.3434	0.6682
323.15	0.3727	0.7344
323.15	0.4341	0.8984
