# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0215	0.0366
303.15	0.0640	0.0840
303.15	0.1349	0.1614
303.15	0.2276	0.2602
303.15	0.3543	0.3854
303.15	0.4699	0.4910
303.15	0.5489	0.5590
313.15	0.0143	0.0378
313.15	0.0574	0.0880
313.15	0.1412	0.1792
313.15	0.2191	0.2618
313.15	0.2959	0.3448
313.15	0.3716	0.4300
313.15	0.4509	0.5224
313.15	0.4985	0.5788
323.15	0.0134	0.0424
323.15	0.0571	0.0960
323.15	0.1389	0.1896
323.15	0.2422	0.3262
323.15	0.3576	0.4900
323.15	0.4140	0.5710
323.15	0.4581	0.6368
