# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0199	0.0390
303.15	0.0794	0.0916
303.15	0.1520	0.1566
303.15	0.2506	0.2378
303.15	0.3667	0.3372
303.15	0.5130	0.4610
303.15	0.5934	0.5322
313.15	0.0407	0.0632
313.15	0.0918	0.1228
313.15	0.1655	0.1952
313.15	0.2605	0.3042
313.15	0.3738	0.4274
313.15	0.5366	0.6150
323.15	0.0237	0.0556
323.15	0.0601	0.1000
323.15	0.1373	0.1910
323.15	0.2154	0.2886
323.15	0.2942	0.3912
323.15	0.3674	0.4896
323.15	0.4376	0.5868
323.15	0.5097	0.6916
