# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0245	0.0428
303.15	0.0608	0.0950
303.15	0.1149	0.1958
303.15	0.1726	0.3040
303.15	0.2451	0.4330
303.15	0.3086	0.5678
303.15	0.3682	0.6904
303.15	0.4417	0.8330
303.15	0.5181	0.9960
313.15	0.0158	0.0438
313.15	0.0426	0.1060
313.15	0.0948	0.2136
313.15	0.1646	0.3442
313.15	0.2281	0.4764
313.15	0.2935	0.6190
313.15	0.3596	0.7762
313.15	0.4065	0.8924
313.15	0.4411	0.9826
323.15	0.0053	0.0552
323.15	0.0270	0.1072
323.15	0.0885	0.2540
323.15	0.1376	0.3636
323.15	0.2087	0.5146
323.15	0.2564	0.6360
323.15	0.3064	0.7666
323.15	0.3583	0.8980
323.15	0.4322	1.1390
