# from NIST (Sinitsyn, E. N. et al., 1980, VINITI, 1516-80 Saturated vapor pressure, vapor and liquid densities at saturation line, and critical parameters of perfluorovaleric acid and of its fluoro- and chloroanhydrides)
# T/K	P/Pa
356.03	9733
372.12	19465
381.82	29331
388.92	39063
394.82	49063
399.82	58795
404.22	68661
408.02	78394
411.52	88259
413.52	97725
413.92	97859
414.62	98125
436.51	195984
443.91	245047
450.61	293976
451.01	293976
462.11	391968
471.01	489960
478.71	587952
485.51	687010
497.31	882994
502.81	980986
512.71	1176970
516.91	1274962
520.61	1372954
524.21	1470946
