# T/K	P/bar	rhoL/g/cm3	rhoV/g/cm3	ift/mN/m
175	0.0365	1.6827	0.0003	21.4050
176	0.0399	1.6795	0.0003	21.2440
177	0.0436	1.6762	0.0004	21.0830
178	0.0475	1.6730	0.0004	20.9230
179	0.0517	1.6697	0.0004	20.7620
180	0.0563	1.6665	0.0005	20.6020
181	0.0612	1.6632	0.0005	20.4420
182	0.0664	1.6600	0.0005	20.2820
183	0.0720	1.6567	0.0006	20.1230
184	0.0780	1.6535	0.0006	19.9630
185	0.0844	1.6502	0.0007	19.8040
186	0.0912	1.6469	0.0007	19.6460
187	0.0985	1.6437	0.0008	19.4870
188	0.1062	1.6404	0.0008	19.3290
189	0.1145	1.6371	0.0009	19.1710
190	0.1233	1.6338	0.0009	19.0130
191	0.1326	1.6305	0.0010	18.8550
192	0.1425	1.6272	0.0011	18.6980
193	0.1531	1.6239	0.0012	18.5410
194	0.1642	1.6206	0.0012	18.3840
195	0.1760	1.6173	0.0013	18.2280
196	0.1885	1.6139	0.0014	18.0710
197	0.2017	1.6106	0.0015	17.9150
198	0.2157	1.6073	0.0016	17.7600
199	0.2305	1.6039	0.0017	17.6040
200	0.2460	1.6005	0.0018	17.4490
201	0.2624	1.5972	0.0019	17.2940
202	0.2797	1.5938	0.0020	17.1390
203	0.2980	1.5904	0.0022	16.9850
204	0.3171	1.5871	0.0023	16.8310
205	0.3373	1.5837	0.0024	16.6770
206	0.3584	1.5803	0.0026	16.5230
207	0.3807	1.5768	0.0027	16.3700
208	0.4040	1.5734	0.0029	16.2170
209	0.4285	1.5700	0.0030	16.0640
210	0.4542	1.5666	0.0032	15.9120
211	0.4811	1.5631	0.0034	15.7590
212	0.5092	1.5597	0.0036	15.6070
213	0.5387	1.5562	0.0038	15.4560
214	0.5695	1.5527	0.0040	15.3040
215	0.6016	1.5492	0.0042	15.1530
216	0.6353	1.5457	0.0044	15.0020
217	0.6704	1.5422	0.0046	14.8520
218	0.7070	1.5387	0.0048	14.7020
219	0.7452	1.5352	0.0051	14.5520
220	0.7850	1.5317	0.0053	14.4020
221	0.8265	1.5281	0.0056	14.2530
222	0.8698	1.5246	0.0059	14.1040
223	0.9147	1.5210	0.0062	13.9550
224	0.9615	1.5174	0.0065	13.8070
225	1.0102	1.5138	0.0068	13.6580
226	1.0608	1.5102	0.0071	13.5110
227	1.1133	1.5066	0.0074	13.3630
228	1.1679	1.5029	0.0078	13.2160
229	1.2246	1.4993	0.0081	13.0690
230	1.2833	1.4956	0.0085	12.9220
231	1.3443	1.4920	0.0089	12.7760
232	1.4075	1.4883	0.0093	12.6300
233	1.4730	1.4846	0.0097	12.4850
