#     r/nm   g_cation    g_anion      g_hbd      g_hfc
   0.00000    0.00000    0.00000    0.00000    0.00000
   0.02000    0.00000    0.00000    0.00000    0.00000
   0.04000    0.00000    0.00000    0.00000    0.00000
   0.06000    0.00000    0.00000    0.00000    0.00000
   0.08000    0.00000    0.00000    0.00000    0.00000
   0.10000    0.00000    0.00000    0.00000    0.00000
   0.12000    0.00000    0.00000    0.00000    0.00000
   0.14000    0.00000    0.00000    0.00000    0.00000
   0.16000    0.00000    0.00000    0.00000    0.00000
   0.18000    0.00000    0.00000    0.00000    0.00000
   0.20000    0.00000    0.00000    0.00000    0.00000
   0.22000    0.00000    0.00000    0.00000    0.00000
   0.24000    0.00000    0.00000    0.00000    0.00000
   0.26000    0.00000    0.00000    0.00000    0.00000
   0.28000    0.00000    0.00000    0.00000    0.00000
   0.30000    0.00000    0.00000    0.00000    0.00000
   0.32000    0.00000    0.00000    0.00000    0.00000
   0.34000    0.00000    0.00000    0.00000    0.00000
   0.36000    0.00000    0.00000    0.00000    0.00100
   0.38000    0.00000    0.00000    0.00000    0.01500
   0.40000    0.00000    0.00000    0.00000    0.09800
   0.42000    0.00000    0.00100    0.00300    0.33800
   0.44000    0.00500    0.01900    0.02700    0.77700
   0.46000    0.03500    0.14400    0.14000    1.33300
   0.48000    0.11500    0.49100    0.42800    1.86300
   0.50000    0.27500    0.98400    0.85900    2.24000
   0.52000    0.50700    1.44100    1.32400    2.39800
   0.54000    0.78500    1.73700    1.70300    2.33400
   0.56000    1.05700    1.86700    1.92400    2.14200
   0.58000    1.30700    1.88800    1.98500    1.85300
   0.60000    1.54000    1.81700    1.92600    1.55200
   0.62000    1.69700    1.70500    1.80900    1.29100
   0.64000    1.72000    1.56200    1.67300    1.07900
   0.66000    1.62000    1.42300    1.54100    0.92300
   0.68000    1.43900    1.28300    1.40600    0.82300
   0.70000    1.26700    1.14300    1.25600    0.74700
   0.72000    1.12700    1.01300    1.11100    0.70900
   0.74000    1.03700    0.89700    0.97200    0.68300
   0.76000    0.99500    0.79300    0.86000    0.68600
   0.78000    0.97800    0.71200    0.77300    0.69600
   0.80000    0.97900    0.66400    0.71700    0.72200
   0.82000    0.98900    0.64100    0.68500    0.75800
   0.84000    1.00100    0.64700    0.67600    0.80900
   0.86000    1.02500    0.67200    0.68800    0.86300
   0.88000    1.03900    0.71800    0.71200    0.92000
   0.90000    1.05700    0.77500    0.75200    0.98100
   0.92000    1.06100    0.84300    0.80500    1.02900
   0.94000    1.05700    0.90700    0.86100    1.07300
   0.96000    1.04100    0.97600    0.91400    1.10400
   0.98000    1.02300    1.04300    0.96600    1.12600
   1.00000    1.01500    1.09600    1.01300    1.13200
   1.02000    1.00300    1.13700    1.05000    1.12800
   1.04000    1.00100    1.16400    1.08100    1.11600
   1.06000    1.01300    1.18200    1.10300    1.09200
   1.08000    1.01800    1.18300    1.11300    1.06300
   1.10000    1.02900    1.17600    1.11300    1.03300
   1.12000    1.03600    1.16000    1.10300    1.00100
   1.14000    1.04500    1.13300    1.08600    0.97200
   1.16000    1.04300    1.10800    1.06100    0.94600
   1.18000    1.04200    1.07700    1.03700    0.92700
   1.20000    1.04000    1.04000    1.01200    0.91400
   1.22000    1.03500    1.01700    0.98700    0.90700
   1.24000    1.02500    0.99000    0.96300    0.90600
   1.26000    1.02200    0.97200    0.94900    0.91000
   1.28000    1.01600    0.95500    0.93500    0.92000
   1.30000    1.00700    0.95000    0.92700    0.93300
   1.32000    1.00400    0.94500    0.92600    0.94900
   1.34000    1.00300    0.94900    0.92900    0.96500
   1.36000    1.00100    0.95100    0.93800    0.98200
   1.38000    1.00300    0.96000    0.94900    1.00000
   1.40000    1.00000    0.97000    0.96300    1.01200
   1.42000    1.00200    0.97900    0.97700    1.02200
   1.44000    1.00300    0.98900    0.99300    1.03100
   1.46000    1.00300    0.99800    1.00800    1.03500
   1.48000    1.00100    1.00600    1.02000    1.03600
   1.50000    1.00100    1.01200    1.03000    1.03500
   1.52000    0.99900    1.01800    1.03600    1.03000
   1.54000    0.99800    1.01900    1.04000    1.02100
   1.56000    0.99500    1.02100    1.04100    1.01500
   1.58000    0.99300    1.01900    1.04000    1.00700
   1.60000    0.99200    1.01600    1.03400    1.00100
   1.62000    0.99000    1.00900    1.02900    0.99300
   1.64000    0.98900    1.00500    1.02200    0.98700
   1.66000    0.98600    1.00000    1.01400    0.98200
   1.68000    0.98500    0.99700    1.00600    0.98000
   1.70000    0.98500    0.99200    1.00000    0.97900
   1.72000    0.98400    0.98800    0.99500    0.97800
   1.74000    0.98500    0.98300    0.98900    0.98200
   1.76000    0.98300    0.98400    0.98800    0.98300
   1.78000    0.98400    0.98400    0.98600    0.98800
   1.80000    0.98500    0.98600    0.98700    0.99200
   1.82000    0.98500    0.98500    0.98700    0.99700
   1.84000    0.98600    0.99000    0.99000    1.00100
   1.86000    0.98900    0.99300    0.99500    1.00300
   1.88000    0.98900    0.99700    0.99800    1.00500
   1.90000    0.99100    1.00100    1.00300    1.00900
   1.92000    0.99200    1.00400    1.00500    1.01000
   1.94000    0.99200    1.00800    1.00900    1.00700
   1.96000    0.99400    1.01100    1.01100    1.00600
   1.98000    0.99700    1.01100    1.01400    1.00700
   2.00000    0.99700    1.01100    1.01500    1.00600
   2.02000    1.00000    1.01000    1.01500    1.00500
   2.04000    0.99900    1.01000    1.01400    1.00000
   2.06000    1.00200    1.00800    1.01400    0.99900
   2.08000    1.00100    1.00800    1.01200    0.99500
   2.10000    1.00300    1.00600    1.01000    0.99300
   2.12000    1.00300    1.00300    1.00800    0.99100
   2.14000    1.00400    1.00100    1.00500    0.99200
   2.16000    1.00400    0.99800    1.00200    0.99100
   2.18000    1.00300    0.99500    1.00100    0.99000
   2.20000    1.00300    0.99500    0.99900    0.98900
   2.22000    1.00500    0.99500    0.99800    0.99100
   2.24000    1.00500    0.99300    0.99800    0.99000
   2.26000    1.00500    0.99300    0.99700    0.99200
   2.28000    1.00700    0.99300    0.99700    0.99300
   2.30000    1.00500    0.99400    0.99800    0.99400
   2.32000    1.00600    0.99500    0.99700    0.99500
   2.34000    1.00500    0.99700    0.99900    0.99700
   2.36000    1.00500    0.99800    1.00000    0.99700
   2.38000    1.00600    0.99800    1.00000    0.99700
   2.40000    1.00600    0.99900    1.00100    0.99800
   2.42000    1.00500    1.00000    1.00200    0.99800
   2.44000    1.00600    1.00100    1.00200    0.99800
   2.46000    1.00500    1.00000    1.00400    0.99800
   2.48000    1.00200    1.00100    1.00400    0.99800
   2.50000    1.00400    1.00200    1.00500    0.99700
   2.52000    1.00400    1.00400    1.00300    0.99700
   2.54000    1.00300    1.00300    1.00300    0.99700
   2.56000    1.00300    1.00200    1.00300    0.99700
   2.58000    1.00200    1.00200    1.00100    0.99600
   2.60000    1.00100    1.00200    1.00100    0.99500
   2.62000    1.00100    1.00100    1.00100    0.99600
   2.64000    1.00200    1.00200    1.00100    0.99500
   2.66000    1.00000    1.00000    0.99900    0.99500
   2.68000    1.00000    1.00000    1.00000    0.99600
   2.70000    0.99900    1.00000    1.00000    0.99600
   2.72000    1.00000    0.99900    1.00000    0.99500
   2.74000    0.99900    0.99800    0.99900    0.99600
   2.76000    0.99900    1.00000    1.00000    0.99700
   2.78000    0.99900    1.00000    1.00000    0.99700
   2.80000    0.99900    0.99900    1.00000    0.99900
   2.82000    0.99900    1.00100    1.00100    0.99800
   2.84000    0.99800    1.00000    1.00100    0.99800
   2.86000    0.99800    1.00100    1.00100    0.99800
   2.88000    0.99700    1.00100    1.00200    0.99800
   2.90000    0.99800    1.00200    1.00300    0.99800
   2.92000    0.99800    1.00200    1.00100    0.99800
   2.94000    0.99800    1.00200    1.00300    0.99800
   2.96000    0.99900    1.00200    1.00300    0.99800
   2.98000    0.99800    1.00200    1.00300    0.99800
   3.00000    0.99700    1.00100    1.00300    0.99800
   3.02000    0.99800    1.00100    1.00400    0.99900
