#     r/nm   g_cation    g_anion      g_hbd      g_hfc
   0.00000    0.00000    0.00000    0.00000    0.00000
   0.02000    0.00000    0.00000    0.00000    0.00000
   0.04000    0.00000    0.00000    0.00000    0.00000
   0.06000    0.00000    0.00000    0.00000    0.00000
   0.08000    0.00000    0.00000    0.00000    0.00000
   0.10000    0.00000    0.00000    0.00000    0.00000
   0.12000    0.00000    0.00000    0.00000    0.00000
   0.14000    0.00000    0.00000    0.00000    0.00000
   0.16000    0.00000    0.00000    0.00000    0.00000
   0.18000    0.00000    0.00000    0.00000    0.00000
   0.20000    0.00000    0.00000    0.00000    0.00000
   0.22000    0.00000    0.00000    0.00000    0.00000
   0.24000    0.00000    0.00000    0.00000    0.00000
   0.26000    0.00000    0.00000    0.00000    0.00000
   0.28000    0.00000    0.00000    0.00000    0.00000
   0.30000    0.00000    0.00000    0.00000    0.00000
   0.32000    0.00000    0.00000    0.00000    0.00000
   0.34000    0.00000    0.00000    0.00000    0.00000
   0.36000    0.00000    0.02400    0.00000    0.00100
   0.38000    0.00000    0.44700    0.00000    0.01500
   0.40000    0.00000    1.64800    0.00000    0.08900
   0.42000    0.00000    2.74100    0.00200    0.30200
   0.44000    0.00300    3.09100    0.02300    0.69800
   0.46000    0.02800    2.76500    0.12200    1.19800
   0.48000    0.11900    1.97500    0.37300    1.70000
   0.50000    0.32600    1.26800    0.76500    2.06400
   0.52000    0.64200    0.86600    1.19500    2.23600
   0.54000    0.99800    0.66800    1.55500    2.21000
   0.56000    1.32600    0.57500    1.79500    2.03200
   0.58000    1.59200    0.52500    1.87300    1.77800
   0.60000    1.75800    0.50800    1.83400    1.49800
   0.62000    1.83400    0.50100    1.73300    1.24500
   0.64000    1.77100    0.50600    1.61400    1.04400
   0.66000    1.61900    0.52200    1.49800    0.90000
   0.68000    1.43800    0.55000    1.37100    0.80000
   0.70000    1.27500    0.58300    1.24500    0.73300
   0.72000    1.15000    0.62700    1.10700    0.69600
   0.74000    1.06900    0.67800    0.98000    0.68000
   0.76000    1.03200    0.74400    0.87500    0.68000
   0.78000    1.02400    0.81800    0.79700    0.69800
   0.80000    1.03300    0.89300    0.74500    0.73000
   0.82000    1.04900    0.96900    0.71800    0.77200
   0.84000    1.07300    1.04600    0.71000    0.82300
   0.86000    1.09100    1.11800    0.72300    0.87100
   0.88000    1.10000    1.17600    0.75200    0.92300
   0.90000    1.11000    1.22300    0.79600    0.97100
   0.92000    1.09500    1.25400    0.84900    1.01400
   0.94000    1.07400    1.26300    0.90700    1.05600
   0.96000    1.04100    1.25700    0.96200    1.08300
   0.98000    1.00400    1.23700    1.01300    1.10400
   1.00000    0.97200    1.19900    1.05100    1.10800
   1.02000    0.95100    1.16000    1.07300    1.10700
   1.04000    0.94300    1.11500    1.08900    1.09700
   1.06000    0.94100    1.08100    1.09400    1.07700
   1.08000    0.94600    1.04300    1.09200    1.05300
   1.10000    0.95700    1.01700    1.08200    1.02500
   1.12000    0.97100    1.00000    1.06800    0.99900
   1.14000    0.97700    0.98800    1.04800    0.97300
   1.16000    0.98400    0.98300    1.02600    0.95300
   1.18000    0.98500    0.98700    1.00600    0.93900
   1.20000    0.99000    0.99300    0.98600    0.93100
   1.22000    0.99300    1.00200    0.96700    0.92800
   1.24000    0.99100    1.01000    0.95000    0.92800
   1.26000    0.99600    1.02000    0.94300    0.93800
   1.28000    0.99700    1.02500    0.93700    0.94700
   1.30000    1.00200    1.03000    0.93500    0.95800
   1.32000    1.00400    1.02900    0.94100    0.97200
   1.34000    1.00600    1.02700    0.94900    0.98700
   1.36000    1.00800    1.02300    0.96000    1.00000
   1.38000    1.00700    1.01900    0.97300    1.01200
   1.40000    1.00700    1.01200    0.98700    1.02300
   1.42000    1.00700    1.00400    1.00100    1.02700
   1.44000    1.00700    0.99700    1.01400    1.03200
   1.46000    1.00500    0.99400    1.02500    1.03500
   1.48000    1.00400    0.98200    1.03300    1.03400
   1.50000    1.00200    0.97600    1.03700    1.03000
   1.52000    1.00000    0.97200    1.04200    1.02700
   1.54000    0.99900    0.96600    1.04300    1.01900
   1.56000    0.99900    0.96300    1.03800    1.01100
   1.58000    0.99800    0.96100    1.03300    1.00500
   1.60000    1.00000    0.96000    1.02800    0.99700
   1.62000    1.00000    0.96200    1.02000    0.99200
   1.64000    1.00000    0.96700    1.01300    0.98800
   1.66000    1.00100    0.96800    1.00500    0.98600
   1.68000    1.00200    0.97400    0.99800    0.98300
   1.70000    1.00100    0.97900    0.99400    0.98300
   1.72000    1.00100    0.98400    0.98800    0.98300
   1.74000    0.99900    0.99100    0.98600    0.98400
   1.76000    0.99800    0.99600    0.98200    0.98800
   1.78000    0.99700    1.00200    0.98200    0.99000
   1.80000    0.99800    1.00300    0.98300    0.99400
   1.82000    0.99700    1.00500    0.98600    0.99800
   1.84000    0.99500    1.00800    0.98700    1.00300
   1.86000    0.99500    1.00800    0.99000    1.00500
   1.88000    0.99500    1.00900    0.99400    1.00900
   1.90000    0.99400    1.00700    0.99700    1.00900
   1.92000    0.99600    1.00700    1.00000    1.01100
   1.94000    0.99400    1.00600    1.00200    1.01100
   1.96000    0.99600    1.00500    1.00500    1.01100
   1.98000    0.99400    1.00400    1.00700    1.01000
   2.00000    0.99600    1.00200    1.00600    1.00800
   2.02000    0.99600    1.00200    1.00600    1.00500
   2.04000    0.99700    1.00100    1.00700    1.00400
   2.06000    0.99900    1.00200    1.00600    1.00300
   2.08000    0.99900    1.00100    1.00400    1.00100
   2.10000    0.99900    1.00200    1.00300    0.99900
   2.12000    0.99900    1.00300    1.00100    0.99900
   2.14000    1.00100    1.00500    1.00000    0.99800
   2.16000    1.00200    1.00400    0.99700    0.99600
   2.18000    1.00200    1.00300    0.99700    0.99700
   2.20000    1.00300    1.00500    0.99500    0.99600
   2.22000    1.00300    1.00600    0.99600    0.99700
   2.24000    1.00300    1.00500    0.99500    0.99900
   2.26000    1.00400    1.00500    0.99500    0.99800
   2.28000    1.00400    1.00500    0.99500    0.99900
   2.30000    1.00500    1.00600    0.99500    0.99900
   2.32000    1.00400    1.00500    0.99600    1.00000
   2.34000    1.00500    1.00400    0.99700    1.00000
   2.36000    1.00300    1.00400    0.99800    1.00200
   2.38000    1.00500    1.00200    0.99800    1.00100
   2.40000    1.00400    1.00300    0.99800    1.00300
   2.42000    1.00300    1.00100    1.00000    1.00300
   2.44000    1.00200    1.00100    1.00000    1.00100
   2.46000    1.00200    1.00000    1.00100    1.00200
   2.48000    1.00200    1.00000    1.00100    1.00100
   2.50000    1.00200    1.00000    1.00100    1.00000
   2.52000    1.00100    0.99900    1.00000    1.00000
   2.54000    1.00200    1.00000    1.00000    1.00000
   2.56000    1.00200    0.99900    1.00000    0.99900
   2.58000    1.00100    0.99800    0.99900    0.99900
   2.60000    1.00000    0.99800    1.00100    0.99800
   2.62000    1.00100    0.99900    0.99900    0.99900
   2.64000    1.00100    1.00000    0.99900    0.99800
   2.66000    0.99900    1.00000    0.99900    1.00000
   2.68000    1.00100    1.00000    0.99800    0.99900
   2.70000    1.00100    0.99900    0.99900    0.99900
   2.72000    0.99900    0.99900    0.99800    0.99800
   2.74000    1.00000    1.00000    0.99900    0.99900
   2.76000    1.00000    1.00000    0.99900    1.00000
   2.78000    1.00000    1.00000    0.99900    0.99900
   2.80000    1.00000    1.00000    0.99900    1.00000
   2.82000    1.00000    1.00000    1.00000    1.00000
   2.84000    1.00100    1.00000    1.00000    1.00000
   2.86000    0.99900    1.00000    1.00000    1.00100
   2.88000    0.99900    0.99800    1.00100    1.00000
   2.90000    0.99900    0.99900    1.00100    1.00000
   2.92000    0.99900    0.99900    1.00200    1.00000
   2.94000    0.99900    1.00100    1.00100    1.00000
   2.96000    0.99800    1.00000    1.00100    1.00000
   2.98000    0.99800    0.99900    1.00200    1.00000
   3.00000    0.99800    0.99900    1.00200    1.00100
   3.02000    0.99900    1.00000    1.00100    0.99900
