#     r/nm   g_cation    g_anion      g_hbd      g_hfc
   0.00000    0.00000    0.00000    0.00000    0.00000
   0.02000    0.00000    0.00000    0.00000    0.00000
   0.04000    0.00000    0.00000    0.00000    0.00000
   0.06000    0.00000    0.00000    0.00000    0.00000
   0.08000    0.00000    0.00000    0.00000    0.00000
   0.10000    0.00000    0.00000    0.00000    0.00000
   0.12000    0.00000    0.00000    0.00000    0.00000
   0.14000    0.00000    0.00000    0.00000    0.00000
   0.16000    0.00000    0.00000    0.00000    0.00000
   0.18000    0.00000    0.00000    0.00000    0.00000
   0.20000    0.00000    0.00000    0.00000    0.00000
   0.22000    0.00000    0.00000    0.00000    0.00000
   0.24000    0.00000    0.00000    0.00000    0.00000
   0.26000    0.00000    0.00000    0.00000    0.00000
   0.28000    0.00000    0.00000    0.00000    0.00000
   0.30000    0.00000    0.00000    0.00000    0.00000
   0.32000    0.00000    0.00000    0.00000    0.00000
   0.34000    0.00800    0.00000    0.00000    0.00000
   0.36000    0.06800    0.00000    0.00000    0.00500
   0.38000    0.23100    0.00000    0.00000    0.05400
   0.40000    0.47600    0.00700    0.00000    0.25700
   0.42000    0.71500    0.04000    0.00700    0.72500
   0.44000    0.86900    0.15500    0.05700    1.36600
   0.46000    0.98700    0.39100    0.23600    1.97700
   0.48000    1.08200    0.70100    0.59700    2.34000
   0.50000    1.18200    0.99400    1.07300    2.47300
   0.52000    1.27400    1.23800    1.50900    2.44000
   0.54000    1.34600    1.38500    1.79700    2.27400
   0.56000    1.37400    1.42900    1.91300    2.00300
   0.58000    1.37800    1.41100    1.90700    1.71400
   0.60000    1.35500    1.35100    1.83200    1.44800
   0.62000    1.31600    1.26800    1.72200    1.21100
   0.64000    1.27200    1.17800    1.61000    1.02800
   0.66000    1.22700    1.09600    1.48800    0.88800
   0.68000    1.15600    1.03800    1.34800    0.79500
   0.70000    1.06700    0.99100    1.20700    0.73600
   0.72000    0.96900    0.95900    1.06800    0.70800
   0.74000    0.87100    0.93400    0.94000    0.70100
   0.76000    0.78300    0.91600    0.83200    0.70600
   0.78000    0.71400    0.90600    0.75500    0.72800
   0.80000    0.66700    0.90900    0.70300    0.76300
   0.82000    0.64800    0.91400    0.67500    0.80900
   0.84000    0.65000    0.93400    0.67300    0.85500
   0.86000    0.67400    0.94700    0.68600    0.91000
   0.88000    0.71200    0.96300    0.71600    0.96200
   0.90000    0.75900    0.98100    0.76100    1.01300
   0.92000    0.81300    0.99800    0.80900    1.05600
   0.94000    0.86800    1.01200    0.86200    1.09800
   0.96000    0.92400    1.02500    0.92200    1.12700
   0.98000    0.97400    1.03700    0.97800    1.14800
   1.00000    1.01500    1.04500    1.02900    1.16000
   1.02000    1.04500    1.05200    1.07600    1.16100
   1.04000    1.07200    1.05600    1.11000    1.14800
   1.06000    1.09100    1.05600    1.13900    1.13400
   1.08000    1.10100    1.05400    1.15400    1.11000
   1.10000    1.09800    1.05000    1.15900    1.08200
   1.12000    1.09600    1.04300    1.15000    1.04700
   1.14000    1.08800    1.03400    1.13900    1.01800
   1.16000    1.07400    1.02700    1.11400    0.99100
   1.18000    1.06000    1.01800    1.08600    0.96800
   1.20000    1.04500    1.00900    1.05700    0.95100
   1.22000    1.02900    0.99500    1.02900    0.93700
   1.24000    1.01400    0.99100    1.00000    0.93200
   1.26000    0.99800    0.98400    0.97300    0.93100
   1.28000    0.99100    0.97900    0.95400    0.93200
   1.30000    0.97900    0.97500    0.93800    0.93800
   1.32000    0.97400    0.97100    0.93000    0.94800
   1.34000    0.97200    0.97000    0.92700    0.95900
   1.36000    0.97100    0.97200    0.92600    0.97100
   1.38000    0.97500    0.97200    0.93100    0.98300
   1.40000    0.97700    0.97400    0.94000    0.99500
   1.42000    0.98500    0.97900    0.95100    1.00500
   1.44000    0.99300    0.98200    0.96400    1.01300
   1.46000    0.99800    0.98600    0.97600    1.02200
   1.48000    1.00500    0.99200    0.99000    1.02700
   1.50000    1.01200    0.99600    1.00300    1.03000
   1.52000    1.01600    0.99900    1.01400    1.02900
   1.54000    1.02100    1.00200    1.02300    1.02800
   1.56000    1.02400    1.00400    1.02900    1.02400
   1.58000    1.02700    1.00500    1.03400    1.02100
   1.60000    1.02500    1.00800    1.03400    1.01600
   1.62000    1.02600    1.00500    1.03300    1.01100
   1.64000    1.02400    1.00500    1.03100    1.00400
   1.66000    1.02100    1.00400    1.02700    0.99800
   1.68000    1.01800    1.00300    1.02300    0.99400
   1.70000    1.01500    1.00100    1.01500    0.99100
   1.72000    1.01200    1.00000    1.01000    0.98900
   1.74000    1.00700    0.99700    1.00400    0.98700
   1.76000    1.00200    0.99600    1.00000    0.98600
   1.78000    1.00000    0.99700    0.99500    0.98600
   1.80000    0.99700    0.99500    0.99300    0.98800
   1.82000    0.99600    0.99400    0.98800    0.98700
   1.84000    0.99300    0.99600    0.98800    0.99000
   1.86000    0.99100    0.99600    0.98600    0.99300
   1.88000    0.99100    0.99500    0.98800    0.99400
   1.90000    0.99100    0.99600    0.98900    0.99700
   1.92000    0.99200    0.99800    0.99100    1.00000
   1.94000    0.99200    0.99700    0.99300    1.00200
   1.96000    0.99300    1.00000    0.99600    1.00600
   1.98000    0.99600    1.00100    0.99800    1.00500
   2.00000    0.99600    1.00200    1.00100    1.00600
   2.02000    0.99900    1.00300    1.00300    1.00600
   2.04000    0.99700    1.00400    1.00500    1.00800
   2.06000    1.00000    1.00500    1.00600    1.00600
   2.08000    1.00100    1.00400    1.00600    1.00500
   2.10000    1.00000    1.00400    1.00700    1.00500
   2.12000    1.00200    1.00300    1.00800    1.00400
   2.14000    1.00200    1.00300    1.00600    1.00400
   2.16000    1.00100    1.00200    1.00600    1.00200
   2.18000    1.00100    1.00100    1.00500    1.00100
   2.20000    1.00200    1.00000    1.00300    1.00000
   2.22000    1.00200    1.00000    1.00200    1.00000
   2.24000    0.99900    1.00000    1.00100    1.00000
   2.26000    1.00000    1.00000    1.00000    0.99900
   2.28000    0.99900    0.99800    0.99900    0.99800
   2.30000    0.99700    0.99800    0.99900    0.99900
   2.32000    0.99800    0.99800    0.99700    0.99900
   2.34000    0.99700    0.99700    0.99800    0.99900
   2.36000    0.99700    0.99700    0.99700    1.00000
   2.38000    0.99600    0.99600    0.99600    1.00200
   2.40000    0.99800    0.99800    0.99700    1.00100
   2.42000    0.99600    0.99800    0.99700    1.00100
   2.44000    0.99600    0.99800    0.99800    1.00200
   2.46000    0.99700    0.99800    0.99900    1.00300
   2.48000    0.99800    0.99900    0.99900    1.00300
   2.50000    0.99800    0.99800    1.00000    1.00300
   2.52000    0.99700    0.99800    0.99900    1.00400
   2.54000    0.99900    0.99800    1.00100    1.00400
   2.56000    0.99800    0.99800    1.00100    1.00400
   2.58000    1.00000    0.99900    1.00200    1.00400
   2.60000    0.99900    0.99800    1.00200    1.00300
   2.62000    1.00000    0.99900    1.00100    1.00200
   2.64000    1.00200    0.99900    1.00100    1.00100
   2.66000    1.00000    0.99900    1.00100    1.00200
   2.68000    1.00100    0.99900    1.00100    1.00000
   2.70000    1.00000    0.99900    1.00100    1.00200
   2.72000    1.00200    0.99800    1.00000    1.00100
   2.74000    1.00100    0.99900    1.00100    1.00100
   2.76000    1.00100    0.99900    1.00100    1.00100
   2.78000    1.00000    0.99800    1.00100    1.00000
   2.80000    1.00000    0.99800    0.99900    1.00000
   2.82000    1.00100    0.99800    0.99900    0.99900
   2.84000    1.00000    0.99900    0.99900    1.00000
   2.86000    1.00100    0.99900    0.99900    1.00000
   2.88000    1.00100    0.99900    0.99900    1.00000
   2.90000    0.99900    0.99900    1.00000    1.00000
   2.92000    1.00000    0.99900    0.99900    1.00100
   2.94000    1.00100    0.99900    0.99900    1.00000
   2.96000    1.00000    0.99900    0.99900    1.00000
   2.98000    1.00000    0.99900    0.99900    1.00000
   3.00000    1.00100    0.99900    1.00000    1.00000
   3.02000    1.00000    0.99900    0.99900    1.00000
