#     r/nm   g_cation    g_anion      g_hbd      g_hfc
   0.00000    0.00000    0.00000    0.00000    0.00000
   0.02000    0.00000    0.00000    0.00000    0.00000
   0.04000    0.00000    0.00000    0.00000    0.00000
   0.06000    0.00000    0.00000    0.00000    0.00000
   0.08000    0.00000    0.00000    0.00000    0.00000
   0.10000    0.00000    0.00000    0.00000    0.00000
   0.12000    0.00000    0.00000    0.00000    0.00000
   0.14000    0.00000    0.00000    0.00000    0.00000
   0.16000    0.00000    0.00000    0.00000    0.00000
   0.18000    0.00000    0.00000    0.00000    0.00000
   0.20000    0.00000    0.00000    0.00000    0.00000
   0.22000    0.00000    0.00000    0.00000    0.00000
   0.24000    0.00000    0.00000    0.00000    0.00000
   0.26000    0.00000    0.00000    0.00000    0.00000
   0.28000    0.00000    0.00000    0.00000    0.00000
   0.30000    0.00000    0.00000    0.00000    0.00000
   0.32000    0.00000    0.00000    0.00000    0.00000
   0.34000    0.00000    0.00000    0.00000    0.00000
   0.36000    0.00000    0.00000    0.00000    0.00500
   0.38000    0.00000    0.00000    0.00000    0.04700
   0.40000    0.00000    0.00000    0.00000    0.23400
   0.42000    0.00100    0.00200    0.00700    0.65600
   0.44000    0.01900    0.02100    0.05200    1.27100
   0.46000    0.09600    0.12800    0.21300    1.83900
   0.48000    0.27400    0.42000    0.55200    2.22200
   0.50000    0.53500    0.86700    1.01500    2.36800
   0.52000    0.80100    1.32300    1.46000    2.35300
   0.54000    1.01100    1.67200    1.75600    2.21000
   0.56000    1.20800    1.84400    1.88800    1.96500
   0.58000    1.39700    1.87100    1.89600    1.69200
   0.60000    1.52700    1.80000    1.82600    1.42700
   0.62000    1.58100    1.68100    1.72700    1.20100
   0.64000    1.52100    1.55500    1.61300    1.02500
   0.66000    1.40200    1.43200    1.49700    0.89000
   0.68000    1.25900    1.31800    1.35900    0.80100
   0.70000    1.12400    1.17800    1.22100    0.73900
   0.72000    1.02700    1.04200    1.08400    0.70900
   0.74000    0.97300    0.91300    0.95500    0.70000
   0.76000    0.94800    0.81300    0.85100    0.71000
   0.78000    0.95400    0.73700    0.77300    0.73100
   0.80000    0.96600    0.69000    0.72300    0.76800
   0.82000    0.98500    0.67000    0.69800    0.81100
   0.84000    1.00500    0.67700    0.69500    0.86500
   0.86000    1.03400    0.70300    0.71100    0.92000
   0.88000    1.04700    0.75200    0.74200    0.97100
   0.90000    1.06100    0.80900    0.79000    1.01600
   0.92000    1.05200    0.87500    0.83700    1.05200
   0.94000    1.03800    0.94100    0.88900    1.08300
   0.96000    1.02600    1.01000    0.93900    1.10100
   0.98000    1.01200    1.06500    0.98200    1.10900
   1.00000    1.01000    1.10900    1.02200    1.10800
   1.02000    1.01000    1.14600    1.05200    1.09600
   1.04000    1.02300    1.16700    1.07300    1.08100
   1.06000    1.02900    1.18000    1.08800    1.06000
   1.08000    1.04200    1.17800    1.09200    1.03100
   1.10000    1.04900    1.16500    1.09100    1.00100
   1.12000    1.05300    1.14600    1.08300    0.98000
   1.14000    1.05400    1.11500    1.06700    0.95700
   1.16000    1.05400    1.09000    1.04500    0.93800
   1.18000    1.05000    1.05500    1.02400    0.92500
   1.20000    1.04500    1.02700    0.99900    0.91500
   1.22000    1.04100    1.00300    0.97600    0.91400
   1.24000    1.03100    0.98100    0.95800    0.91800
   1.26000    1.02700    0.96100    0.94500    0.92800
   1.28000    1.02100    0.95100    0.93400    0.93900
   1.30000    1.01500    0.94600    0.92800    0.95400
   1.32000    1.01200    0.94400    0.93100    0.96600
   1.34000    1.00800    0.94600    0.93500    0.98100
   1.36000    1.00700    0.95200    0.94600    0.99600
   1.38000    1.00700    0.96200    0.95600    1.00800
   1.40000    1.00400    0.97100    0.96900    1.02000
   1.42000    1.00400    0.98100    0.98200    1.02900
   1.44000    1.00200    0.99100    0.99800    1.03200
   1.46000    1.00400    0.99800    1.00700    1.03600
   1.48000    1.00300    1.00500    1.01800    1.03400
   1.50000    0.99900    1.00900    1.02700    1.03000
   1.52000    0.99600    1.01400    1.03200    1.02600
   1.54000    0.99600    1.01600    1.03500    1.02000
   1.56000    0.99300    1.01700    1.03400    1.01300
   1.58000    0.99000    1.01600    1.03000    1.00600
   1.60000    0.98800    1.01300    1.02600    1.00100
   1.62000    0.98500    1.01000    1.01900    0.99600
   1.64000    0.98400    1.00500    1.01300    0.99100
   1.66000    0.98200    1.00000    1.00700    0.99100
   1.68000    0.98000    0.99400    1.00000    0.99000
   1.70000    0.98000    0.99000    0.99400    0.99100
   1.72000    0.98000    0.98800    0.99000    0.99200
   1.74000    0.98200    0.98500    0.98600    0.99500
   1.76000    0.98000    0.98300    0.98500    0.99800
   1.78000    0.98300    0.98500    0.98500    1.00200
   1.80000    0.98200    0.98700    0.98700    1.00500
   1.82000    0.98400    0.98900    0.98900    1.01000
   1.84000    0.98500    0.99000    0.99100    1.01000
   1.86000    0.98700    0.99400    0.99600    1.01300
   1.88000    0.98800    0.99600    0.99800    1.01400
   1.90000    0.98900    1.00200    1.00100    1.01500
   1.92000    0.99100    1.00400    1.00500    1.01300
   1.94000    0.99400    1.00700    1.00700    1.01400
   1.96000    0.99300    1.00900    1.00900    1.01200
   1.98000    0.99400    1.01000    1.01100    1.00900
   2.00000    0.99500    1.01000    1.01100    1.00800
   2.02000    0.99800    1.01000    1.01000    1.00500
   2.04000    0.99800    1.01000    1.01100    1.00400
   2.06000    1.00000    1.00800    1.00700    1.00100
   2.08000    1.00100    1.00600    1.00500    0.99900
   2.10000    1.00100    1.00500    1.00500    0.99600
   2.12000    1.00200    1.00300    1.00200    0.99500
   2.14000    1.00400    1.00000    1.00100    0.99600
   2.16000    1.00300    1.00000    0.99900    0.99400
   2.18000    1.00400    0.99800    0.99700    0.99300
   2.20000    1.00400    1.00000    0.99600    0.99300
   2.22000    1.00400    0.99700    0.99500    0.99400
   2.24000    1.00400    0.99700    0.99500    0.99500
   2.26000    1.00400    0.99800    0.99600    0.99500
   2.28000    1.00600    0.99800    0.99400    0.99800
   2.30000    1.00600    0.99800    0.99600    0.99800
   2.32000    1.00700    0.99900    0.99600    0.99700
   2.34000    1.00800    0.99900    0.99700    0.99800
   2.36000    1.00800    1.00200    0.99800    0.99800
   2.38000    1.00700    1.00200    0.99800    0.99800
   2.40000    1.00700    1.00100    0.99900    0.99800
   2.42000    1.00700    1.00200    1.00000    0.99800
   2.44000    1.00700    1.00200    1.00100    0.99700
   2.46000    1.00600    1.00300    1.00000    0.99800
   2.48000    1.00500    1.00500    1.00100    0.99700
   2.50000    1.00600    1.00500    1.00100    0.99500
   2.52000    1.00500    1.00400    1.00000    0.99500
   2.54000    1.00500    1.00200    1.00000    0.99500
   2.56000    1.00600    1.00300    0.99900    0.99500
   2.58000    1.00500    1.00200    0.99900    0.99500
   2.60000    1.00300    1.00200    0.99900    0.99600
   2.62000    1.00300    1.00000    0.99800    0.99400
   2.64000    1.00200    1.00100    0.99800    0.99500
   2.66000    1.00100    1.00100    0.99800    0.99400
   2.68000    1.00200    1.00200    0.99800    0.99500
   2.70000    1.00100    1.00100    0.99800    0.99500
   2.72000    1.00100    1.00100    0.99800    0.99600
   2.74000    1.00000    1.00100    0.99900    0.99600
   2.76000    1.00000    1.00100    0.99900    0.99600
   2.78000    1.00000    1.00100    0.99900    0.99600
   2.80000    1.00100    1.00300    1.00000    0.99600
   2.82000    1.00000    1.00100    1.00000    0.99700
   2.84000    0.99900    1.00300    1.00200    0.99600
   2.86000    1.00000    1.00300    1.00100    0.99600
   2.88000    0.99800    1.00400    1.00100    0.99700
   2.90000    0.99800    1.00300    1.00200    0.99700
   2.92000    0.99900    1.00300    1.00300    0.99700
   2.94000    0.99900    1.00300    1.00300    0.99700
   2.96000    0.99800    1.00200    1.00200    0.99700
   2.98000    0.99800    1.00200    1.00200    0.99700
   3.00000    0.99800    1.00100    1.00200    0.99600
   3.02000    0.99800    1.00100    1.00200    0.99600
