#     r/nm   g_cation    g_anion      g_hbd      g_hfc
   0.00000    0.00000    0.00000    0.00000    0.00000
   0.02000    0.00000    0.00000    0.00000    0.00000
   0.04000    0.00000    0.00000    0.00000    0.00000
   0.06000    0.00000    0.00000    0.00000    0.00000
   0.08000    0.00000    0.00000    0.00000    0.00000
   0.10000    0.00000    0.00000    0.00000    0.00000
   0.12000    0.00000    0.00000    0.00000    0.00000
   0.14000    0.00000    0.00000    0.00000    0.00000
   0.16000    0.00000    0.00000    0.00000    0.00000
   0.18000    0.00000    0.00000    0.00000    0.00000
   0.20000    0.00000    0.00000    0.00000    0.00000
   0.22000    0.00000    0.00000    0.00000    0.00000
   0.24000    0.00000    0.00000    0.00000    0.00000
   0.26000    0.00000    0.00000    0.00000    0.00000
   0.28000    0.00000    0.00000    0.00000    0.00000
   0.30000    0.00000    0.00000    0.00000    0.00000
   0.32000    0.00000    0.00000    0.00000    0.00000
   0.34000    0.00000    0.00000    0.00000    0.00000
   0.36000    0.00000    0.00500    0.00000    0.00500
   0.38000    0.00000    0.08400    0.00000    0.04500
   0.40000    0.00000    0.47300    0.00000    0.21900
   0.42000    0.00100    1.20400    0.00500    0.60900
   0.44000    0.01400    1.88600    0.04300    1.19600
   0.46000    0.08300    2.24500    0.18400    1.74100
   0.48000    0.28300    2.27200    0.49100    2.11200
   0.50000    0.62100    1.85800    0.92500    2.26000
   0.52000    0.98700    1.33900    1.34200    2.24900
   0.54000    1.28000    0.97100    1.63900    2.12600
   0.56000    1.46700    0.76200    1.77700    1.89600
   0.58000    1.57600    0.65000    1.79600    1.64200
   0.60000    1.60200    0.60500    1.74300    1.40500
   0.62000    1.56700    0.57600    1.65800    1.19600
   0.64000    1.47600    0.57100    1.55900    1.01700
   0.66000    1.34800    0.58600    1.44800    0.89200
   0.68000    1.21900    0.60700    1.32900    0.80200
   0.70000    1.10300    0.63800    1.19800    0.74500
   0.72000    1.03200    0.67800    1.07200    0.71700
   0.74000    0.98500    0.72400    0.95300    0.70900
   0.76000    0.97500    0.78500    0.85500    0.71800
   0.78000    0.98600    0.84100    0.78400    0.74200
   0.80000    1.01100    0.91500    0.74500    0.78100
   0.82000    1.04300    0.98900    0.72000    0.83100
   0.84000    1.07200    1.06500    0.72000    0.88800
   0.86000    1.09200    1.13600    0.73700    0.94300
   0.88000    1.10700    1.19800    0.77200    1.00200
   0.90000    1.11000    1.24900    0.81700    1.04900
   0.92000    1.10200    1.26700    0.87200    1.08200
   0.94000    1.07900    1.27400    0.92600    1.10700
   0.96000    1.04900    1.25700    0.97600    1.12200
   0.98000    1.01500    1.22200    1.02200    1.12300
   1.00000    0.98900    1.17600    1.05400    1.11400
   1.02000    0.96700    1.13000    1.07700    1.09800
   1.04000    0.95700    1.08400    1.08900    1.08000
   1.06000    0.95000    1.04400    1.08900    1.05800
   1.08000    0.95900    1.01300    1.08100    1.03100
   1.10000    0.96800    0.99200    1.06700    1.00400
   1.12000    0.97400    0.97400    1.05100    0.98000
   1.14000    0.98300    0.96400    1.02700    0.96100
   1.16000    0.99000    0.96900    1.00600    0.94600
   1.18000    0.99500    0.97100    0.98500    0.93700
   1.20000    1.00000    0.97900    0.96600    0.93200
   1.22000    1.00300    0.99100    0.94900    0.93500
   1.24000    1.00600    1.00000    0.93600    0.94000
   1.26000    1.01000    1.01000    0.93000    0.95200
   1.28000    1.01300    1.01800    0.92700    0.96500
   1.30000    1.01400    1.02300    0.93200    0.97900
   1.32000    1.01600    1.02400    0.93800    0.99300
   1.34000    1.01900    1.02400    0.94600    1.00800
   1.36000    1.01900    1.02200    0.96200    1.01800
   1.38000    1.01400    1.01900    0.97600    1.03000
   1.40000    1.01400    1.01400    0.99000    1.03600
   1.42000    1.01100    1.00500    1.00500    1.04000
   1.44000    1.00600    1.00000    1.01700    1.04000
   1.46000    1.00300    0.99400    1.02600    1.03800
   1.48000    1.00000    0.98600    1.03400    1.03500
   1.50000    0.99600    0.98100    1.03700    1.02900
   1.52000    0.99400    0.97400    1.03800    1.02300
   1.54000    0.99300    0.97200    1.03600    1.01600
   1.56000    0.98900    0.96900    1.03200    1.00700
   1.58000    0.99100    0.96600    1.02700    1.00000
   1.60000    0.99100    0.96700    1.02100    0.99600
   1.62000    0.99000    0.96800    1.01100    0.99100
   1.64000    0.99100    0.97200    1.00600    0.98900
   1.66000    0.99300    0.97400    1.00000    0.98600
   1.68000    0.99200    0.97900    0.99300    0.98600
   1.70000    0.99300    0.98600    0.99000    0.98900
   1.72000    0.99500    0.99000    0.98700    0.99100
   1.74000    0.99400    0.99500    0.98500    0.99300
   1.76000    0.99500    0.99900    0.98400    0.99500
   1.78000    0.99600    1.00300    0.98400    0.99700
   1.80000    0.99600    1.00100    0.98700    1.00100
   1.82000    0.99500    1.00400    0.99100    1.00300
   1.84000    0.99600    1.00600    0.99300    1.00600
   1.86000    0.99600    1.00500    0.99600    1.00900
   1.88000    0.99500    1.00500    1.00000    1.01000
   1.90000    0.99500    1.00400    1.00400    1.00800
   1.92000    0.99500    1.00100    1.00500    1.01000
   1.94000    0.99300    1.00100    1.00800    1.00800
   1.96000    0.99400    0.99900    1.00900    1.00800
   1.98000    0.99400    1.00000    1.01000    1.00500
   2.00000    0.99700    0.99500    1.00900    1.00500
   2.02000    0.99700    0.99700    1.00800    1.00200
   2.04000    0.99600    0.99700    1.00800    1.00000
   2.06000    0.99800    0.99700    1.00700    0.99900
   2.08000    0.99800    0.99900    1.00500    0.99700
   2.10000    1.00000    0.99900    1.00300    0.99400
   2.12000    1.00000    0.99900    1.00100    0.99500
   2.14000    1.00000    1.00000    1.00000    0.99400
   2.16000    1.00200    1.00100    0.99900    0.99400
   2.18000    1.00200    1.00200    0.99700    0.99500
   2.20000    1.00200    1.00300    0.99600    0.99500
   2.22000    1.00300    1.00400    0.99600    0.99500
   2.24000    1.00300    1.00500    0.99600    0.99700
   2.26000    1.00400    1.00700    0.99600    0.99600
   2.28000    1.00400    1.00400    0.99700    0.99800
   2.30000    1.00400    1.00500    0.99700    1.00000
   2.32000    1.00400    1.00400    0.99900    0.99800
   2.34000    1.00400    1.00400    0.99900    1.00100
   2.36000    1.00300    1.00400    1.00000    0.99900
   2.38000    1.00300    1.00300    1.00100    1.00000
   2.40000    1.00300    1.00200    1.00100    0.99900
   2.42000    1.00400    1.00100    1.00100    0.99800
   2.44000    1.00300    1.00100    1.00100    0.99900
   2.46000    1.00300    1.00100    1.00200    0.99700
   2.48000    1.00100    1.00100    1.00200    0.99700
   2.50000    1.00000    1.00000    1.00200    0.99600
   2.52000    1.00200    1.00100    1.00100    0.99600
   2.54000    1.00200    1.00000    1.00100    0.99600
   2.56000    1.00200    1.00000    1.00000    0.99500
   2.58000    1.00200    1.00100    1.00100    0.99600
   2.60000    1.00200    1.00100    1.00000    0.99500
   2.62000    1.00300    1.00000    1.00000    0.99600
   2.64000    1.00300    1.00000    1.00000    0.99500
   2.66000    1.00200    1.00100    0.99900    0.99600
   2.68000    1.00200    1.00200    1.00000    0.99600
   2.70000    1.00200    1.00200    0.99900    0.99700
   2.72000    1.00200    1.00300    1.00000    0.99600
   2.74000    1.00200    1.00200    1.00000    0.99600
   2.76000    1.00200    1.00200    1.00000    0.99700
   2.78000    1.00100    1.00200    1.00100    0.99600
   2.80000    1.00000    1.00200    1.00000    0.99600
   2.82000    1.00100    1.00200    1.00100    0.99800
   2.84000    1.00000    1.00200    1.00100    0.99700
   2.86000    1.00000    1.00100    1.00200    0.99700
   2.88000    1.00100    1.00200    1.00100    0.99700
   2.90000    1.00000    1.00100    1.00100    0.99700
   2.92000    1.00000    1.00100    1.00200    0.99600
   2.94000    1.00000    1.00200    1.00200    0.99700
   2.96000    0.99900    1.00100    1.00200    0.99600
   2.98000    1.00000    1.00100    1.00200    0.99700
   3.00000    0.99900    1.00100    1.00200    0.99600
   3.02000    1.00000    1.00000    1.00100    0.99600
