#     r/nm   g_cation    g_anion      g_hbd      g_hfc
   0.00000    0.00000    0.00000    0.00000    0.00000
   0.02000    0.00000    0.00000    0.00000    0.00000
   0.04000    0.00000    0.00000    0.00000    0.00000
   0.06000    0.00000    0.00000    0.00000    0.00000
   0.08000    0.00000    0.00000    0.00000    0.00000
   0.10000    0.00000    0.00000    0.00000    0.00000
   0.12000    0.00000    0.00000    0.00000    0.00000
   0.14000    0.00000    0.00000    0.00000    0.00000
   0.16000    0.00000    0.00000    0.00000    0.00000
   0.18000    0.00000    0.00000    0.00000    0.00000
   0.20000    0.00000    0.00000    0.00000    0.00000
   0.22000    0.00000    0.00000    0.00000    0.00000
   0.24000    0.00000    0.00000    0.00000    0.00000
   0.26000    0.00000    0.00000    0.00000    0.00000
   0.28000    0.00100    0.00000    0.00000    0.01700
   0.30000    0.02200    0.00000    0.00000    0.13400
   0.32000    0.13400    0.00000    0.00000    0.48100
   0.34000    0.36400    0.00200    0.00000    1.28100
   0.36000    0.61300    0.01200    0.00100    2.18200
   0.38000    0.82100    0.05700    0.01700    2.66400
   0.40000    1.00600    0.17600    0.09000    2.88800
   0.42000    1.17300    0.38300    0.26500    2.98400
   0.44000    1.32600    0.67200    0.57000    2.85800
   0.46000    1.43500    0.95300    0.96800    2.39600
   0.48000    1.52200    1.16800    1.37200    1.88700
   0.50000    1.56000    1.29500    1.66200    1.49400
   0.52000    1.56800    1.34500    1.79100    1.23300
   0.54000    1.53900    1.32400    1.76200    1.05300
   0.56000    1.47500    1.24700    1.65900    0.94300
   0.58000    1.41700    1.15000    1.56600    0.86800
   0.60000    1.35400    1.06200    1.48000    0.83200
   0.62000    1.28600    1.01500    1.40400    0.81700
   0.64000    1.19900    0.97600    1.30900    0.82500
   0.66000    1.11800    0.95400    1.17300    0.84300
   0.68000    1.03400    0.94200    1.03400    0.87600
   0.70000    0.94500    0.93000    0.91800    0.90600
   0.72000    0.86600    0.91800    0.83800    0.94000
   0.74000    0.81000    0.92400    0.77800    0.97100
   0.76000    0.77200    0.94600    0.74500    0.99500
   0.78000    0.76200    0.97700    0.73400    1.01500
   0.80000    0.76600    1.00300    0.74100    1.03000
   0.82000    0.78600    1.02100    0.75800    1.04000
   0.84000    0.81200    1.03000    0.79000    1.04700
   0.86000    0.84100    1.02700    0.82700    1.05300
   0.88000    0.87700    1.02200    0.86100    1.06500
   0.90000    0.91400    1.02300    0.90100    1.06900
   0.92000    0.94500    1.02400    0.93600    1.07700
   0.94000    0.97500    1.02800    0.97300    1.08200
   0.96000    1.00100    1.03200    1.00600    1.07900
   0.98000    1.02200    1.03400    1.03600    1.07000
   1.00000    1.03400    1.03300    1.06500    1.05900
   1.02000    1.04300    1.03600    1.08500    1.04500
   1.04000    1.04700    1.03900    1.10000    1.03000
   1.06000    1.04300    1.04200    1.10900    1.01800
   1.08000    1.04200    1.04100    1.10900    1.00200
   1.10000    1.03500    1.03900    1.09900    0.99100
   1.12000    1.02700    1.03500    1.08700    0.98200
   1.14000    1.02000    1.03000    1.06900    0.97500
   1.16000    1.01100    1.02600    1.04900    0.97400
   1.18000    1.00300    1.02000    1.02800    0.96900
   1.20000    0.99100    1.01300    1.00800    0.97100
   1.22000    0.98900    1.00700    0.99300    0.97300
   1.24000    0.98300    1.00100    0.97700    0.97400
   1.26000    0.97700    0.99600    0.96800    0.98100
   1.28000    0.97300    0.99200    0.96100    0.98300
   1.30000    0.97200    0.98900    0.95400    0.98800
   1.32000    0.97100    0.98600    0.95500    0.99500
   1.34000    0.97000    0.98700    0.95600    0.99800
   1.36000    0.97100    0.98800    0.96100    1.00100
   1.38000    0.97300    0.98900    0.96400    1.00200
   1.40000    0.97600    0.99200    0.97100    1.00500
   1.42000    0.98200    0.99300    0.97800    1.00800
   1.44000    0.98400    0.99500    0.98600    1.01000
   1.46000    0.98600    0.99800    0.99300    1.01000
   1.48000    0.99200    1.00100    0.99800    1.00800
   1.50000    0.99600    1.00200    1.00400    1.00800
   1.52000    0.99800    1.00300    1.00900    1.00600
   1.54000    1.00000    1.00400    1.01300    1.00500
   1.56000    1.00100    1.00500    1.01500    1.00400
   1.58000    1.00400    1.00500    1.01600    1.00300
   1.60000    1.00400    1.00600    1.01600    1.00100
   1.62000    1.00400    1.00500    1.01600    1.00000
   1.64000    1.00600    1.00600    1.01400    0.99800
   1.66000    1.00400    1.00400    1.01200    0.99700
   1.68000    1.00300    1.00300    1.00800    0.99500
   1.70000    1.00100    1.00100    1.00700    0.99300
   1.72000    1.00300    1.00000    1.00400    0.99500
   1.74000    1.00000    0.99900    1.00100    0.99500
   1.76000    0.99800    0.99900    0.99800    0.99300
   1.78000    0.99700    0.99900    0.99700    0.99400
   1.80000    0.99800    0.99900    0.99700    0.99500
   1.82000    0.99500    1.00000    0.99500    0.99500
   1.84000    0.99500    1.00000    0.99400    0.99500
   1.86000    0.99400    0.99900    0.99400    0.99600
   1.88000    0.99400    1.00100    0.99500    0.99700
   1.90000    0.99500    1.00100    0.99500    0.99700
   1.92000    0.99500    1.00100    0.99500    0.99600
   1.94000    0.99500    1.00200    0.99600    0.99900
   1.96000    0.99700    1.00100    0.99700    0.99700
   1.98000    0.99700    1.00300    0.99700    0.99800
   2.00000    0.99800    1.00100    0.99800    0.99800
   2.02000    1.00000    1.00200    0.99900    0.99800
   2.04000    1.00100    1.00200    1.00100    0.99900
   2.06000    1.00100    1.00400    1.00300    0.99700
   2.08000    1.00200    1.00300    1.00300    0.99800
   2.10000    1.00300    1.00200    1.00400    0.99900
   2.12000    1.00300    1.00200    1.00300    0.99700
   2.14000    1.00500    1.00300    1.00300    0.99700
   2.16000    1.00600    1.00100    1.00400    0.99600
   2.18000    1.00600    1.00200    1.00300    0.99500
   2.20000    1.00500    1.00100    1.00400    0.99600
   2.22000    1.00600    1.00100    1.00300    0.99500
   2.24000    1.00400    1.00200    1.00200    0.99600
   2.26000    1.00500    1.00000    1.00100    0.99500
   2.28000    1.00500    1.00000    1.00000    0.99500
   2.30000    1.00300    0.99900    1.00000    0.99500
   2.32000    1.00400    1.00100    1.00000    0.99600
   2.34000    1.00100    0.99900    1.00000    0.99600
   2.36000    1.00300    0.99900    1.00000    0.99500
   2.38000    1.00200    0.99900    0.99900    0.99600
   2.40000    1.00200    1.00000    0.99900    0.99600
   2.42000    1.00200    1.00000    0.99900    0.99800
   2.44000    1.00200    1.00000    0.99900    0.99600
   2.46000    1.00100    0.99900    0.99900    0.99700
   2.48000    1.00100    1.00000    1.00000    0.99700
   2.50000    1.00100    0.99900    1.00000    0.99700
   2.52000    1.00200    1.00000    1.00000    0.99700
   2.54000    1.00200    0.99900    1.00100    0.99600
   2.56000    1.00300    0.99900    1.00000    0.99600
   2.58000    1.00200    0.99900    1.00000    0.99600
   2.60000    1.00200    1.00000    1.00100    0.99800
   2.62000    1.00300    1.00000    1.00200    0.99700
   2.64000    1.00200    0.99900    1.00100    0.99800
   2.66000    1.00300    0.99900    1.00100    0.99600
   2.68000    1.00200    1.00000    1.00100    0.99600
   2.70000    1.00200    0.99900    1.00100    0.99600
   2.72000    1.00300    1.00100    1.00100    0.99500
   2.74000    1.00300    1.00000    1.00100    0.99700
   2.76000    1.00100    1.00000    1.00100    0.99600
   2.78000    1.00200    1.00100    1.00100    0.99700
   2.80000    1.00200    1.00000    1.00100    0.99600
   2.82000    1.00100    1.00100    1.00100    0.99600
   2.84000    1.00100    1.00000    1.00000    0.99700
   2.86000    1.00100    1.00000    1.00100    0.99600
   2.88000    1.00100    0.99900    1.00000    0.99600
   2.90000    1.00000    1.00100    1.00000    0.99600
   2.92000    0.99900    1.00100    1.00000    0.99500
   2.94000    1.00000    1.00100    1.00000    0.99600
   2.96000    1.00100    1.00100    1.00000    0.99600
   2.98000    1.00000    1.00000    1.00000    0.99600
   3.00000    1.00000    1.00100    1.00000    0.99700
   3.02000    0.99900    1.00000    1.00100    0.99600
