#     r/nm   g_cation    g_anion      g_hbd      g_hfc
   0.00000    0.00000    0.00000    0.00000    0.00000
   0.02000    0.00000    0.00000    0.00000    0.00000
   0.04000    0.00000    0.00000    0.00000    0.00000
   0.06000    0.00000    0.00000    0.00000    0.00000
   0.08000    0.00000    0.00000    0.00000    0.00000
   0.10000    0.00000    0.00000    0.00000    0.00000
   0.12000    0.00000    0.00000    0.00000    0.00000
   0.14000    0.00000    0.00000    0.00000    0.00000
   0.16000    0.00000    0.00000    0.00000    0.00000
   0.18000    0.00000    0.00000    0.00000    0.00000
   0.20000    0.00000    0.00000    0.00000    0.00000
   0.22000    0.00000    0.00000    0.00000    0.00000
   0.24000    0.00000    0.00000    0.00000    0.00000
   0.26000    0.00000    0.00000    0.00000    0.00000
   0.28000    0.00000    0.00000    0.00000    0.01200
   0.30000    0.00000    0.00000    0.00000    0.09500
   0.32000    0.00000    0.00000    0.00000    0.36500
   0.34000    0.00000    0.01000    0.00000    1.00900
   0.36000    0.00000    0.12900    0.00100    1.76600
   0.38000    0.00500    1.38000    0.01200    2.22400
   0.40000    0.04400    3.90100    0.06300    2.47500
   0.42000    0.20800    4.11800    0.19900    2.64600
   0.44000    0.54100    2.69400    0.44400    2.57400
   0.46000    0.92900    1.61100    0.79000    2.20100
   0.48000    1.23500    1.04700    1.15600    1.75300
   0.50000    1.46800    0.78100    1.45400    1.39500
   0.52000    1.62300    0.65100    1.59400    1.15800
   0.54000    1.70100    0.59900    1.61100    1.00200
   0.56000    1.69200    0.57800    1.54700    0.89800
   0.58000    1.59000    0.57800    1.47100    0.83800
   0.60000    1.43900    0.59300    1.40900    0.80000
   0.62000    1.27800    0.61700    1.34800    0.78600
   0.64000    1.14500    0.64700    1.25900    0.78800
   0.66000    1.05700    0.68200    1.14300    0.80800
   0.68000    1.00900    0.72200    1.02300    0.83400
   0.70000    0.99400    0.76800    0.92600    0.87300
   0.72000    1.00500    0.81800    0.85400    0.91500
   0.74000    1.02800    0.87700    0.80800    0.95500
   0.76000    1.05900    0.92900    0.77900    0.99600
   0.78000    1.08600    0.97700    0.77000    1.03400
   0.80000    1.11000    1.02900    0.78000    1.05800
   0.82000    1.12200    1.07200    0.80600    1.07100
   0.84000    1.13200    1.11500    0.84200    1.07400
   0.86000    1.13100    1.15200    0.88600    1.07000
   0.88000    1.11200    1.17200    0.92800    1.06200
   0.90000    1.08300    1.17800    0.97500    1.05000
   0.92000    1.04000    1.16100    1.01300    1.03900
   0.94000    0.99800    1.13500    1.04400    1.02500
   0.96000    0.95900    1.10300    1.06500    1.01600
   0.98000    0.92500    1.07100    1.07100    1.00200
   1.00000    0.91000    1.04100    1.07500    0.98500
   1.02000    0.90400    1.01900    1.06600    0.97700
   1.04000    0.90700    0.99500    1.05700    0.96700
   1.06000    0.91900    0.98700    1.04500    0.96000
   1.08000    0.92800    0.98100    1.02900    0.96000
   1.10000    0.93900    0.98000    1.01300    0.96300
   1.12000    0.95400    0.98200    0.99800    0.96300
   1.14000    0.96200    0.98800    0.98600    0.97000
   1.16000    0.97100    0.99700    0.97600    0.97700
   1.18000    0.97800    1.01000    0.96800    0.98300
   1.20000    0.99000    1.01300    0.96400    0.99100
   1.22000    0.99500    1.02000    0.96400    0.99900
   1.24000    1.00300    1.02300    0.96400    1.00600
   1.26000    1.00400    1.02300    0.97100    1.01200
   1.28000    1.00600    1.01800    0.97800    1.01300
   1.30000    1.00900    1.00900    0.98500    1.01600
   1.32000    1.00700    1.00400    0.99400    1.01500
   1.34000    1.00500    0.99700    1.00400    1.01300
   1.36000    1.00500    0.98900    1.01400    1.01200
   1.38000    1.00400    0.98700    1.01800    1.01000
   1.40000    1.00100    0.98200    1.02600    1.00700
   1.42000    0.99900    0.97800    1.02900    1.00100
   1.44000    0.99700    0.97700    1.03100    0.99800
   1.46000    0.99600    0.97400    1.03100    0.99500
   1.48000    0.99600    0.97300    1.03000    0.99100
   1.50000    0.99600    0.97300    1.02600    0.99000
   1.52000    0.99700    0.97300    1.02400    0.98900
   1.54000    0.99800    0.97600    1.01800    0.98700
   1.56000    1.00000    0.97800    1.01400    0.98700
   1.58000    0.99900    0.98000    1.00800    0.98800
   1.60000    1.00100    0.98400    1.00400    0.98800
   1.62000    1.00200    0.98900    1.00200    0.99000
   1.64000    1.00400    0.99200    0.99800    0.99100
   1.66000    1.00500    0.99300    0.99600    0.99500
   1.68000    1.00400    0.99800    0.99400    0.99100
   1.70000    1.00500    1.00000    0.99400    0.99300
   1.72000    1.00400    1.00200    0.99300    0.99500
   1.74000    1.00300    1.00400    0.99300    0.99400
   1.76000    1.00200    1.00500    0.99500    0.99500
   1.78000    1.00200    1.00400    0.99600    0.99700
   1.80000    0.99900    1.00500    0.99800    0.99600
   1.82000    0.99800    1.00600    0.99900    0.99600
   1.84000    0.99900    1.00500    1.00100    0.99800
   1.86000    0.99700    1.00500    1.00100    0.99600
   1.88000    0.99500    1.00400    1.00200    0.99500
   1.90000    0.99700    1.00200    1.00300    0.99600
   1.92000    0.99700    1.00400    1.00300    0.99500
   1.94000    0.99500    1.00500    1.00300    0.99600
   1.96000    0.99700    1.00300    1.00200    0.99500
   1.98000    0.99800    1.00500    1.00200    0.99500
   2.00000    0.99800    1.00400    1.00300    0.99500
   2.02000    0.99900    1.00400    1.00200    0.99500
   2.04000    1.00000    1.00400    1.00200    0.99500
   2.06000    1.00100    1.00400    1.00000    0.99500
   2.08000    1.00200    1.00400    1.00000    0.99700
   2.10000    1.00100    1.00400    1.00000    0.99600
   2.12000    1.00200    1.00200    1.00000    0.99700
   2.14000    1.00300    1.00400    0.99900    0.99700
   2.16000    1.00300    1.00300    0.99800    0.99800
   2.18000    1.00500    1.00300    0.99900    0.99700
   2.20000    1.00300    1.00200    1.00000    0.99500
   2.22000    1.00400    1.00200    0.99900    0.99800
   2.24000    1.00300    1.00200    0.99900    0.99700
   2.26000    1.00400    1.00200    0.99900    0.99900
   2.28000    1.00400    1.00000    1.00000    0.99900
   2.30000    1.00300    1.00100    1.00000    0.99800
   2.32000    1.00400    1.00000    1.00000    0.99800
   2.34000    1.00100    1.00000    0.99800    0.99800
   2.36000    1.00200    1.00000    1.00000    0.99900
   2.38000    1.00200    1.00100    1.00000    0.99800
   2.40000    1.00200    1.00100    0.99900    0.99900
   2.42000    1.00300    1.00000    1.00000    0.99800
   2.44000    1.00300    1.00000    1.00000    0.99900
   2.46000    1.00100    0.99900    1.00000    0.99900
   2.48000    1.00100    1.00000    1.00000    1.00000
   2.50000    1.00200    1.00000    1.00000    0.99800
   2.52000    1.00100    0.99900    0.99900    0.99800
   2.54000    1.00000    1.00000    1.00000    0.99900
   2.56000    1.00000    1.00000    1.00000    0.99900
   2.58000    1.00000    1.00100    0.99900    0.99900
   2.60000    1.00000    1.00100    1.00000    0.99800
   2.62000    1.00000    0.99900    0.99900    0.99900
   2.64000    0.99900    1.00100    0.99900    0.99900
   2.66000    1.00000    1.00000    1.00000    0.99900
   2.68000    1.00000    1.00000    1.00000    0.99900
   2.70000    0.99900    1.00100    1.00000    0.99800
   2.72000    0.99900    1.00000    1.00000    0.99900
   2.74000    0.99800    1.00000    1.00000    0.99900
   2.76000    0.99900    0.99900    1.00000    0.99800
   2.78000    0.99800    0.99900    1.00000    0.99900
   2.80000    1.00000    1.00000    1.00100    1.00000
   2.82000    0.99900    1.00000    1.00000    0.99800
   2.84000    0.99900    0.99900    1.00100    0.99800
   2.86000    0.99900    1.00000    1.00100    0.99900
   2.88000    0.99900    1.00000    1.00100    0.99900
   2.90000    0.99900    1.00000    1.00100    0.99900
   2.92000    0.99900    0.99900    1.00100    0.99800
   2.94000    1.00000    1.00100    1.00100    0.99800
   2.96000    0.99900    0.99900    1.00100    0.99800
   2.98000    0.99900    1.00000    1.00200    0.99700
   3.00000    1.00000    1.00000    1.00100    0.99800
   3.02000    1.00000    0.99900    1.00100    0.99800
