# Angle (degree);  Occurrence
0.9000000000;  108.3315453
2.700000000;  100.5416670
4.500000000;  100.6265736
6.300000000;  100.4587252
8.100000000;  100.4456670
9.900000000;  100.4465698
11.70000000;  100.4318062
13.50000000;  100.3878915
15.30000000;  100.4974911
17.10000000;  100.4212749
18.90000000;  100.3297883
20.70000000;  100.3102661
22.50000000;  100.2273743
24.30000000;  100.1143278
26.10000000;  100.1850307
27.90000000;  100.2179956
29.70000000;  100.1244696
31.50000000;  100.1169274
33.30000000;  100.0250240
35.10000000;  100.0337751
36.90000000;  100.0047329
38.70000000;  99.93967231
40.50000000;  99.92684164
42.30000000;  99.89811029
44.10000000;  99.84690584
45.90000000;  99.80184756
47.70000000;  99.76528722
49.50000000;  99.73350921
51.30000000;  99.70413066
53.10000000;  99.74261735
54.90000000;  99.71823948
56.70000000;  99.68743175
58.50000000;  99.62027591
60.30000000;  99.60595383
62.10000000;  99.63751431
63.90000000;  99.62977451
65.70000000;  99.63117253
67.50000000;  99.61440419
69.30000000;  99.61833469
71.10000000;  99.61552781
72.90000000;  99.62669535
74.70000000;  99.63123024
76.50000000;  99.65899928
78.30000000;  99.62243459
80.10000000;  99.66065234
81.90000000;  99.64679744
83.70000000;  99.61447323
85.50000000;  99.65931921
87.30000000;  99.68062437
89.10000000;  99.65328047
90.90000000;  99.66873120
92.70000000;  99.66541012
94.50000000;  99.65318801
96.30000000;  99.63528663
98.10000000;  99.68411618
99.90000000;  99.69213891
101.7000000;  99.64840692
103.5000000;  99.67710922
105.3000000;  99.71751606
107.1000000;  99.73108050
108.9000000;  99.64701049
110.7000000;  99.68801565
112.5000000;  99.69851076
114.3000000;  99.66204666
116.1000000;  99.66896311
117.9000000;  99.67332442
119.7000000;  99.69298155
121.5000000;  99.74090075
123.3000000;  99.69920786
125.1000000;  99.70512150
126.9000000;  99.71225476
128.7000000;  99.68759087
130.5000000;  99.69721624
132.3000000;  99.68584872
134.1000000;  99.68062791
135.9000000;  99.71766709
137.7000000;  99.75087121
139.5000000;  99.70822523
141.3000000;  99.74263127
143.1000000;  99.74278062
144.9000000;  99.64899020
146.7000000;  99.65698017
148.5000000;  99.78135948
150.3000000;  99.76944089
152.1000000;  99.69661052
153.9000000;  99.75110675
155.7000000;  99.82065209
157.5000000;  99.77924274
159.3000000;  99.69568719
161.1000000;  99.80579695
162.9000000;  99.83803536
164.7000000;  99.87476712
166.5000000;  99.84159787
168.3000000;  99.86603322
170.1000000;  99.77186486
171.9000000;  99.74598314
173.7000000;  99.78771057
175.5000000;  99.97789038
177.3000000;  99.94809517
179.1000000;  107.6963936
