# [C2r_O1o] Distance / pm; [C2r_H1r]-[C2r_O1o] Angle / Degree; Occurrence
5.000000000;  0.9000000000;  0.000000000
15.00000000;  0.9000000000;  0.000000000
25.00000000;  0.9000000000;  0.000000000
35.00000000;  0.9000000000;  0.000000000
45.00000000;  0.9000000000;  0.000000000
55.00000000;  0.9000000000;  0.000000000
65.00000000;  0.9000000000;  0.000000000
75.00000000;  0.9000000000;  0.000000000
85.00000000;  0.9000000000;  0.000000000
95.00000000;  0.9000000000;  0.000000000
105.0000000;  0.9000000000;  0.000000000
115.0000000;  0.9000000000;  0.000000000
125.0000000;  0.9000000000;  0.000000000
135.0000000;  0.9000000000;  0.000000000
145.0000000;  0.9000000000;  0.000000000
155.0000000;  0.9000000000;  0.000000000
165.0000000;  0.9000000000;  0.000000000
175.0000000;  0.9000000000;  0.000000000
185.0000000;  0.9000000000;  0.000000000
195.0000000;  0.9000000000;  0.000000000
205.0000000;  0.9000000000;  0.000000000
215.0000000;  0.9000000000;  0.000000000
225.0000000;  0.9000000000;  0.000000000
235.0000000;  0.9000000000;  0.000000000
245.0000000;  0.9000000000;  0.000000000
255.0000000;  0.9000000000;  0.000000000
265.0000000;  0.9000000000;  0.000000000
275.0000000;  0.9000000000;  0.000000000
285.0000000;  0.9000000000;  0.000000000
295.0000000;  0.9000000000;  0.000000000
305.0000000;  0.9000000000;  0.000000000
315.0000000;  0.9000000000;  0.000000000
325.0000000;  0.9000000000;  4.549080024
335.0000000;  0.9000000000;  110.1090581
345.0000000;  0.9000000000;  721.0253142
355.0000000;  0.9000000000;  1569.863060
365.0000000;  0.9000000000;  1668.841419
375.0000000;  0.9000000000;  1645.182304
385.0000000;  0.9000000000;  1569.932525
395.0000000;  0.9000000000;  1482.545161
405.0000000;  0.9000000000;  1144.821696
415.0000000;  0.9000000000;  916.4217509
425.0000000;  0.9000000000;  720.3880886
435.0000000;  0.9000000000;  525.4619956
445.0000000;  0.9000000000;  540.8895902
455.0000000;  0.9000000000;  564.5854028
465.0000000;  0.9000000000;  571.8081338
475.0000000;  0.9000000000;  486.5686551
485.0000000;  0.9000000000;  523.3198939
495.0000000;  0.9000000000;  534.4026025
505.0000000;  0.9000000000;  417.6751296
515.0000000;  0.9000000000;  437.8952286
525.0000000;  0.9000000000;  454.0458048
535.0000000;  0.9000000000;  451.1506707
545.0000000;  0.9000000000;  476.6185811
555.0000000;  0.9000000000;  507.9718218
565.0000000;  0.9000000000;  583.9956146
575.0000000;  0.9000000000;  528.2680622
585.0000000;  0.9000000000;  578.7184408
595.0000000;  0.9000000000;  566.1019362
605.0000000;  0.9000000000;  431.8290505
615.0000000;  0.9000000000;  313.6310816
625.0000000;  0.9000000000;  290.2169338
635.0000000;  0.9000000000;  208.8405812
645.0000000;  0.9000000000;  217.5788923
655.0000000;  0.9000000000;  160.1884088
665.0000000;  0.9000000000;  129.6107844
675.0000000;  0.9000000000;  154.3142417
685.0000000;  0.9000000000;  126.2078482
695.0000000;  0.9000000000;  95.44516439
705.0000000;  0.9000000000;  110.6296884
715.0000000;  0.9000000000;  74.15117668
725.0000000;  0.9000000000;  101.4836618
735.0000000;  0.9000000000;  126.7933672
745.0000000;  0.9000000000;  106.9788963
755.0000000;  0.9000000000;  93.05979473
765.0000000;  0.9000000000;  93.34083539
775.0000000;  0.9000000000;  102.7016695
785.0000000;  0.9000000000;  74.59877311
795.0000000;  0.9000000000;  88.92391177
805.0000000;  0.9000000000;  101.4029684
815.0000000;  0.9000000000;  99.22784241
825.0000000;  0.9000000000;  110.5133804
835.0000000;  0.9000000000;  87.53148559
845.0000000;  0.9000000000;  122.1997203
855.0000000;  0.9000000000;  109.8982700
865.0000000;  0.9000000000;  80.77788778
875.0000000;  0.9000000000;  94.52563881
885.0000000;  0.9000000000;  88.55211358
895.0000000;  0.9000000000;  123.2724590
905.0000000;  0.9000000000;  106.8206433
915.0000000;  0.9000000000;  100.0082343
925.0000000;  0.9000000000;  99.79517255
935.0000000;  0.9000000000;  111.3116340
945.0000000;  0.9000000000;  110.6462259
955.0000000;  0.9000000000;  110.6189372
965.0000000;  0.9000000000;  94.32454693
975.0000000;  0.9000000000;  103.8555256
985.0000000;  0.9000000000;  119.0535380
995.0000000;  0.9000000000;  99.22375213
5.000000000;  2.700000000;  0.000000000
15.00000000;  2.700000000;  0.000000000
25.00000000;  2.700000000;  0.000000000
35.00000000;  2.700000000;  0.000000000
45.00000000;  2.700000000;  0.000000000
55.00000000;  2.700000000;  0.000000000
65.00000000;  2.700000000;  0.000000000
75.00000000;  2.700000000;  0.000000000
85.00000000;  2.700000000;  0.000000000
95.00000000;  2.700000000;  0.000000000
105.0000000;  2.700000000;  0.000000000
115.0000000;  2.700000000;  0.000000000
125.0000000;  2.700000000;  0.000000000
135.0000000;  2.700000000;  0.000000000
145.0000000;  2.700000000;  0.000000000
155.0000000;  2.700000000;  0.000000000
165.0000000;  2.700000000;  0.000000000
175.0000000;  2.700000000;  0.000000000
185.0000000;  2.700000000;  0.000000000
195.0000000;  2.700000000;  0.000000000
205.0000000;  2.700000000;  0.000000000
215.0000000;  2.700000000;  0.000000000
225.0000000;  2.700000000;  0.000000000
235.0000000;  2.700000000;  0.000000000
245.0000000;  2.700000000;  0.000000000
255.0000000;  2.700000000;  0.000000000
265.0000000;  2.700000000;  0.000000000
275.0000000;  2.700000000;  0.000000000
285.0000000;  2.700000000;  0.000000000
295.0000000;  2.700000000;  0.000000000
305.0000000;  2.700000000;  0.000000000
315.0000000;  2.700000000;  0.000000000
325.0000000;  2.700000000;  12.36953905
335.0000000;  2.700000000;  133.3781500
345.0000000;  2.700000000;  741.3055080
