# Angle (degree);  Occurrence
0.9000000000;  108.2028642
2.700000000;  99.82714734
4.500000000;  99.93331247
6.300000000;  100.0114931
8.100000000;  100.0033357
9.900000000;  100.0228587
11.70000000;  99.93564888
13.50000000;  99.98499086
15.30000000;  99.88590079
17.10000000;  99.97157869
18.90000000;  99.98354513
20.70000000;  100.0152958
22.50000000;  99.93277202
24.30000000;  99.95113610
26.10000000;  99.99245511
27.90000000;  99.91502638
29.70000000;  99.88813748
31.50000000;  99.95728349
33.30000000;  99.86780296
35.10000000;  99.96984969
36.90000000;  99.96418623
38.70000000;  99.90730441
40.50000000;  99.90003037
42.30000000;  99.90352757
44.10000000;  99.89224805
45.90000000;  99.83835083
47.70000000;  99.87936859
49.50000000;  99.90582168
51.30000000;  99.95289365
53.10000000;  99.88565390
54.90000000;  99.84810482
56.70000000;  99.83666714
58.50000000;  99.91415466
60.30000000;  99.88937979
62.10000000;  99.83628066
63.90000000;  99.83906307
65.70000000;  99.87020849
67.50000000;  99.83255402
69.30000000;  99.87063715
71.10000000;  99.80553543
72.90000000;  99.85352276
74.70000000;  99.86699628
76.50000000;  99.82465197
78.30000000;  99.84067009
80.10000000;  99.84943021
81.90000000;  99.79486253
83.70000000;  99.77489987
85.50000000;  99.82669429
87.30000000;  99.78677342
89.10000000;  99.78040896
90.90000000;  99.82325397
92.70000000;  99.78724734
94.50000000;  99.80444990
96.30000000;  99.79827136
98.10000000;  99.76082137
99.90000000;  99.77898865
101.7000000;  99.81182790
103.5000000;  99.81274949
105.3000000;  99.77449576
107.1000000;  99.77107550
108.9000000;  99.73458212
110.7000000;  99.75571805
112.5000000;  99.74795124
114.3000000;  99.76097937
116.1000000;  99.78563256
117.9000000;  99.72060628
119.7000000;  99.73456661
121.5000000;  99.73810164
123.3000000;  99.76171952
125.1000000;  99.75813518
126.9000000;  99.79304466
128.7000000;  99.78700402
130.5000000;  99.77503461
132.3000000;  99.76411157
134.1000000;  99.72182529
135.9000000;  99.70873362
137.7000000;  99.76634303
139.5000000;  99.73831363
141.3000000;  99.75405793
143.1000000;  99.79230240
144.9000000;  99.80777147
146.7000000;  99.79769247
148.5000000;  99.72997197
150.3000000;  99.74052084
152.1000000;  99.76285153
153.9000000;  99.69692126
155.7000000;  99.73876597
157.5000000;  99.76601833
159.3000000;  99.80407965
161.1000000;  99.69478363
162.9000000;  99.77765961
164.7000000;  99.85586946
166.5000000;  99.82877960
168.3000000;  99.89792166
170.1000000;  99.72170775
171.9000000;  99.82163521
173.7000000;  99.86627363
175.5000000;  99.82241492
177.3000000;  99.86789360
179.1000000;  107.9552070
