# Angle (degree);  Occurrence
0.9000000000;  108.2262629
2.700000000;  99.92804675
4.500000000;  100.0395339
6.300000000;  99.88391020
8.100000000;  99.88151151
9.900000000;  100.0071956
11.70000000;  100.1026583
13.50000000;  100.0009855
15.30000000;  99.96947361
17.10000000;  100.0551738
18.90000000;  99.96457032
20.70000000;  99.95056180
22.50000000;  99.96085497
24.30000000;  99.98437563
26.10000000;  99.97185769
27.90000000;  99.90600524
29.70000000;  99.96799426
31.50000000;  99.97214433
33.30000000;  99.99254248
35.10000000;  99.98938518
36.90000000;  100.0039334
38.70000000;  99.93682162
40.50000000;  99.95833575
42.30000000;  99.92373471
44.10000000;  99.94485645
45.90000000;  99.89968493
47.70000000;  99.91171090
49.50000000;  99.91179729
51.30000000;  99.89426059
53.10000000;  99.89812327
54.90000000;  99.92696088
56.70000000;  99.85234288
58.50000000;  99.83749098
60.30000000;  99.85831001
62.10000000;  99.87314345
63.90000000;  99.88913602
65.70000000;  99.82377648
67.50000000;  99.81247915
69.30000000;  99.83170443
71.10000000;  99.80813974
72.90000000;  99.79487205
74.70000000;  99.82088742
76.50000000;  99.79310606
78.30000000;  99.80632440
80.10000000;  99.79870258
81.90000000;  99.78545761
83.70000000;  99.74750344
85.50000000;  99.76160762
87.30000000;  99.78013627
89.10000000;  99.79373498
90.90000000;  99.76151358
92.70000000;  99.78268114
94.50000000;  99.76362239
96.30000000;  99.77778940
98.10000000;  99.75589622
99.90000000;  99.74318577
101.7000000;  99.72323876
103.5000000;  99.74631638
105.3000000;  99.80416865
107.1000000;  99.79788332
108.9000000;  99.74463825
110.7000000;  99.71332026
112.5000000;  99.73509380
114.3000000;  99.80451683
116.1000000;  99.80282291
117.9000000;  99.77775399
119.7000000;  99.81584810
121.5000000;  99.80946383
123.3000000;  99.75069799
125.1000000;  99.78370327
126.9000000;  99.77922047
128.7000000;  99.78151839
130.5000000;  99.81164809
132.3000000;  99.79902658
134.1000000;  99.75005675
135.9000000;  99.77883433
137.7000000;  99.79802078
139.5000000;  99.80794484
141.3000000;  99.80908956
143.1000000;  99.79592282
144.9000000;  99.78234713
146.7000000;  99.77184547
148.5000000;  99.75325172
150.3000000;  99.72282199
152.1000000;  99.73858604
153.9000000;  99.75949477
155.7000000;  99.71331650
157.5000000;  99.73197939
159.3000000;  99.80948727
161.1000000;  99.77843853
162.9000000;  99.74221523
164.7000000;  99.84735043
166.5000000;  99.73625645
168.3000000;  99.67409435
170.1000000;  99.64064355
171.9000000;  99.76808499
173.7000000;  99.73985285
175.5000000;  99.69220305
177.3000000;  99.50459159
179.1000000;  108.3535817
