# Angle (degree);  Occurrence
0.9000000000;  109.0466888
2.700000000;  100.5659833
4.500000000;  100.4527034
6.300000000;  100.5477941
8.100000000;  100.5362298
9.900000000;  100.5923434
11.70000000;  100.4176702
13.50000000;  100.3372677
15.30000000;  100.3497995
17.10000000;  100.3919782
18.90000000;  100.3460541
20.70000000;  100.2793384
22.50000000;  100.2531725
24.30000000;  100.2498619
26.10000000;  100.2549313
27.90000000;  100.2173205
29.70000000;  100.1749354
31.50000000;  100.1005178
33.30000000;  100.0742134
35.10000000;  99.97335851
36.90000000;  99.90837107
38.70000000;  99.98127665
40.50000000;  99.98223316
42.30000000;  99.87297234
44.10000000;  99.79331744
45.90000000;  99.76893270
47.70000000;  99.70705939
49.50000000;  99.72402044
51.30000000;  99.73740384
53.10000000;  99.72240800
54.90000000;  99.71649788
56.70000000;  99.62621816
58.50000000;  99.60305888
60.30000000;  99.60231857
62.10000000;  99.61701491
63.90000000;  99.64024256
65.70000000;  99.56161677
67.50000000;  99.61504108
69.30000000;  99.59536312
71.10000000;  99.61362409
72.90000000;  99.68136057
74.70000000;  99.62152162
76.50000000;  99.61943396
78.30000000;  99.64330700
80.10000000;  99.59588020
81.90000000;  99.59460025
83.70000000;  99.65355703
85.50000000;  99.68146696
87.30000000;  99.66338359
89.10000000;  99.62630454
90.90000000;  99.61105902
92.70000000;  99.64903588
94.50000000;  99.65051195
96.30000000;  99.65376374
98.10000000;  99.65963857
99.90000000;  99.65534505
101.7000000;  99.70162035
103.5000000;  99.68087783
105.3000000;  99.65434022
107.1000000;  99.62772671
108.9000000;  99.64020454
110.7000000;  99.66908516
112.5000000;  99.66666657
114.3000000;  99.72324560
116.1000000;  99.69044630
117.9000000;  99.65865668
119.7000000;  99.69350312
121.5000000;  99.71989582
123.3000000;  99.71315677
125.1000000;  99.73238052
126.9000000;  99.74225582
128.7000000;  99.73217946
130.5000000;  99.67010589
132.3000000;  99.69364307
134.1000000;  99.71977990
135.9000000;  99.69729129
137.7000000;  99.74164228
139.5000000;  99.72192474
141.3000000;  99.70709960
143.1000000;  99.75404961
144.9000000;  99.77178155
146.7000000;  99.74304231
148.5000000;  99.76670081
150.3000000;  99.71276402
152.1000000;  99.78418302
153.9000000;  99.80995287
155.7000000;  99.73067159
157.5000000;  99.77545243
159.3000000;  99.83426869
161.1000000;  99.81579958
162.9000000;  99.81485726
164.7000000;  99.82502706
166.5000000;  99.89349520
168.3000000;  99.74439750
170.1000000;  99.74914835
171.9000000;  99.67730136
173.7000000;  99.79503417
175.5000000;  99.83007994
177.3000000;  99.66778170
179.1000000;  107.6951594
