# [C2r_O1o] Distance / pm; [C2r_H1r]-[C2r_O1o] Angle / Degree; Occurrence
5.000000000;  0.9000000000;  0.000000000
15.00000000;  0.9000000000;  0.000000000
25.00000000;  0.9000000000;  0.000000000
35.00000000;  0.9000000000;  0.000000000
45.00000000;  0.9000000000;  0.000000000
55.00000000;  0.9000000000;  0.000000000
65.00000000;  0.9000000000;  0.000000000
75.00000000;  0.9000000000;  0.000000000
85.00000000;  0.9000000000;  0.000000000
95.00000000;  0.9000000000;  0.000000000
105.0000000;  0.9000000000;  0.000000000
115.0000000;  0.9000000000;  0.000000000
125.0000000;  0.9000000000;  0.000000000
135.0000000;  0.9000000000;  0.000000000
145.0000000;  0.9000000000;  0.000000000
155.0000000;  0.9000000000;  0.000000000
165.0000000;  0.9000000000;  0.000000000
175.0000000;  0.9000000000;  0.000000000
185.0000000;  0.9000000000;  0.000000000
195.0000000;  0.9000000000;  0.000000000
205.0000000;  0.9000000000;  0.000000000
215.0000000;  0.9000000000;  0.000000000
225.0000000;  0.9000000000;  0.000000000
235.0000000;  0.9000000000;  0.000000000
245.0000000;  0.9000000000;  0.000000000
255.0000000;  0.9000000000;  0.000000000
265.0000000;  0.9000000000;  0.000000000
275.0000000;  0.9000000000;  0.000000000
285.0000000;  0.9000000000;  0.000000000
295.0000000;  0.9000000000;  0.000000000
305.0000000;  0.9000000000;  0.000000000
315.0000000;  0.9000000000;  0.000000000
325.0000000;  0.9000000000;  52.38771010
335.0000000;  0.9000000000;  347.8701201
345.0000000;  0.9000000000;  1167.796842
355.0000000;  0.9000000000;  2163.053460
365.0000000;  0.9000000000;  2506.816639
375.0000000;  0.9000000000;  2253.618714
385.0000000;  0.9000000000;  1902.601976
395.0000000;  0.9000000000;  1388.050800
405.0000000;  0.9000000000;  1156.932256
415.0000000;  0.9000000000;  899.3703730
425.0000000;  0.9000000000;  728.4027315
435.0000000;  0.9000000000;  616.9769649
445.0000000;  0.9000000000;  624.0735640
455.0000000;  0.9000000000;  525.2326412
465.0000000;  0.9000000000;  558.7017472
475.0000000;  0.9000000000;  517.8077927
485.0000000;  0.9000000000;  537.9501194
495.0000000;  0.9000000000;  576.0851456
505.0000000;  0.9000000000;  606.0509710
515.0000000;  0.9000000000;  576.5508770
525.0000000;  0.9000000000;  606.8518474
535.0000000;  0.9000000000;  615.0443937
545.0000000;  0.9000000000;  764.2183112
555.0000000;  0.9000000000;  699.2499314
565.0000000;  0.9000000000;  668.9224267
575.0000000;  0.9000000000;  696.5918063
585.0000000;  0.9000000000;  703.8247643
595.0000000;  0.9000000000;  730.0036308
605.0000000;  0.9000000000;  538.6931191
615.0000000;  0.9000000000;  402.2712571
625.0000000;  0.9000000000;  357.5173129
635.0000000;  0.9000000000;  279.4155475
645.0000000;  0.9000000000;  256.0473273
655.0000000;  0.9000000000;  188.0042411
665.0000000;  0.9000000000;  228.3757754
675.0000000;  0.9000000000;  190.3206610
685.0000000;  0.9000000000;  168.9183275
695.0000000;  0.9000000000;  170.8263613
705.0000000;  0.9000000000;  151.5630526
715.0000000;  0.9000000000;  144.0679337
725.0000000;  0.9000000000;  114.3877410
735.0000000;  0.9000000000;  131.4584778
745.0000000;  0.9000000000;  101.3506411
755.0000000;  0.9000000000;  113.8509218
765.0000000;  0.9000000000;  122.9569809
775.0000000;  0.9000000000;  141.2446756
785.0000000;  0.9000000000;  117.5363032
795.0000000;  0.9000000000;  114.3714057
805.0000000;  0.9000000000;  134.8893470
815.0000000;  0.9000000000;  112.9156208
825.0000000;  0.9000000000;  114.7392137
835.0000000;  0.9000000000;  127.8267002
845.0000000;  0.9000000000;  138.3713419
855.0000000;  0.9000000000;  115.5667634
865.0000000;  0.9000000000;  131.2163002
875.0000000;  0.9000000000;  103.9322949
885.0000000;  0.9000000000;  117.2937110
895.0000000;  0.9000000000;  106.6691131
905.0000000;  0.9000000000;  98.76366954
915.0000000;  0.9000000000;  87.19805415
925.0000000;  0.9000000000;  80.55467373
935.0000000;  0.9000000000;  85.86699658
945.0000000;  0.9000000000;  93.62354750
955.0000000;  0.9000000000;  99.31211412
965.0000000;  0.9000000000;  107.8264868
975.0000000;  0.9000000000;  109.2361442
985.0000000;  0.9000000000;  105.6450376
995.0000000;  0.9000000000;  99.55265414
5.000000000;  2.700000000;  0.000000000
15.00000000;  2.700000000;  0.000000000
25.00000000;  2.700000000;  0.000000000
35.00000000;  2.700000000;  0.000000000
45.00000000;  2.700000000;  0.000000000
55.00000000;  2.700000000;  0.000000000
65.00000000;  2.700000000;  0.000000000
75.00000000;  2.700000000;  0.000000000
85.00000000;  2.700000000;  0.000000000
95.00000000;  2.700000000;  0.000000000
105.0000000;  2.700000000;  0.000000000
115.0000000;  2.700000000;  0.000000000
125.0000000;  2.700000000;  0.000000000
135.0000000;  2.700000000;  0.000000000
145.0000000;  2.700000000;  0.000000000
155.0000000;  2.700000000;  0.000000000
165.0000000;  2.700000000;  0.000000000
175.0000000;  2.700000000;  0.000000000
185.0000000;  2.700000000;  0.000000000
195.0000000;  2.700000000;  0.000000000
205.0000000;  2.700000000;  0.000000000
215.0000000;  2.700000000;  0.000000000
225.0000000;  2.700000000;  0.000000000
235.0000000;  2.700000000;  0.000000000
245.0000000;  2.700000000;  0.000000000
255.0000000;  2.700000000;  0.000000000
265.0000000;  2.700000000;  0.000000000
275.0000000;  2.700000000;  0.000000000
285.0000000;  2.700000000;  0.000000000
295.0000000;  2.700000000;  0.000000000
305.0000000;  2.700000000;  0.000000000
315.0000000;  2.700000000;  0.000000000
325.0000000;  2.700000000;  42.97646055
335.0000000;  2.700000000;  426.9701783
345.0000000;  2.700000000;  1172.937584
