# Angle (degree);  Occurrence
0.9000000000;  108.6896775
2.700000000;  100.2579832
4.500000000;  100.1505672
6.300000000;  100.1195248
8.100000000;  100.0824790
9.900000000;  100.1254610
11.70000000;  100.2040274
13.50000000;  100.1155007
15.30000000;  100.1388596
17.10000000;  100.0727545
18.90000000;  100.1043683
20.70000000;  100.1932660
22.50000000;  100.0896962
24.30000000;  100.0889806
26.10000000;  100.0296295
27.90000000;  100.0489531
29.70000000;  100.0361203
31.50000000;  100.0209002
33.30000000;  100.0048957
35.10000000;  99.99761867
36.90000000;  99.99619495
38.70000000;  100.0030680
40.50000000;  99.96700541
42.30000000;  99.96828276
44.10000000;  99.95701549
45.90000000;  99.86198720
47.70000000;  99.92462678
49.50000000;  99.92152853
51.30000000;  99.90143079
53.10000000;  99.93193087
54.90000000;  99.86694502
56.70000000;  99.78341116
58.50000000;  99.85755016
60.30000000;  99.81361727
62.10000000;  99.82436214
63.90000000;  99.82496498
65.70000000;  99.81888732
67.50000000;  99.77542229
69.30000000;  99.79945689
71.10000000;  99.74649454
72.90000000;  99.73706719
74.70000000;  99.80413067
76.50000000;  99.74347285
78.30000000;  99.79529570
80.10000000;  99.72828839
81.90000000;  99.75215416
83.70000000;  99.79141669
85.50000000;  99.71842920
87.30000000;  99.76942951
89.10000000;  99.75844439
90.90000000;  99.77331863
92.70000000;  99.72290866
94.50000000;  99.69430452
96.30000000;  99.75657094
98.10000000;  99.75419693
99.90000000;  99.72399564
101.7000000;  99.73462392
103.5000000;  99.72618270
105.3000000;  99.74246307
107.1000000;  99.75059534
108.9000000;  99.76687880
110.7000000;  99.75759872
112.5000000;  99.75373556
114.3000000;  99.71711023
116.1000000;  99.72599883
117.9000000;  99.70588622
119.7000000;  99.75122429
121.5000000;  99.70041293
123.3000000;  99.64705067
125.1000000;  99.67447553
126.9000000;  99.68308397
128.7000000;  99.65895589
130.5000000;  99.66918566
132.3000000;  99.70537721
134.1000000;  99.66889375
135.9000000;  99.65411869
137.7000000;  99.70562467
139.5000000;  99.70914739
141.3000000;  99.72022943
143.1000000;  99.71822064
144.9000000;  99.71023401
146.7000000;  99.73016973
148.5000000;  99.70903850
150.3000000;  99.64623151
152.1000000;  99.68336289
153.9000000;  99.62586287
155.7000000;  99.70073287
157.5000000;  99.74164683
159.3000000;  99.77649626
161.1000000;  99.77563325
162.9000000;  99.74838360
164.7000000;  99.57488018
166.5000000;  99.69373086
168.3000000;  99.82624898
170.1000000;  99.75236993
171.9000000;  99.63019024
173.7000000;  99.64276231
175.5000000;  99.64975043
177.3000000;  99.76664005
179.1000000;  108.4296904
