# [C2r_Br1o] Distance / pm; [C2r_H1r]-[C2r_Br1o] Angle / Degree; Occurrence
5.000000000;  0.9000000000;  0.000000000
15.00000000;  0.9000000000;  0.000000000
25.00000000;  0.9000000000;  0.000000000
35.00000000;  0.9000000000;  0.000000000
45.00000000;  0.9000000000;  0.000000000
55.00000000;  0.9000000000;  0.000000000
65.00000000;  0.9000000000;  0.000000000
75.00000000;  0.9000000000;  0.000000000
85.00000000;  0.9000000000;  0.000000000
95.00000000;  0.9000000000;  0.000000000
105.0000000;  0.9000000000;  0.000000000
115.0000000;  0.9000000000;  0.000000000
125.0000000;  0.9000000000;  0.000000000
135.0000000;  0.9000000000;  0.000000000
145.0000000;  0.9000000000;  0.000000000
155.0000000;  0.9000000000;  0.000000000
165.0000000;  0.9000000000;  0.000000000
175.0000000;  0.9000000000;  0.000000000
185.0000000;  0.9000000000;  0.000000000
195.0000000;  0.9000000000;  0.000000000
205.0000000;  0.9000000000;  0.000000000
215.0000000;  0.9000000000;  0.000000000
225.0000000;  0.9000000000;  0.000000000
235.0000000;  0.9000000000;  0.000000000
245.0000000;  0.9000000000;  0.000000000
255.0000000;  0.9000000000;  0.000000000
265.0000000;  0.9000000000;  0.000000000
275.0000000;  0.9000000000;  0.000000000
285.0000000;  0.9000000000;  0.000000000
295.0000000;  0.9000000000;  0.000000000
305.0000000;  0.9000000000;  0.000000000
315.0000000;  0.9000000000;  0.000000000
325.0000000;  0.9000000000;  0.000000000
335.0000000;  0.9000000000;  0.000000000
345.0000000;  0.9000000000;  0.000000000
355.0000000;  0.9000000000;  0.05944429410
365.0000000;  0.9000000000;  12.19174524
375.0000000;  0.9000000000;  290.8981935
385.0000000;  0.9000000000;  996.5693336
395.0000000;  0.9000000000;  1596.477957
405.0000000;  0.9000000000;  1994.573190
415.0000000;  0.9000000000;  2042.250925
425.0000000;  0.9000000000;  1550.798593
435.0000000;  0.9000000000;  1233.000748
445.0000000;  0.9000000000;  929.7295761
455.0000000;  0.9000000000;  839.3577345
465.0000000;  0.9000000000;  590.3500683
475.0000000;  0.9000000000;  485.0957249
485.0000000;  0.9000000000;  471.3783469
495.0000000;  0.9000000000;  329.2863806
505.0000000;  0.9000000000;  215.5998763
515.0000000;  0.9000000000;  217.8983118
525.0000000;  0.9000000000;  160.1789538
535.0000000;  0.9000000000;  129.8342616
545.0000000;  0.9000000000;  143.0775553
555.0000000;  0.9000000000;  116.3104830
565.0000000;  0.9000000000;  126.8054755
575.0000000;  0.9000000000;  114.5544079
585.0000000;  0.9000000000;  101.8210456
595.0000000;  0.9000000000;  105.6935151
605.0000000;  0.9000000000;  104.0276699
615.0000000;  0.9000000000;  116.3453615
625.0000000;  0.9000000000;  117.2935539
635.0000000;  0.9000000000;  140.0783077
645.0000000;  0.9000000000;  119.8328983
655.0000000;  0.9000000000;  121.1357213
665.0000000;  0.9000000000;  72.64814108
675.0000000;  0.9000000000;  79.00561362
685.0000000;  0.9000000000;  115.7572300
695.0000000;  0.9000000000;  98.18070100
705.0000000;  0.9000000000;  92.18146111
715.0000000;  0.9000000000;  130.5515751
725.0000000;  0.9000000000;  124.4776713
735.0000000;  0.9000000000;  150.8493012
745.0000000;  0.9000000000;  119.6791693
755.0000000;  0.9000000000;  102.5703713
765.0000000;  0.9000000000;  98.84915918
775.0000000;  0.9000000000;  107.3566687
785.0000000;  0.9000000000;  124.8813720
795.0000000;  0.9000000000;  156.4903707
805.0000000;  0.9000000000;  167.2740756
815.0000000;  0.9000000000;  130.9629114
825.0000000;  0.9000000000;  133.2365613
835.0000000;  0.9000000000;  141.5976862
845.0000000;  0.9000000000;  139.4300896
855.0000000;  0.9000000000;  134.5490582
865.0000000;  0.9000000000;  121.2295787
875.0000000;  0.9000000000;  129.4306241
885.0000000;  0.9000000000;  118.8139728
895.0000000;  0.9000000000;  135.3060149
905.0000000;  0.9000000000;  102.5193334
915.0000000;  0.9000000000;  114.3559789
925.0000000;  0.9000000000;  114.5812946
935.0000000;  0.9000000000;  118.2304572
945.0000000;  0.9000000000;  119.0648600
955.0000000;  0.9000000000;  125.5946844
965.0000000;  0.9000000000;  95.98293396
975.0000000;  0.9000000000;  112.1155528
985.0000000;  0.9000000000;  97.45020074
995.0000000;  0.9000000000;  127.1559273
5.000000000;  2.700000000;  0.000000000
15.00000000;  2.700000000;  0.000000000
25.00000000;  2.700000000;  0.000000000
35.00000000;  2.700000000;  0.000000000
45.00000000;  2.700000000;  0.000000000
55.00000000;  2.700000000;  0.000000000
65.00000000;  2.700000000;  0.000000000
75.00000000;  2.700000000;  0.000000000
85.00000000;  2.700000000;  0.000000000
95.00000000;  2.700000000;  0.000000000
105.0000000;  2.700000000;  0.000000000
115.0000000;  2.700000000;  0.000000000
125.0000000;  2.700000000;  0.000000000
135.0000000;  2.700000000;  0.000000000
145.0000000;  2.700000000;  0.000000000
155.0000000;  2.700000000;  0.000000000
165.0000000;  2.700000000;  0.000000000
175.0000000;  2.700000000;  0.000000000
185.0000000;  2.700000000;  0.000000000
195.0000000;  2.700000000;  0.000000000
205.0000000;  2.700000000;  0.000000000
215.0000000;  2.700000000;  0.000000000
225.0000000;  2.700000000;  0.000000000
235.0000000;  2.700000000;  0.000000000
245.0000000;  2.700000000;  0.000000000
255.0000000;  2.700000000;  0.000000000
265.0000000;  2.700000000;  0.000000000
275.0000000;  2.700000000;  0.000000000
285.0000000;  2.700000000;  0.000000000
295.0000000;  2.700000000;  0.000000000
305.0000000;  2.700000000;  0.000000000
315.0000000;  2.700000000;  0.000000000
325.0000000;  2.700000000;  0.000000000
335.0000000;  2.700000000;  0.000000000
345.0000000;  2.700000000;  0.000000000
