# Angle (degree);  Occurrence
0.9000000000;  110.1966528
2.700000000;  101.2437551
4.500000000;  101.2140480
6.300000000;  101.3793026
8.100000000;  101.2535324
9.900000000;  101.3008759
11.70000000;  101.2028471
13.50000000;  101.2033029
15.30000000;  101.1773382
17.10000000;  101.1583587
18.90000000;  101.0793902
20.70000000;  101.1330192
22.50000000;  100.9166082
24.30000000;  100.8478132
26.10000000;  100.7940334
27.90000000;  100.6138456
29.70000000;  100.4873115
31.50000000;  100.3829801
33.30000000;  100.2369965
35.10000000;  100.0578552
36.90000000;  99.94507779
38.70000000;  99.88295186
40.50000000;  99.83604603
42.30000000;  99.73631634
44.10000000;  99.63596010
45.90000000;  99.61580697
47.70000000;  99.54824679
49.50000000;  99.49366177
51.30000000;  99.47030664
53.10000000;  99.47034928
54.90000000;  99.42272876
56.70000000;  99.44586489
58.50000000;  99.42200731
60.30000000;  99.45299507
62.10000000;  99.44026013
63.90000000;  99.38302622
65.70000000;  99.42585503
67.50000000;  99.41642333
69.30000000;  99.45236608
71.10000000;  99.48422613
72.90000000;  99.46360071
74.70000000;  99.48908123
76.50000000;  99.46382763
78.30000000;  99.47346556
80.10000000;  99.45446752
81.90000000;  99.43528799
83.70000000;  99.49118812
85.50000000;  99.50983348
87.30000000;  99.50785058
89.10000000;  99.48083895
90.90000000;  99.45923827
92.70000000;  99.48367140
94.50000000;  99.51130816
96.30000000;  99.50996070
98.10000000;  99.51574269
99.90000000;  99.50048572
101.7000000;  99.51102634
103.5000000;  99.55762632
105.3000000;  99.48088334
107.1000000;  99.53989244
108.9000000;  99.55199773
110.7000000;  99.57706466
112.5000000;  99.55613646
114.3000000;  99.59383668
116.1000000;  99.55304223
117.9000000;  99.49407327
119.7000000;  99.49523297
121.5000000;  99.56640342
123.3000000;  99.49678571
125.1000000;  99.57341733
126.9000000;  99.59312741
128.7000000;  99.57310426
130.5000000;  99.60921557
132.3000000;  99.58618290
134.1000000;  99.60403361
135.9000000;  99.56861685
137.7000000;  99.55108429
139.5000000;  99.61970675
141.3000000;  99.56733151
143.1000000;  99.50755151
144.9000000;  99.57215072
146.7000000;  99.54850651
148.5000000;  99.57884439
150.3000000;  99.62171986
152.1000000;  99.61474243
153.9000000;  99.56642823
155.7000000;  99.63126681
157.5000000;  99.64633589
159.3000000;  99.57976589
161.1000000;  99.55443073
162.9000000;  99.62599164
164.7000000;  99.57637059
166.5000000;  99.62327638
168.3000000;  99.59173507
170.1000000;  99.67882352
171.9000000;  99.52604826
173.7000000;  99.48434710
175.5000000;  99.65571895
177.3000000;  99.47290687
179.1000000;  107.9130247
