# [C2r_Br1o] Distance / pm; [C2r_H1r]-[C2r_Br1o] Angle / Degree; Occurrence
5.000000000;  0.9000000000;  0.000000000
15.00000000;  0.9000000000;  0.000000000
25.00000000;  0.9000000000;  0.000000000
35.00000000;  0.9000000000;  0.000000000
45.00000000;  0.9000000000;  0.000000000
55.00000000;  0.9000000000;  0.000000000
65.00000000;  0.9000000000;  0.000000000
75.00000000;  0.9000000000;  0.000000000
85.00000000;  0.9000000000;  0.000000000
95.00000000;  0.9000000000;  0.000000000
105.0000000;  0.9000000000;  0.000000000
115.0000000;  0.9000000000;  0.000000000
125.0000000;  0.9000000000;  0.000000000
135.0000000;  0.9000000000;  0.000000000
145.0000000;  0.9000000000;  0.000000000
155.0000000;  0.9000000000;  0.000000000
165.0000000;  0.9000000000;  0.000000000
175.0000000;  0.9000000000;  0.000000000
185.0000000;  0.9000000000;  0.000000000
195.0000000;  0.9000000000;  0.000000000
205.0000000;  0.9000000000;  0.000000000
215.0000000;  0.9000000000;  0.000000000
225.0000000;  0.9000000000;  0.000000000
235.0000000;  0.9000000000;  0.000000000
245.0000000;  0.9000000000;  0.000000000
255.0000000;  0.9000000000;  0.000000000
265.0000000;  0.9000000000;  0.000000000
275.0000000;  0.9000000000;  0.000000000
285.0000000;  0.9000000000;  0.000000000
295.0000000;  0.9000000000;  0.000000000
305.0000000;  0.9000000000;  0.000000000
315.0000000;  0.9000000000;  0.000000000
325.0000000;  0.9000000000;  0.000000000
335.0000000;  0.9000000000;  0.000000000
345.0000000;  0.9000000000;  0.000000000
355.0000000;  0.9000000000;  4.394022797
365.0000000;  0.9000000000;  277.8889792
375.0000000;  0.9000000000;  1816.954721
385.0000000;  0.9000000000;  4382.330290
395.0000000;  0.9000000000;  6407.495327
405.0000000;  0.9000000000;  6386.023771
415.0000000;  0.9000000000;  5044.640829
425.0000000;  0.9000000000;  3569.374628
435.0000000;  0.9000000000;  2546.537580
445.0000000;  0.9000000000;  1520.637555
455.0000000;  0.9000000000;  1105.145034
465.0000000;  0.9000000000;  812.3506441
475.0000000;  0.9000000000;  525.1396850
485.0000000;  0.9000000000;  346.0311316
495.0000000;  0.9000000000;  275.7747086
505.0000000;  0.9000000000;  196.7553898
515.0000000;  0.9000000000;  187.7598088
525.0000000;  0.9000000000;  166.4724174
535.0000000;  0.9000000000;  166.0498991
545.0000000;  0.9000000000;  118.1836793
555.0000000;  0.9000000000;  106.3334789
565.0000000;  0.9000000000;  122.7772286
575.0000000;  0.9000000000;  83.01241699
585.0000000;  0.9000000000;  82.42526771
595.0000000;  0.9000000000;  80.25557554
605.0000000;  0.9000000000;  75.03610268
615.0000000;  0.9000000000;  80.67506919
625.0000000;  0.9000000000;  99.27382808
635.0000000;  0.9000000000;  91.11378721
645.0000000;  0.9000000000;  101.4823885
655.0000000;  0.9000000000;  102.1302374
665.0000000;  0.9000000000;  68.82874102
675.0000000;  0.9000000000;  67.01103532
685.0000000;  0.9000000000;  92.34368284
695.0000000;  0.9000000000;  84.86240873
705.0000000;  0.9000000000;  92.73529578
715.0000000;  0.9000000000;  83.48380118
725.0000000;  0.9000000000;  84.34770254
735.0000000;  0.9000000000;  68.21949949
745.0000000;  0.9000000000;  65.82951169
755.0000000;  0.9000000000;  83.98808503
765.0000000;  0.9000000000;  67.91408008
775.0000000;  0.9000000000;  73.20419038
785.0000000;  0.9000000000;  65.17562480
795.0000000;  0.9000000000;  64.01349000
805.0000000;  0.9000000000;  75.43613734
815.0000000;  0.9000000000;  87.58841246
825.0000000;  0.9000000000;  63.82155650
835.0000000;  0.9000000000;  72.86023363
845.0000000;  0.9000000000;  80.89762054
855.0000000;  0.9000000000;  84.61300972
865.0000000;  0.9000000000;  71.35042625
875.0000000;  0.9000000000;  67.40967986
885.0000000;  0.9000000000;  65.18165744
895.0000000;  0.9000000000;  65.38866155
905.0000000;  0.9000000000;  79.32091028
915.0000000;  0.9000000000;  68.65646500
925.0000000;  0.9000000000;  61.45657347
935.0000000;  0.9000000000;  50.55019699
945.0000000;  0.9000000000;  39.16415705
955.0000000;  0.9000000000;  45.03308350
965.0000000;  0.9000000000;  43.27693446
975.0000000;  0.9000000000;  42.65775729
985.0000000;  0.9000000000;  52.81433597
995.0000000;  0.9000000000;  34.35117347
5.000000000;  2.700000000;  0.000000000
15.00000000;  2.700000000;  0.000000000
25.00000000;  2.700000000;  0.000000000
35.00000000;  2.700000000;  0.000000000
45.00000000;  2.700000000;  0.000000000
55.00000000;  2.700000000;  0.000000000
65.00000000;  2.700000000;  0.000000000
75.00000000;  2.700000000;  0.000000000
85.00000000;  2.700000000;  0.000000000
95.00000000;  2.700000000;  0.000000000
105.0000000;  2.700000000;  0.000000000
115.0000000;  2.700000000;  0.000000000
125.0000000;  2.700000000;  0.000000000
135.0000000;  2.700000000;  0.000000000
145.0000000;  2.700000000;  0.000000000
155.0000000;  2.700000000;  0.000000000
165.0000000;  2.700000000;  0.000000000
175.0000000;  2.700000000;  0.000000000
185.0000000;  2.700000000;  0.000000000
195.0000000;  2.700000000;  0.000000000
205.0000000;  2.700000000;  0.000000000
215.0000000;  2.700000000;  0.000000000
225.0000000;  2.700000000;  0.000000000
235.0000000;  2.700000000;  0.000000000
245.0000000;  2.700000000;  0.000000000
255.0000000;  2.700000000;  0.000000000
265.0000000;  2.700000000;  0.000000000
275.0000000;  2.700000000;  0.000000000
285.0000000;  2.700000000;  0.000000000
295.0000000;  2.700000000;  0.000000000
305.0000000;  2.700000000;  0.000000000
315.0000000;  2.700000000;  0.000000000
325.0000000;  2.700000000;  0.000000000
335.0000000;  2.700000000;  0.000000000
345.0000000;  2.700000000;  0.000000000
