# Angle (degree);  Occurrence
0.9000000000;  108.3940482
2.700000000;  99.96819939
4.500000000;  99.97331187
6.300000000;  99.98279885
8.100000000;  99.96070585
9.900000000;  99.97835765
11.70000000;  100.0078904
13.50000000;  99.94737047
15.30000000;  99.97213700
17.10000000;  99.94961613
18.90000000;  99.86831296
20.70000000;  99.97789523
22.50000000;  99.91431092
24.30000000;  99.83212653
26.10000000;  99.85253007
27.90000000;  99.93906521
29.70000000;  99.87734220
31.50000000;  99.85510912
33.30000000;  99.84899951
35.10000000;  99.90380858
36.90000000;  99.85123923
38.70000000;  99.86557798
40.50000000;  99.89412919
42.30000000;  99.90890360
44.10000000;  99.79675308
45.90000000;  99.78297134
47.70000000;  99.87541712
49.50000000;  99.86090998
51.30000000;  99.84541968
53.10000000;  99.84436478
54.90000000;  99.77099557
56.70000000;  99.82311409
58.50000000;  99.81512045
60.30000000;  99.83280329
62.10000000;  99.79833279
63.90000000;  99.83860391
65.70000000;  99.77811200
67.50000000;  99.75953682
69.30000000;  99.79470935
71.10000000;  99.86113501
72.90000000;  99.84956535
74.70000000;  99.82434185
76.50000000;  99.84280517
78.30000000;  99.79826173
80.10000000;  99.79109579
81.90000000;  99.75215511
83.70000000;  99.85267465
85.50000000;  99.83475388
87.30000000;  99.79921274
89.10000000;  99.78273457
90.90000000;  99.77964221
92.70000000;  99.78220327
94.50000000;  99.83247657
96.30000000;  99.84771650
98.10000000;  99.80562755
99.90000000;  99.80916720
101.7000000;  99.77833570
103.5000000;  99.79701401
105.3000000;  99.77218323
107.1000000;  99.81884981
108.9000000;  99.81702208
110.7000000;  99.81660633
112.5000000;  99.82477793
114.3000000;  99.84821598
116.1000000;  99.82440446
117.9000000;  99.78158298
119.7000000;  99.82100742
121.5000000;  99.74578032
123.3000000;  99.81154151
125.1000000;  99.77648771
126.9000000;  99.75968935
128.7000000;  99.78344316
130.5000000;  99.79625803
132.3000000;  99.82078799
134.1000000;  99.83595835
135.9000000;  99.82035914
137.7000000;  99.81909031
139.5000000;  99.79735228
141.3000000;  99.84234721
143.1000000;  99.77493455
144.9000000;  99.79893121
146.7000000;  99.76430643
148.5000000;  99.78454079
150.3000000;  99.73733113
152.1000000;  99.80084591
153.9000000;  99.87326628
155.7000000;  99.82812424
157.5000000;  99.85551917
159.3000000;  99.78854197
161.1000000;  99.78165882
162.9000000;  99.73093242
164.7000000;  99.76012422
166.5000000;  99.90833230
168.3000000;  99.76177272
170.1000000;  99.73221912
171.9000000;  99.84600345
173.7000000;  99.87876470
175.5000000;  99.68753551
177.3000000;  99.80643956
179.1000000;  108.0042606
