# [C1r_O1o] Distance / pm; [C1r_H1r]-[C1r_O1o] Angle / Degree; Occurrence
5.000000000;  0.9000000000;  0.000000000
15.00000000;  0.9000000000;  0.000000000
25.00000000;  0.9000000000;  0.000000000
35.00000000;  0.9000000000;  0.000000000
45.00000000;  0.9000000000;  0.000000000
55.00000000;  0.9000000000;  0.000000000
65.00000000;  0.9000000000;  0.000000000
75.00000000;  0.9000000000;  0.000000000
85.00000000;  0.9000000000;  0.000000000
95.00000000;  0.9000000000;  0.000000000
105.0000000;  0.9000000000;  0.000000000
115.0000000;  0.9000000000;  0.000000000
125.0000000;  0.9000000000;  0.000000000
135.0000000;  0.9000000000;  0.000000000
145.0000000;  0.9000000000;  0.000000000
155.0000000;  0.9000000000;  0.000000000
165.0000000;  0.9000000000;  0.000000000
175.0000000;  0.9000000000;  0.000000000
185.0000000;  0.9000000000;  0.000000000
195.0000000;  0.9000000000;  0.000000000
205.0000000;  0.9000000000;  0.000000000
215.0000000;  0.9000000000;  0.000000000
225.0000000;  0.9000000000;  0.000000000
235.0000000;  0.9000000000;  0.000000000
245.0000000;  0.9000000000;  0.000000000
255.0000000;  0.9000000000;  0.000000000
265.0000000;  0.9000000000;  0.000000000
275.0000000;  0.9000000000;  0.000000000
285.0000000;  0.9000000000;  0.000000000
295.0000000;  0.9000000000;  0.000000000
305.0000000;  0.9000000000;  0.000000000
315.0000000;  0.9000000000;  2.786423292
325.0000000;  0.9000000000;  98.77056835
335.0000000;  0.9000000000;  429.4285009
345.0000000;  0.9000000000;  564.8936074
355.0000000;  0.9000000000;  583.5410022
365.0000000;  0.9000000000;  767.8372036
375.0000000;  0.9000000000;  658.9358557
385.0000000;  0.9000000000;  600.9850490
395.0000000;  0.9000000000;  466.2341290
405.0000000;  0.9000000000;  310.8644113
415.0000000;  0.9000000000;  324.2792608
425.0000000;  0.9000000000;  306.5758795
435.0000000;  0.9000000000;  269.4881894
445.0000000;  0.9000000000;  243.8611696
455.0000000;  0.9000000000;  200.6952988
465.0000000;  0.9000000000;  200.4269847
475.0000000;  0.9000000000;  227.8160930
485.0000000;  0.9000000000;  192.6990837
495.0000000;  0.9000000000;  175.9913152
505.0000000;  0.9000000000;  171.2249764
515.0000000;  0.9000000000;  178.0798016
525.0000000;  0.9000000000;  191.3737515
535.0000000;  0.9000000000;  220.2446706
545.0000000;  0.9000000000;  255.4343892
555.0000000;  0.9000000000;  261.1904256
565.0000000;  0.9000000000;  271.7455620
575.0000000;  0.9000000000;  245.0033247
585.0000000;  0.9000000000;  226.9259088
595.0000000;  0.9000000000;  228.4840695
605.0000000;  0.9000000000;  195.4246616
615.0000000;  0.9000000000;  164.7166790
625.0000000;  0.9000000000;  163.0534503
635.0000000;  0.9000000000;  126.7861595
645.0000000;  0.9000000000;  153.9103597
655.0000000;  0.9000000000;  122.3140753
665.0000000;  0.9000000000;  176.5055737
675.0000000;  0.9000000000;  184.8149780
685.0000000;  0.9000000000;  135.4813992
695.0000000;  0.9000000000;  128.9038724
705.0000000;  0.9000000000;  119.6811385
715.0000000;  0.9000000000;  126.2456875
725.0000000;  0.9000000000;  141.0168040
735.0000000;  0.9000000000;  106.7655108
745.0000000;  0.9000000000;  107.6945092
755.0000000;  0.9000000000;  140.2705070
765.0000000;  0.9000000000;  112.8468352
775.0000000;  0.9000000000;  122.9150774
785.0000000;  0.9000000000;  156.0217097
795.0000000;  0.9000000000;  123.2872115
805.0000000;  0.9000000000;  112.1274525
815.0000000;  0.9000000000;  104.1811504
825.0000000;  0.9000000000;  124.6265807
835.0000000;  0.9000000000;  138.9752022
845.0000000;  0.9000000000;  103.0401977
855.0000000;  0.9000000000;  124.0611968
865.0000000;  0.9000000000;  119.8907244
875.0000000;  0.9000000000;  125.2372308
885.0000000;  0.9000000000;  105.7049482
895.0000000;  0.9000000000;  155.7607469
905.0000000;  0.9000000000;  145.6353755
915.0000000;  0.9000000000;  138.4732505
925.0000000;  0.9000000000;  126.9216462
935.0000000;  0.9000000000;  138.8844121
945.0000000;  0.9000000000;  131.2193621
955.0000000;  0.9000000000;  111.7233932
965.0000000;  0.9000000000;  119.0525849
975.0000000;  0.9000000000;  141.6627162
985.0000000;  0.9000000000;  137.8880576
995.0000000;  0.9000000000;  125.2359754
5.000000000;  2.700000000;  0.000000000
15.00000000;  2.700000000;  0.000000000
25.00000000;  2.700000000;  0.000000000
35.00000000;  2.700000000;  0.000000000
45.00000000;  2.700000000;  0.000000000
55.00000000;  2.700000000;  0.000000000
65.00000000;  2.700000000;  0.000000000
75.00000000;  2.700000000;  0.000000000
85.00000000;  2.700000000;  0.000000000
95.00000000;  2.700000000;  0.000000000
105.0000000;  2.700000000;  0.000000000
115.0000000;  2.700000000;  0.000000000
125.0000000;  2.700000000;  0.000000000
135.0000000;  2.700000000;  0.000000000
145.0000000;  2.700000000;  0.000000000
155.0000000;  2.700000000;  0.000000000
165.0000000;  2.700000000;  0.000000000
175.0000000;  2.700000000;  0.000000000
185.0000000;  2.700000000;  0.000000000
195.0000000;  2.700000000;  0.000000000
205.0000000;  2.700000000;  0.000000000
215.0000000;  2.700000000;  0.000000000
225.0000000;  2.700000000;  0.000000000
235.0000000;  2.700000000;  0.000000000
245.0000000;  2.700000000;  0.000000000
255.0000000;  2.700000000;  0.000000000
265.0000000;  2.700000000;  0.000000000
275.0000000;  2.700000000;  0.000000000
285.0000000;  2.700000000;  0.000000000
295.0000000;  2.700000000;  0.000000000
305.0000000;  2.700000000;  0.000000000
315.0000000;  2.700000000;  2.597367641
325.0000000;  2.700000000;  124.8468316
335.0000000;  2.700000000;  364.2872064
345.0000000;  2.700000000;  526.1485566
