# Angle (degree);  Occurrence
0.9000000000;  108.4772772
2.700000000;  100.3249881
4.500000000;  100.0786717
6.300000000;  99.98277931
8.100000000;  99.97646647
9.900000000;  99.99224828
11.70000000;  99.96696415
13.50000000;  99.96572188
15.30000000;  100.0186882
17.10000000;  100.0214346
18.90000000;  99.96880338
20.70000000;  99.93756606
22.50000000;  99.93826855
24.30000000;  99.94790959
26.10000000;  99.94284581
27.90000000;  99.92282959
29.70000000;  99.88247499
31.50000000;  99.89777263
33.30000000;  99.89927384
35.10000000;  99.92236475
36.90000000;  99.84482362
38.70000000;  99.85360957
40.50000000;  99.83300561
42.30000000;  99.89302556
44.10000000;  99.91758087
45.90000000;  99.84635636
47.70000000;  99.85976589
49.50000000;  99.81642433
51.30000000;  99.88138360
53.10000000;  99.78906217
54.90000000;  99.79850828
56.70000000;  99.79678097
58.50000000;  99.80756032
60.30000000;  99.79146221
62.10000000;  99.79581812
63.90000000;  99.77455846
65.70000000;  99.80608127
67.50000000;  99.82383562
69.30000000;  99.79323072
71.10000000;  99.77176260
72.90000000;  99.78803696
74.70000000;  99.78203216
76.50000000;  99.75547995
78.30000000;  99.78600514
80.10000000;  99.76727709
81.90000000;  99.79603656
83.70000000;  99.80438802
85.50000000;  99.78765354
87.30000000;  99.80123974
89.10000000;  99.79153602
90.90000000;  99.81386945
92.70000000;  99.81822040
94.50000000;  99.75884931
96.30000000;  99.81862462
98.10000000;  99.78983277
99.90000000;  99.77439795
101.7000000;  99.78952046
103.5000000;  99.78901397
105.3000000;  99.76786410
107.1000000;  99.80527186
108.9000000;  99.78532311
110.7000000;  99.79279954
112.5000000;  99.75717175
114.3000000;  99.76764510
116.1000000;  99.78014510
117.9000000;  99.74982449
119.7000000;  99.79639132
121.5000000;  99.79192057
123.3000000;  99.77800434
125.1000000;  99.76964694
126.9000000;  99.74756714
128.7000000;  99.80604002
130.5000000;  99.83387751
132.3000000;  99.76570330
134.1000000;  99.73560497
135.9000000;  99.81584911
137.7000000;  99.77785904
139.5000000;  99.74413815
141.3000000;  99.74391976
143.1000000;  99.79899483
144.9000000;  99.78085571
146.7000000;  99.73197055
148.5000000;  99.81848782
150.3000000;  99.77852579
152.1000000;  99.72972858
153.9000000;  99.72793007
155.7000000;  99.82148315
157.5000000;  99.75958296
159.3000000;  99.83990074
161.1000000;  99.79669356
162.9000000;  99.72885094
164.7000000;  99.84059799
166.5000000;  99.87045923
168.3000000;  99.77456677
170.1000000;  99.67218725
171.9000000;  99.70298443
173.7000000;  99.81018040
175.5000000;  99.98652551
177.3000000;  99.76105232
179.1000000;  108.1838748
