# [C2r_O1o] Distance / pm; [C2r_H1r]-[C2r_O1o] Angle / Degree; Occurrence
5.000000000;  0.9000000000;  0.000000000
15.00000000;  0.9000000000;  0.000000000
25.00000000;  0.9000000000;  0.000000000
35.00000000;  0.9000000000;  0.000000000
45.00000000;  0.9000000000;  0.000000000
55.00000000;  0.9000000000;  0.000000000
65.00000000;  0.9000000000;  0.000000000
75.00000000;  0.9000000000;  0.000000000
85.00000000;  0.9000000000;  0.000000000
95.00000000;  0.9000000000;  0.000000000
105.0000000;  0.9000000000;  0.000000000
115.0000000;  0.9000000000;  0.000000000
125.0000000;  0.9000000000;  0.000000000
135.0000000;  0.9000000000;  0.000000000
145.0000000;  0.9000000000;  0.000000000
155.0000000;  0.9000000000;  0.000000000
165.0000000;  0.9000000000;  0.000000000
175.0000000;  0.9000000000;  0.000000000
185.0000000;  0.9000000000;  0.000000000
195.0000000;  0.9000000000;  0.000000000
205.0000000;  0.9000000000;  0.000000000
215.0000000;  0.9000000000;  0.000000000
225.0000000;  0.9000000000;  0.000000000
235.0000000;  0.9000000000;  0.000000000
245.0000000;  0.9000000000;  0.000000000
255.0000000;  0.9000000000;  0.000000000
265.0000000;  0.9000000000;  0.000000000
275.0000000;  0.9000000000;  0.000000000
285.0000000;  0.9000000000;  0.000000000
295.0000000;  0.9000000000;  0.000000000
305.0000000;  0.9000000000;  0.000000000
315.0000000;  0.9000000000;  0.000000000
325.0000000;  0.9000000000;  1.702824212
335.0000000;  0.9000000000;  59.70082737
345.0000000;  0.9000000000;  378.7613592
355.0000000;  0.9000000000;  690.7296103
365.0000000;  0.9000000000;  892.6641529
375.0000000;  0.9000000000;  916.2464514
385.0000000;  0.9000000000;  744.4532067
395.0000000;  0.9000000000;  698.3895670
405.0000000;  0.9000000000;  552.5949796
415.0000000;  0.9000000000;  637.2492227
425.0000000;  0.9000000000;  613.0978894
435.0000000;  0.9000000000;  448.0646182
445.0000000;  0.9000000000;  404.2452875
455.0000000;  0.9000000000;  372.4809198
465.0000000;  0.9000000000;  304.4745393
475.0000000;  0.9000000000;  328.7241806
485.0000000;  0.9000000000;  250.7695916
495.0000000;  0.9000000000;  229.0918416
505.0000000;  0.9000000000;  216.5765578
515.0000000;  0.9000000000;  234.0933546
525.0000000;  0.9000000000;  269.9211037
535.0000000;  0.9000000000;  241.7621484
545.0000000;  0.9000000000;  243.7592632
555.0000000;  0.9000000000;  240.9317421
565.0000000;  0.9000000000;  270.9456102
575.0000000;  0.9000000000;  245.5062493
585.0000000;  0.9000000000;  353.0413846
595.0000000;  0.9000000000;  345.1336688
605.0000000;  0.9000000000;  333.2009909
615.0000000;  0.9000000000;  275.7393375
625.0000000;  0.9000000000;  243.2055955
635.0000000;  0.9000000000;  216.9769081
645.0000000;  0.9000000000;  215.3492939
655.0000000;  0.9000000000;  148.7526989
665.0000000;  0.9000000000;  153.8297888
675.0000000;  0.9000000000;  167.4501748
685.0000000;  0.9000000000;  122.7608627
695.0000000;  0.9000000000;  156.6369239
705.0000000;  0.9000000000;  122.9535160
715.0000000;  0.9000000000;  136.3681996
725.0000000;  0.9000000000;  152.3676977
735.0000000;  0.9000000000;  131.9660977
745.0000000;  0.9000000000;  137.1993411
755.0000000;  0.9000000000;  147.7469306
765.0000000;  0.9000000000;  128.8662849
775.0000000;  0.9000000000;  112.0670612
785.0000000;  0.9000000000;  129.8356203
795.0000000;  0.9000000000;  134.5667856
805.0000000;  0.9000000000;  144.2189947
815.0000000;  0.9000000000;  137.4315490
825.0000000;  0.9000000000;  155.3614177
835.0000000;  0.9000000000;  119.4965089
845.0000000;  0.9000000000;  105.4577528
855.0000000;  0.9000000000;  163.2512031
865.0000000;  0.9000000000;  128.0622116
875.0000000;  0.9000000000;  120.3083886
885.0000000;  0.9000000000;  134.3281027
895.0000000;  0.9000000000;  117.7485160
905.0000000;  0.9000000000;  138.0771020
915.0000000;  0.9000000000;  131.3530582
925.0000000;  0.9000000000;  135.6383189
935.0000000;  0.9000000000;  152.3444962
945.0000000;  0.9000000000;  154.7013064
955.0000000;  0.9000000000;  123.0566347
965.0000000;  0.9000000000;  133.0005431
975.0000000;  0.9000000000;  132.6523307
985.0000000;  0.9000000000;  158.1315672
995.0000000;  0.9000000000;  146.4318133
5.000000000;  2.700000000;  0.000000000
15.00000000;  2.700000000;  0.000000000
25.00000000;  2.700000000;  0.000000000
35.00000000;  2.700000000;  0.000000000
45.00000000;  2.700000000;  0.000000000
55.00000000;  2.700000000;  0.000000000
65.00000000;  2.700000000;  0.000000000
75.00000000;  2.700000000;  0.000000000
85.00000000;  2.700000000;  0.000000000
95.00000000;  2.700000000;  0.000000000
105.0000000;  2.700000000;  0.000000000
115.0000000;  2.700000000;  0.000000000
125.0000000;  2.700000000;  0.000000000
135.0000000;  2.700000000;  0.000000000
145.0000000;  2.700000000;  0.000000000
155.0000000;  2.700000000;  0.000000000
165.0000000;  2.700000000;  0.000000000
175.0000000;  2.700000000;  0.000000000
185.0000000;  2.700000000;  0.000000000
195.0000000;  2.700000000;  0.000000000
205.0000000;  2.700000000;  0.000000000
215.0000000;  2.700000000;  0.000000000
225.0000000;  2.700000000;  0.000000000
235.0000000;  2.700000000;  0.000000000
245.0000000;  2.700000000;  0.000000000
255.0000000;  2.700000000;  0.000000000
265.0000000;  2.700000000;  0.000000000
275.0000000;  2.700000000;  0.000000000
285.0000000;  2.700000000;  0.000000000
295.0000000;  2.700000000;  0.000000000
305.0000000;  2.700000000;  0.000000000
315.0000000;  2.700000000;  0.000000000
325.0000000;  2.700000000;  3.098526858
335.0000000;  2.700000000;  53.21231354
345.0000000;  2.700000000;  242.5325892
