#     r/nm   g_cation    g_anion      g_hbd      g_hfc
   0.00000    0.00000    0.00000    0.00000    0.00000
   0.02000    0.00000    0.00000    0.00000    0.00000
   0.04000    0.00000    0.00000    0.00000    0.00000
   0.06000    0.00000    0.00000    0.00000    0.00000
   0.08000    0.00000    0.00000    0.00000    0.00000
   0.10000    0.00000    0.00000    0.00000    0.00000
   0.12000    0.00000    0.00000    0.00000    0.00000
   0.14000    0.00000    0.00000    0.00000    0.00000
   0.16000    0.00000    0.00000    0.00000    0.00000
   0.18000    0.00000    0.00000    0.00000    0.00000
   0.20000    0.00000    0.00000    0.00000    0.00000
   0.22000    0.00000    0.00000    0.00000    0.00000
   0.24000    0.00000    0.00000    0.00000    0.00000
   0.26000    0.00000    0.00000    0.00000    0.00000
   0.28000    0.00000    0.00000    0.00000    0.00000
   0.30000    0.00000    0.00000    0.00000    0.00000
   0.32000    0.00000    0.00000    0.00000    0.00000
   0.34000    0.00300    0.00000    0.00000    0.00000
   0.36000    0.02600    0.00000    0.00000    0.00200
   0.38000    0.10900    0.00000    0.00000    0.01800
   0.40000    0.27700    0.00300    0.00000    0.10900
   0.42000    0.49500    0.02800    0.00300    0.37000
   0.44000    0.70400    0.12300    0.03200    0.83800
   0.46000    0.87600    0.33100    0.15700    1.41500
   0.48000    1.00300    0.63900    0.45400    1.97500
   0.50000    1.10700    0.96300    0.89300    2.35700
   0.52000    1.21600    1.23800    1.35100    2.49000
   0.54000    1.29800    1.41500    1.71700    2.41300
   0.56000    1.37800    1.49800    1.92800    2.18700
   0.58000    1.43200    1.50100    1.97500    1.88400
   0.60000    1.42500    1.43400    1.89900    1.56900
   0.62000    1.40800    1.35100    1.78000    1.29600
   0.64000    1.36700    1.25200    1.64400    1.07900
   0.66000    1.31600    1.16000    1.51100    0.92500
   0.68000    1.25200    1.09100    1.37900    0.81300
   0.70000    1.16200    1.03600    1.23800    0.74100
   0.72000    1.06900    1.00200    1.08800    0.69300
   0.74000    0.96400    0.97100    0.95400    0.67500
   0.76000    0.85100    0.94900    0.83800    0.67100
   0.78000    0.75700    0.93700    0.74900    0.68200
   0.80000    0.68800    0.93200    0.69200    0.70600
   0.82000    0.64700    0.93400    0.65800    0.74400
   0.84000    0.63900    0.94800    0.64900    0.79200
   0.86000    0.65600    0.95500    0.65700    0.84900
   0.88000    0.68700    0.96500    0.68200    0.90600
   0.90000    0.73500    0.97100    0.72100    0.96500
   0.92000    0.79000    0.97800    0.77500    1.02300
   0.94000    0.84500    0.99100    0.83000    1.07200
   0.96000    0.90700    1.01300    0.89300    1.11600
   0.98000    0.95200    1.03100    0.95600    1.14700
   1.00000    1.00000    1.04300    1.01300    1.16900
   1.02000    1.03800    1.05000    1.06400    1.17800
   1.04000    1.06500    1.05600    1.10700    1.17600
   1.06000    1.08300    1.06100    1.14300    1.16100
   1.08000    1.09500    1.06000    1.16200    1.13800
   1.10000    1.10200    1.05800    1.17000    1.10900
   1.12000    1.10100    1.05200    1.16600    1.07600
   1.14000    1.09400    1.04700    1.15000    1.04000
   1.16000    1.08100    1.03300    1.12600    1.00700
   1.18000    1.06900    1.02500    1.09700    0.97800
   1.20000    1.05400    1.01800    1.06500    0.95600
   1.22000    1.03900    1.00400    1.03300    0.93800
   1.24000    1.02300    0.99600    1.00400    0.92700
   1.26000    1.00700    0.98800    0.97700    0.92200
   1.28000    0.99400    0.98100    0.95400    0.92300
   1.30000    0.98600    0.97600    0.93700    0.92600
   1.32000    0.98000    0.97000    0.92400    0.93500
   1.34000    0.97500    0.96800    0.91700    0.94700
   1.36000    0.97200    0.96900    0.91700    0.96000
   1.38000    0.97700    0.96900    0.92100    0.97400
   1.40000    0.98100    0.97000    0.92800    0.98700
   1.42000    0.98700    0.97500    0.93900    1.00000
   1.44000    0.99600    0.98100    0.95200    1.01100
   1.46000    1.00400    0.98300    0.96800    1.02300
   1.48000    1.01200    0.99100    0.98100    1.02700
   1.50000    1.02000    0.99300    0.99600    1.03500
   1.52000    1.02300    0.99900    1.00800    1.03700
   1.54000    1.03000    1.00100    1.01800    1.03800
   1.56000    1.03600    1.00500    1.02600    1.03300
   1.58000    1.03500    1.00600    1.03200    1.02900
   1.60000    1.03800    1.01000    1.03500    1.02500
   1.62000    1.03700    1.00500    1.03400    1.01700
   1.64000    1.03500    1.00600    1.03300    1.01100
   1.66000    1.03400    1.00700    1.03000    1.00300
   1.68000    1.03100    1.00500    1.02400    0.99700
   1.70000    1.02400    1.00200    1.01800    0.99300
   1.72000    1.02100    1.00100    1.01200    0.98700
   1.74000    1.01800    0.99900    1.00500    0.98500
   1.76000    1.01300    0.99700    0.99800    0.98400
   1.78000    1.00700    0.99600    0.99300    0.98200
   1.80000    1.00300    0.99500    0.99000    0.98200
   1.82000    1.00100    0.99400    0.98600    0.98300
   1.84000    0.99800    0.99300    0.98500    0.98600
   1.86000    0.99600    0.99200    0.98400    0.98800
   1.88000    0.99500    0.99300    0.98500    0.99100
   1.90000    0.99300    0.99300    0.98700    0.99300
   1.92000    0.99400    0.99300    0.98900    0.99600
   1.94000    0.99500    0.99600    0.99100    1.00000
   1.96000    0.99300    0.99700    0.99400    1.00200
   1.98000    0.99600    0.99800    0.99800    1.00400
   2.00000    0.99800    1.00000    1.00100    1.00400
   2.02000    0.99900    1.00100    1.00400    1.00500
   2.04000    0.99900    1.00100    1.00600    1.00600
   2.06000    1.00100    1.00400    1.00700    1.00500
   2.08000    1.00100    1.00400    1.00900    1.00500
   2.10000    1.00300    1.00400    1.01100    1.00500
   2.12000    1.00300    1.00400    1.01100    1.00200
   2.14000    1.00300    1.00500    1.01000    1.00100
   2.16000    1.00000    1.00400    1.01100    0.99900
   2.18000    1.00100    1.00400    1.00900    0.99900
   2.20000    1.00200    1.00300    1.00700    0.99700
   2.22000    1.00000    1.00200    1.00600    0.99600
   2.24000    1.00100    1.00200    1.00400    0.99500
   2.26000    0.99900    1.00100    1.00200    0.99500
   2.28000    0.99900    1.00100    1.00200    0.99400
   2.30000    0.99500    0.99900    1.00000    0.99400
   2.32000    0.99500    1.00000    0.99900    0.99400
   2.34000    0.99500    1.00000    0.99800    0.99500
   2.36000    0.99400    0.99900    0.99900    0.99500
   2.38000    0.99500    1.00000    0.99800    0.99500
   2.40000    0.99500    0.99900    0.99900    0.99600
   2.42000    0.99300    1.00000    0.99900    0.99700
   2.44000    0.99300    1.00000    0.99900    0.99800
   2.46000    0.99300    1.00000    1.00000    0.99900
   2.48000    0.99400    1.00000    1.00000    1.00000
   2.50000    0.99400    1.00100    1.00100    0.99900
   2.52000    0.99400    1.00200    1.00100    0.99900
   2.54000    0.99600    1.00300    1.00200    1.00100
   2.56000    0.99600    1.00100    1.00300    1.00000
   2.58000    0.99500    1.00200    1.00300    1.00000
   2.60000    0.99600    1.00200    1.00300    1.00000
   2.62000    0.99700    1.00200    1.00300    1.00100
   2.64000    0.99600    1.00200    1.00200    1.00000
   2.66000    0.99800    1.00200    1.00300    0.99900
   2.68000    0.99700    1.00200    1.00300    0.99900
   2.70000    0.99800    1.00100    1.00100    0.99800
   2.72000    0.99700    1.00200    1.00200    0.99900
   2.74000    0.99700    1.00100    1.00100    0.99900
   2.76000    0.99700    1.00100    1.00100    0.99900
   2.78000    0.99700    1.00100    1.00000    0.99800
   2.80000    0.99700    1.00100    0.99900    0.99700
   2.82000    0.99700    1.00100    0.99900    0.99700
   2.84000    0.99800    1.00000    1.00000    0.99800
   2.86000    0.99800    1.00200    0.99900    0.99800
   2.88000    0.99800    1.00100    0.99900    0.99900
   2.90000    0.99800    1.00200    0.99800    0.99800
   2.92000    0.99800    1.00100    0.99800    0.99900
   2.94000    0.99900    1.00100    0.99900    0.99900
   2.96000    0.99900    1.00000    0.99900    0.99900
   2.98000    0.99900    1.00100    0.99900    0.99900
   3.00000    1.00000    1.00000    0.99900    0.99900
   3.02000    1.00000    1.00200    0.99900    1.00000
